id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
36868,Κοντοφύλακας με αγκίστρια - 100g - 30606,Κοντοφύλακας με αγκίστρια - 100g - 30606,in stock,new,3.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/30606_1009.jpg,OEM,No Color,0.1,"<p>Κοντοφύλακας ψαρέματος με βαρίδιο 100 γραμμαρίων.<br />Υψηλής ποιότητας χρώματα με έντονες ανακλάσεις.<br />Οπλισμένο με backtail και 2 αγκίστρια.</p><p>Διαθέσιμο σε μαύρο, κίτρινο, μπλε, πορτοκαλί (αποστολή κατόπιν διαθεσιμότητας)</p><p>Αυθεντικό προϊόν Tradesor.</p>",ΕΙΔΗ ΑΛΙΕΙΑΣ>Πλάνοι  κοντοφύλακες
36869,Κοντοφύλακας με αγκίστρια - 80g - 30605,Κοντοφύλακας με αγκίστρια - 80g - 30605,in stock,new,3.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/30605_1009.jpg,OEM,No Color,0.1,"<p>Κοντοφύλακας ψαρέματος με βαρίδιο 80 γραμμαρίων.<br />Υψηλής ποιότητας χρώματα με έντονες ανακλάσεις.<br />Οπλισμένο με backtail και 2 αγκίστρια.</p><p>Διαθέσιμο σε μαύρο, κίτρινο, μπλε, πορτοκαλί (αποστολή κατόπιν διαθεσιμότητας)</p><p>Αυθεντικό προϊόν Tradesor.</p>",ΕΙΔΗ ΑΛΙΕΙΑΣ>Πλάνοι  κοντοφύλακες
36870,Κοντοφύλακας με αγκίστρια - 70g - 30608,Κοντοφύλακας με αγκίστρια - 70g - 30608,in stock,new,3.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/30608_1009.jpg,OEM,No Color,0.1,"<p>Κοντοφύλακας ψαρέματος με βαρίδιο 70 γραμμαρίων.<br />Υψηλής ποιότητας χρώματα με έντονες ανακλάσεις.<br />Οπλισμένο με backtail και 2 αγκίστρια.</p><p>Διαθέσιμο σε κόκκινο, κίτρινο, μπλε, μωβ (αποστολή κατόπιν διαθεσιμότητας)</p><p>Αυθεντικό προϊόν Tradesor.</p>",ΕΙΔΗ ΑΛΙΕΙΑΣ>Πλάνοι  κοντοφύλακες
36871,Κοντοφύλακας με αγκίστρια - 60g - 30604,Κοντοφύλακας με αγκίστρια - 60g - 30604,in stock,new,2.7 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/30604_1009.jpg,OEM,No Color,0.1,"<p>Κοντοφύλακας ψαρέματος με βαρίδιο 60 γραμμαρίων.<br />Υψηλής ποιότητας χρώματα με έντονες ανακλάσεις.<br />Οπλισμένο με backtail και 2 αγκίστρια.</p><p>Διαθέσιμο σε μαύρο, κίτρινο, μπλε, πορτοκαλί (αποστολή κατόπιν διαθεσιμότητας)</p><p>Αυθεντικό προϊόν Tradesor.</p>",ΕΙΔΗ ΑΛΙΕΙΑΣ>Πλάνοι  κοντοφύλακες
36872,Κοντοφύλακας με αγκίστρια - 40g - 30603,Κοντοφύλακας με αγκίστρια - 40g - 30603,in stock,new,2.7 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/30603_1009.jpg,OEM,No Color,0.1,"<p>Κοντοφύλακας ψαρέματος με βαρίδιο 40 γραμμαρίων.<br />Υψηλής ποιότητας χρώματα με έντονες ανακλάσεις.<br />Οπλισμένο με backtail και 2 αγκίστρια.</p><p>Διαθέσιμο σε μαύρο, κίτρινο, μπλε, πορτοκαλί (αποστολή κατόπιν διαθεσιμότητας)</p><p>Αυθεντικό προϊόν Tradesor.</p>",ΕΙΔΗ ΑΛΙΕΙΑΣ>Πλάνοι  κοντοφύλακες
37327,Τεχνητό δόλωμα - Πλάνος - 50g - 30685,Τεχνητό δόλωμα - Πλάνος - 50g - 30685,in stock,new,2.7 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/30684-1-1.jpg,OEM,No Color,0.1,"<p>Πλάνος αλιείας σχεδιασμένος για μακρινές ρίψεις και ελάχιστη αντίσταση στο νερό, για εύκολες επανακτήσεις και προοδευτικό σπιντάρισμα, χωρίς ιδιαίτερη προσπάθεια. <br />Απίστευτο γεωμετρικό προφίλ που επιτρέπει μοναδικό sliding and rolling action.<br />Υψηλής ποιότητας χρώματα με έντονες ανακλάσεις ακόμα και σε βάθη με λίγο φως. <br />Οπλισμένο με αγκίστρι από τη μία πλευρά και σαλαγκιά από την άλλη.<br />Bάρος: 50g.</p><p><strong>*Περιλαμβάνεται 1 τεμάχιο.</strong></p><p> </p>",ΕΙΔΗ ΑΛΙΕΙΑΣ>Πλάνοι  κοντοφύλακες
37328,Τεχνητό δόλωμα - Πλάνος - 40g - 30684,Τεχνητό δόλωμα - Πλάνος - 40g - 30684,in stock,new,2.7 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/30684-1-1.jpg,OEM,No Color,0.1,"<p>Πλάνος αλιείας σχεδιασμένος για μακρινές ρίψεις και ελάχιστη αντίσταση στο νερό, για εύκολες επανακτήσεις και προοδευτικό σπιντάρισμα, χωρίς ιδιαίτερη προσπάθεια. <br />Απίστευτο γεωμετρικό προφίλ που επιτρέπει μοναδικό sliding and rolling action.<br />Υψηλής ποιότητας χρώματα με έντονες ανακλάσεις ακόμα και σε βάθη με λίγο φως. <br />Οπλισμένο με αγκίστρι από τη μία πλευρά και σαλαγκιά από την άλλη.<br />Bάρος: 40g.</p><p><strong>*Περιλαμβάνεται 1 τεμάχιο.</strong></p><p> </p>",ΕΙΔΗ ΑΛΙΕΙΑΣ>Πλάνοι  κοντοφύλακες
37329,Τεχνητό δόλωμα - Πλάνος - 35g - 30683,Τεχνητό δόλωμα - Πλάνος - 35g - 30683,in stock,new,2.7 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/30684-1-1.jpg,OEM,No Color,0.1,"<p>Πλάνος αλιείας σχεδιασμένος για μακρινές ρίψεις και ελάχιστη αντίσταση στο νερό, για εύκολες επανακτήσεις και προοδευτικό σπιντάρισμα, χωρίς ιδιαίτερη προσπάθεια. <br />Απίστευτο γεωμετρικό προφίλ που επιτρέπει μοναδικό sliding and rolling action.<br />Υψηλής ποιότητας χρώματα με έντονες ανακλάσεις ακόμα και σε βάθη με λίγο φως. <br />Οπλισμένο με αγκίστρι από τη μία πλευρά και σαλαγκιά από την άλλη.<br />Bάρος: 35g.</p><p><strong>*Περιλαμβάνεται 1 τεμάχιο.</strong></p><p> </p>",ΕΙΔΗ ΑΛΙΕΙΑΣ>Πλάνοι  κοντοφύλακες
38000,Τεχνητό δόλωμα - Πλάνος - 22g - 30627,Τεχνητό δόλωμα - Πλάνος - 22g - 30627,in stock,new,1.08 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/30627.jpg,OEM,No Color,0.1,"<p>Τεχνητό δόλωμα-βαρίδιο πλακέ, 22 γραμμαρίων, με σαλαγκιά, σε ρεαλιστικό σχεδιασμό ψαριού με έντονα ελκυστικά χρώματα.</p><p>Υλικό: αλουμίνιο</p>",ΕΙΔΗ ΑΛΙΕΙΑΣ>Πλάνοι  κοντοφύλακες
38001,Τεχνητό δόλωμα - Πλάνος - 20g - 30626,Τεχνητό δόλωμα - Πλάνος - 20g - 30626,in stock,new,1.08 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/30626.jpg,OEM,No Color,0.1,"<p>Τεχνητό δόλωμα-βαρίδιο πλακέ, 20 γραμμαρίων, με σαλαγκιά, σε ρεαλιστικό σχεδιασμό ψαριού με έντονα ελκυστικά χρώματα.</p><p>Υλικό: αλουμίνιο</p>",ΕΙΔΗ ΑΛΙΕΙΑΣ>Πλάνοι  κοντοφύλακες
