id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
36389,Mini Drone Camera - Full HD - SQ11 - 880776,Mini Drone Camera - Full HD - SQ11 - 880776,in stock,new,7.2 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/sq11_new.jpg,OEM,No Color,0.2,"<p><strong>Χαρακτηριστικά</strong>:</p><ul><li>Μπαταρία 200mAh</li><li>Χρόνος Φόρτισης: 2-3 ώρες</li><li>Αυτονομία μπαταρίας: έως 100 λεπτά</li><li>Ανάλυση 1080p FHD</li><li>Mini 8 pin USB</li><li>Ανάλυση Βίντεο 1080p (1920 X 1080), 720p (1280 X 720)</li><li>Αρχείο Φωτογραφιών JPG</li><li>Έως 32GB (δεν περιλαμβάνεται)</li><li>Ενσωματωμένο Μικρόφωνο</li><li>Μέγεθος Κάμερας : 2.3 x 2.3 x 2.3cm</li></ul><p><strong>Περιλαμβάνονται</strong>:</p><ul><li>1 * SQ11 Super Mini Car/Drone DVR Κάμερα Καταγραφικό FHD 1080P</li><li>1 * Καλώδιο USB</li><li>1 * Βάση Στήριξης</li><li>1 * Κλιπ Στήριξης</li><li>1 * Οδηγίες Χρήσης (αγγλικά)</li></ul>",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Gadgets>Action και παιδικές κάμερες
36501,Παιδική ψηφιακή κάμερα - X500 - 881650 - Yell,Παιδική ψηφιακή κάμερα - X500 - 881650 - Yellow,in stock,new,18 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/881650_y.jpg,OEM,No Color,0.3,"<div id=""tab-description"" class=""tab-pane""><p>Η παιδική κάμερα X500 είναι μια πραγματικά πολύ δημιουργική και απολαυστική απασχόληση για τα παιδιά! Τα παιδιά λατρεύουν την φωτογραφία και έχουν πια τη δική τους φωτογραφική!</p><p><strong>Λειτουργίες</strong>:</p><ul><li>Φωτογραφία – βίντεο</li><li>Αντίστροφη μέτρηση 5 sec και έξυπνη εστίαση</li><li>Διαθέτει παιχνίδια για απασχόληση των παιδιών</li><li>Επαναφορτιζόμενη</li><li>Με λουράκι μεταφοράς για τον λαιμό.</li></ul><p><strong>Χαρακτηριστικά</strong> :</p><ul><li>Μέγεθος οθόνης LCD: 2.0</li><li>Εύρος pixel: 1200W</li><li>Αυτονομία μπαταρίας: 3-5 ώρες</li><li>Μέσο αποθήκευσης: Υποστήριξη κάρτας μνήμης 32 GB (δεν περιλαμβάνεται)</li><li>Χρόνος φόρτισης: 2 ώρες</li><li>Pixel φωτογραφίας: 4608 × 3456PX</li><li>Pixel βίντεο: 1920 × 1080PX</li><li>Μέγεθος: 80 * 40 * 50mm</li><li>Βάρος: 80g</li><li>Υλικό: πλαστικό</li></ul></div>",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Gadgets>Action και παιδικές κάμερες
36588,Ασύρματη κάμερα για κυνηγούς - TR-P200B ,Ασύρματη κάμερα για κυνηγούς - TR-P200B - 883013,in stock,new,57.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2904_883013.jpg,OEM,No Color,3.2,<p><strong>Χαρακτηριστικά</strong>:</p><ul><li>Εσωτερική εγγραφή HD video φωτογραφιών σε κάρτα μνήμης έως 32GB</li><li>Ενσωματωμένος αισθητήρας PIR ανίχνευσης κίνησης 60° με ρύθμιση ευαισθησίας έως και 10 μέτρα</li><li>Παρακολούθηση μέρα- νύχτα με 30 ισχυρά IR LED νυχτερινής όρασης</li><li>Λειτουργία Sleep Mode για πολύ μικρή κατανάλωση για ως και 20 ημέρες περίπου.</li></ul>,ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Gadgets>Action και παιδικές κάμερες
36615,Βάση κάμερας - 360-1.7M - 676005BC,Βάση κάμερας - 360-1.7M - 676005BC,in stock,new,23.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/1305_676005.jpg,OEM,No Color,4,"<p>Βάση κάμερας 360 μοιρών περιστρεφόμενη, έως 1.7M μέγιστο ύψος.</p>",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Gadgets>Action και παιδικές κάμερες
36685,Παιδική ψηφιακή κάμερα - X200 - 881667 - Gree,Παιδική ψηφιακή κάμερα - X200 - 881667 - Green,in stock,new,13.5 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/881667-1.jpg,OEM,No Color,0.4,"<div class=""system-description""><p>Τώρα το παιδί σας έχει την δική του ψηφιακή κάμερα για να απαθανατίζει κάθε στιγμή με την οικογένεια και τους φίλους του, διασκεδάζοντας! Ελαφρύς και εργονομικός σχεδιασμός με λουράκι μεταφοράς για να την έχει παντού μαζί του.</p><p><strong>Χαρακτηριστικά</strong>:</p><ul><li>Υποδοχή κάρτας μνήμης έως 32GB (η κάρτα μνήμης δεν περιλαμβάνεται)</li><li>Οθόνη LCD 2""</li><li>Φακός 8 megapixels</li><li>Γωνία λήψης: 100 degree</li><li>Μορφή φωτογραφιών: JPEG</li><li>Ανάλυση βίντεο: 1080P: 1440 * 1080, 720P: 1280 * 720, VGA: 640 * 480</li><li>Τάση φόρτισης: DC5V</li><li>Συχνότητα: 50Hz, 60Hz</li><li>Μπαταρία: 3.7V, 400mAh (φόρτιση με καλώδιο USB)</li><li>Διαστάσεις: 90x65x60mm</li><li>Βάρος: 52g</li></ul></div><p><strong>Η συσκευασία περιλαμβάνει:</strong></p><ul><li>1 x ψηφιακή κάμερα</li><li>1 x καλώδιο USB</li></ul>",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Gadgets>Action και παιδικές κάμερες
36785,Παιδική ψηφιακή κάμερα δελφίνι - X12 -,Παιδική ψηφιακή κάμερα δελφίνι - X12 - 882689 - Blue,in stock,new,18 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/1507_882689.jpg,OEM,No Color,0.3,"<p>Τώρα το παιδί σας έχει την δική του ψηφιακή κάμερα για να απαθανατίζει κάθε στιγμή με την οικογένεια και τους φίλους του, διασκεδάζοντας! Ελαφρύς και εργονομικός σχεδιασμός με λουράκι μεταφοράς για να την έχει παντού μαζί του.</p><p><strong>Χαρακτηριστικά</strong>:</p><p>Μνήμη: Εξωτερική κάρτα αποθήκευσης (Υψηλότερη υποστήριξη 256 GB, δεν περιλαμβάνεται)<br />Μέγεθος αισθητήρα: 1/3 ίντσα<br />Τύπος αισθητήρα: Αισθητήρας υψηλής ευαισθησίας CMOS<br />Φακός: F / NO: 2,2 f = 2,35 mm<br />Ανάλυση βίντεο: <br />FHD: 1920 * 1080 60fps / 1920 * 1080 30fs<br />HD: 1280 * 720 20fps / 1280720 60fps / 1280 * 720 30fps<br />VGA: 640 ° 480 30fps Προεπιλογή 3840 * 2160 30fps<br />Μορφή εικόνας: JPG<br />Ανάλυση φωτογραφίας: 20M （5200 * 3900)<br />14Μ (4320 * 3240)<br />10M (4320 * 2430) 8M （3840 * 2160) 5M (2592 * 1944) 2MHD (1920 * 1080) Προεπιλογή: 20M<br />Μπαταρία: πολυμερούς λιθίου 4.2V , 800mAh（Μη αποσπώμενη） <br />Μοντέλο μπαταρίας: SX16-1000<br />Τάση εισόδου: 5V / 2A<br />Βάρος: περίπου 163 γραμ.</p><p><strong>Περιλαμβάνεται στη συσκευασία:</strong></p><p>1 x Παιδική κάμερα<br />1 x Λουρί μεταφοράς<br />1 x Καλώδιο φόρτισης<br />1 x Εγχειρίδιο</p>",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Gadgets>Action και παιδικές κάμερες
36795,Παιδική ψηφιακή κάμερα δελφίνι - X12 -,Παιδική ψηφιακή κάμερα δελφίνι - X12 - 882689 - Pink,in stock,new,18 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/1507_882689_p.jpg,OEM,No Color,0.3,"<p>Τώρα το παιδί σας έχει την δική του ψηφιακή κάμερα για να απαθανατίζει κάθε στιγμή με την οικογένεια και τους φίλους του, διασκεδάζοντας! Ελαφρύς και εργονομικός σχεδιασμός με λουράκι μεταφοράς για να την έχει παντού μαζί του.</p><p><strong>Χαρακτηριστικά</strong>:</p><p>Μνήμη: Εξωτερική κάρτα αποθήκευσης (Υψηλότερη υποστήριξη 256 GB, δεν περιλαμβάνεται)<br />Μέγεθος αισθητήρα: 1/3 ίντσα<br />Τύπος αισθητήρα: Αισθητήρας υψηλής ευαισθησίας CMOS<br />Φακός: F / NO: 2,2 f = 2,35 mm<br />Ανάλυση βίντεο: <br />FHD: 1920 * 1080 60fps / 1920 * 1080 30fs<br />HD: 1280 * 720 20fps / 1280720 60fps / 1280 * 720 30fps<br />VGA: 640 ° 480 30fps Προεπιλογή 3840 * 2160 30fps<br />Μορφή εικόνας: JPG<br />Ανάλυση φωτογραφίας: 20M （5200 * 3900)<br />14Μ (4320 * 3240)<br />10M (4320 * 2430) 8M （3840 * 2160) 5M (2592 * 1944) 2MHD (1920 * 1080) Προεπιλογή: 20M<br />Μπαταρία: πολυμερούς λιθίου 4.2V , 800mAh（Μη αποσπώμενη） <br />Μοντέλο μπαταρίας: SX16-1000<br />Τάση εισόδου: 5V / 2A<br />Βάρος: περίπου 163 γραμ.</p><p><strong>Περιλαμβάνεται στη συσκευασία:</strong></p><p>1 x Παιδική κάμερα<br />1 x Λουρί μεταφοράς<br />1 x Καλώδιο φόρτισης<br />1 x Εγχειρίδιο</p>",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Gadgets>Action και παιδικές κάμερες
36926,Action Camera - 4K - WiFi - 559685,Action Camera - 4K - WiFi - 559685,in stock,new,36 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/559685_1310.jpg,OEM,No Color,0.4,"<strong>Χαρακτηριστικά</strong>:
<ul>
 	<li>ULTRA HD 4Κ H.264</li>
 	<li>Αδιάβροχη έως 30μ</li>
 	<li>Ανάλυση βίντεο: 4K 10fps / 2.7K 15fps, 1080p 60/30 fps(H.264), 720p 120/60 fps (H.264)</li>
 	<li>Μπαταρία: 1050mAh αποσπώμενη (~1,2 συνεχόμενη ώρα λειτουργίας*)</li>
 	<li>Μορφή βίντεο: MOV</li>
 	<li>Αποθήκευση: Micro SD</li>
 	<li>Input/Output: Micro USB/HDMI</li>
 	<li>Ενσωματωμένη Μνήμη: 170 ° Α + HD ευρυγώνιος φακός</li>
 	<li>Αποθηκευτικό Μέσο: SD Card</li>
 	<li>Μέγιστη Ανάλυση Video: 1080P</li>
 	<li>Γλώσσα: Αγγλικά / Γερμανικά / Γαλλικά / Ισπανικά / Ιταλικά / Πορτογαλικά / Κινέζικα / Ιαπωνικά / Ρωσικά</li>
 	<li>Διαστάσεις: 6 x 4 x 3cm</li>
</ul>
<strong>Η συσκευασία περιλαμβάνει:</strong>
<ul>
 	<li>Αδιάβροχη θήκη</li>
 	<li>Βραχίονα αδιάβροχης θήκης</li>
 	<li>Κλιπ αδιάβροχης θήκης</li>
 	<li>Βάση τιμονιού μηχανής ή ποδηλάτου</li>
 	<li>Κλιπ κάμερας</li>
 	<li>Βάση κράνους</li>
 	<li>Μαντηλάκι καθαρισμού οθόνης</li>
 	<li>3Μ αυτοκόλλητα</li>
 	<li>Καλώδιο φόρτισης</li>
 	<li>Αντάπτορας πρίζας</li>
 	<li>Οδηγίες, Μενού και Εφαρμογές στα Αγγλικά</li>
</ul>",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Gadgets>Action και παιδικές κάμερες
38017,Ασύρματη κάμερα κυνηγιού με αισθητ�,Ασύρματη κάμερα κυνηγιού με αισθητήρα κίνησης - P600 - 883020,in stock,new,54 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2904_883020-1.jpg,OEM,No Color,0.8,"<div><div><p><strong>Χαρακτηριστικά:</strong></p><ul><li>Αισθητήρας εικόνας: Έγχρωμο CMOS 3MP</li><li>Ανάλυση φωτογραφίας: 12MP, 4032 x 3024</li><li>Ανάλυση βίντεο: FHD 1920 x 1080P @ 25FPS</li><li>Χρόνος ενεργοποίησης: 0,8S</li><li>Γωνία PIR: 60 μοίρες</li><li>Φακός: 52 βαθμοί πλάτος</li><li>IR LED: 38 940nm μαύρα φώτα, 10m</li><li>Απόσταση PIR: 15 m</li><li>Μέγιστη υποστηριζόμενη αποθήκευση: Max Micro SD 32 GB (δεν περιλαμβάνεται)</li><li>Υποδοχή USB: USB 2.0</li><li>Τροφοδοσία: 4 μπαταρίες AA ή DC 5V</li><li>Αντοχή στο νερό: IP54</li><li>Χρόνος αναμονής: 8 μήνες</li><li>Μέγεθος: 110 x 92 x 55mm / 4,33 x 3,62 x 2,16 ίντσες</li><li>Βάρος: 110gr</li><li>Θερμοκρασία λειτουργίας: -10 ~ +70 ° C</li></ul></div></div>",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Gadgets>Action και παιδικές κάμερες
38896,Action camera - F32 - 1080P - 881360 - Black,Action camera - F32 - 1080P - 881360 - Black,in stock,new,18 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/881360.jpeg,OEM,No Color,0.8,"<div class=""sku-description""><div class=""simple-description js-description-html"">Με 1.5” οθόνη υψηλής ευκρίνειας, ενσωματωμένο μικρόφωνο, συμπαγή κατασκευή και αδιάβροχη θήκη, θα μπορείτε να την έχετε μαζί σας παντού και σε κάθε περιπέτεια. Περιλαμβάνει αδιάβροχη θήκη που επιτρέπει να κινηματογραφήσετε θαλάσσια σπορ (ανθεκτική στο νερό έως και 30 μέτρα</div><div> </div><div><strong>Χαρακτηριστικά:</strong></div></div><div class=""sku-description""><div class=""rich-components""><section class=""one-column""><div class=""body-text""><ul><li>Οθόνη Liquid Crystal Display (LCD) 1.5LTPS</li><li>Ανάλυση Video: 1080P (1920*1080) 30FPS;</li><li>Video Format MOV</li><li>Μνήμη: κάρτα Micro SD (δεν περιλαμβάνεται)</li><li>Ανάλυση photo 3M</li><li>USB Interface USB2.0</li><li>Τροφοδοσία: 5V1A</li><li>Battery Capacity 900MAH</li><li>Αυτονομία μπαταρίας: περίπου 1.5 ώρα</li><li>Χρόνος φόρτισης: 3 ώρες</li><li>Water Resistant 30 μέτρα</li><li>Διαστάσεις (M x Π x Y): 6 x 4 x 3cm</li></ul></div></section><section class=""one-column""><h4>Η συσκευασία περιλαμβάνει:</h4><div class=""body-text""><ul><li>SPORTS κάμερα HD-DV</li><li>Αδιάβροχη θήκη</li><li>Καλώδιο φόρτισης micro usb σε usb</li><li>Βάση στήριξης</li><li>Εγχειρίδιο χρήσης στα αγγλικά</li></ul></div></section></div></div>",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Gadgets>Action και παιδικές κάμερες
