id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
36420,Ενσύρματα ακουστικά - Gaming Headphones - AS70 ,Ενσύρματα ακουστικά - Gaming Headphones - AS70 - AOAS - 655020,in stock,new,14.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/655020.jpg,OEM,No Color,1,"<p><strong>Χαρακτηριστικά:</strong></p><ul><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b ChMk0b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""auto"" data-phrase-index=""0"">Διάμετρος ηχείου: 50mm<br /></span></span></li><li><span class=""VIiyi"" lang=""el""> <span class=""JLqJ4b ChMk0b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""auto"" data-phrase-index=""2"">Ευαισθησία: -38dB <span class=""aCOpRe"">±</span> 3dB</span></span></li><li><span class=""VIiyi"" lang=""el""> <span class=""JLqJ4b ChMk0b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""auto"" data-phrase-index=""6"">Αντίσταση: 16Ω <span class=""aCOpRe"">±</span> 10%</span></span></li><li><span class=""VIiyi"" lang=""el""> <span class=""JLqJ4b ChMk0b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""auto"" data-phrase-index=""8"">Απόκριση συχνότητας: 20Hz-20kHz</span></span></li><li><span class=""VIiyi"" lang=""el""> <span class=""JLqJ4b ChMk0b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""auto"" data-phrase-index=""10"">Ηχητική πίεση εξόδου: 105dB</span></span></li><li><span class=""VIiyi"" lang=""el""> <span class=""JLqJ4b ChMk0b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""auto"" data-phrase-index=""12"">Μήκος γραμμής: 2.2m</span></span></li></ul>",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Gadgets>Ακουστικά headphones
36429,Ενσύρματα ακουστικά Gaming - G301 - KOMC - Red,Ενσύρματα ακουστικά Gaming - G301 - KOMC - Red,in stock,new,18 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/1801_302568-r.jpg,OEM,No Color,1,<p>Ακουστικά Stereo KOMC USB Headphones G301 με Μικρόφωνο και Πλήκτρα.</p><p><strong>Χαρακτηριστικά</strong>:<br /><br />Κατασκευαστής: Komc<br />Τύπος Σύνδεσης: Ενσύρματο<br />Σύνδεση: USB<br />Μήκος Καλωδίου: 2 m<br />Απόκριση Συχνότητας: 20hZ - 20KhZ<br />Αντίσταση: 32Ω<br />Ευαισθησία: 58+/-2dB<br />Πλήκτρα Ελέγχου: Ναι<br />Υποστηρίζει Κάρτα Μνήμης: Όχι<br />Ήχος: Stereo<br />Με Μικρόφωνο: Ναι<br />Ραδιόφωνο: Όχι</p>,ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Gadgets>Ακουστικά headphones
36434,Ενσύρματα ακουστικά Gaming - G301 - KOMC - 3025,Ενσύρματα ακουστικά Gaming - G301 - KOMC - 302568 - Blue,in stock,new,18 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/61HGG9Izv4L._AC_SL1000_.jpg,OEM,No Color,1,<p>Ακουστικά Stereo KOMC USB Headphones G301 με Μικρόφωνο και Πλήκτρα.</p><p><strong>Χαρακτηριστικά</strong>:</p><p>Κατασκευαστής: Komc</p><p>Τύπος Σύνδεσης: Ενσύρματο</p><p>Σύνδεση: USB</p><p>Μήκος Καλωδίου: 2 m</p><p>Απόκριση Συχνότητας: 20hZ - 20KhZ</p><p>Αντίσταση: 32Ω Ευαισθησία: 58+/-2dB</p><p>Πλήκτρα Ελέγχου: Ναι</p><p>Υποστηρίζει Κάρτα Μνήμης: Όχι</p><p>Ήχος: Stereo</p><p>Με Μικρόφωνο: Ναι</p><p>Ραδιόφωνο: Όχι</p>,ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Gadgets>Ακουστικά headphones
36816,Ασύρματα ακουστικά - Cat Headphones - M2 - 88161,Ασύρματα ακουστικά - Cat Headphones - M2 - 881611 - Black,in stock,new,16.2 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2912_881611_b.jpg,OEM,No Color,0.4,"<div id=""product_tabs-6107bf64207b9"" class=""product_extra-242 tab-pane active""><div class=""block-body expand-block""><div class=""block-wrapper""><div class=""block-content ""><p><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""auto"" data-phrase-index=""0"">Ασύρματα ακουστικά Gaming Bluetooth με εξαιρετικό ήχο και πανέμορφο σχεδιασμό με αυτάκια γατάς που φωτίζουν με πολύχρωμο φωτισμό LED.</span></span></p><p><strong><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""auto"" data-phrase-index=""0"">Χαρακτηριστικά: </span></span></strong></p><ul><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""auto"" data-phrase-index=""0"">Χρόνος λειτουργίας: έως 8 ώρες </span></span></li><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""auto"" data-phrase-index=""0"">Απόσταση λήψης Bluetooth: 10 μέτρα </span></span></li><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""auto"" data-phrase-index=""0"">Χρόνος φόρτισης: 2 ώρες </span></span></li><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""auto"" data-phrase-index=""0"">Bluetooth έκδοση: 5.0 </span></span></li><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""auto"" data-phrase-index=""0"">Χρόνος αναμονής: 148 ώρες </span></span></li><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""auto"" data-phrase-index=""0"">Μέγεθος ηχείων: 40mm </span></span></li><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""auto"" data-phrase-index=""0"">Λειτουργίες/θύρες: Bluetooth / κάρτα μνήμης / aux </span></span></li><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""auto"" data-phrase-index=""0"">Διαστάσεις ακουστικών: 9x17x20cm </span></span></li></ul><p><strong><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""auto"" data-phrase-index=""0"">Η συσκευασία περιλαμβάνει:</span></span></strong></p><ul><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""auto"" data-phrase-index=""0""> 1 * Ακουστικά Bluetooth</span></span></li><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""auto"" data-phrase-index=""0"">1 * καλώδιο USB </span></span></li><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""auto"" data-phrase-index=""0"">1 * Εγχειρίδιο χρήσης<br /></span></span></li></ul></div></div></div></div>",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Gadgets>Ακουστικά headphones
36817,Ενσύρματα ακουστικά Gaming - G312 - KOMC - 3028,Ενσύρματα ακουστικά Gaming - G312 - KOMC - 302810 - Army Blue,in stock,new,21.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/1801_302810-army-gr-1.jpg,OEM,No Color,1,"<div id=""tab-description"" class=""panel entry-content wc-tab""><p><span class=""tlid-translation translation"" lang=""el"">Ενσύρματα ακουστικά Gaming με εξαιρετικό ήχο και τεχνολογία </span><span class=""tlid-translation translation"" lang=""el"">απομόνωσης θορύβου. </span><span class=""tlid-translation translation"" lang=""el"">Συμβατά με Η/Υ, κινητά τηλέφωνα και κονσόλες. Διαθέτουν ενσωματωμένο μικρόφωνο με ρυθμιζόμενη θέση και φωτισμό LED.<br /></span></p><p><strong>Χαρακτηριστικά</strong>:</p><p><span class=""tlid-translation translation"" lang=""el""><span class="""" title="""">Βύσμα: Υποδοχή USB + 2 * 3,5MM</span><br /><span class="""" title="""">Αντίσταση: 32 Ohms</span><br /><span class="""" title="""">Συχνότητα: 108dB</span><br /><span class="""" title="""">Μεγεθος ηχείου: 40mm</span><br /><span class="""" title="""">Μήκος καλωδίου: 1.5M</span><br /><span class="""" title="""">Ευαισθησία μικροφώνου: 58 +/- 2dB</span></span></p></div>",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Gadgets>Ακουστικά headphones
36823,Ενσύρματα ακουστικά Gaming - G312 - KOMC - 3028,Ενσύρματα ακουστικά Gaming - G312 - KOMC - 302810 - Army Brown,in stock,new,21.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/1801_302810-army-br.jpg,OEM,No Color,1,"<div id=""tab-description"" class=""panel entry-content wc-tab""><p><span class=""tlid-translation translation"" lang=""el"">Ενσύρματα ακουστικά Gaming με εξαιρετικό ήχο και τεχνολογία </span><span class=""tlid-translation translation"" lang=""el"">απομόνωσης θορύβου. </span><span class=""tlid-translation translation"" lang=""el"">Συμβατά με Η/Υ, κινητά τηλέφωνα και κονσόλες. Διαθέτουν ενσωματωμένο μικρόφωνο με ρυθμιζόμενη θέση και φωτισμό LED.<br /></span></p><p><strong>Χαρακτηριστικά</strong>:</p><p><span class=""tlid-translation translation"" lang=""el""><span class="""" title="""">Βύσμα: Υποδοχή USB + 2 * 3,5MM</span><br /><span class="""" title="""">Αντίσταση: 32 Ohms</span><br /><span class="""" title="""">Συχνότητα: 108dB</span><br /><span class="""" title="""">Μεγεθος ηχείου: 40mm</span><br /><span class="""" title="""">Μήκος καλωδίου: 1.5M</span><br /><span class="""" title="""">Ευαισθησία μικροφώνου: 58 +/- 2dB</span></span></p></div>",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Gadgets>Ακουστικά headphones
36824,Ενσύρματα ακουστικά Gaming - G312 - KOMC - 3028,Ενσύρματα ακουστικά Gaming - G312 - KOMC - 302810 - Army Green,in stock,new,21.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/1801_302810-army-1.jpg,OEM,No Color,1,"<div id=""tab-description"" class=""panel entry-content wc-tab""><p><span class=""tlid-translation translation"" lang=""el"">Ενσύρματα ακουστικά Gaming με εξαιρετικό ήχο και τεχνολογία </span><span class=""tlid-translation translation"" lang=""el"">απομόνωσης θορύβου. </span><span class=""tlid-translation translation"" lang=""el"">Συμβατά με Η/Υ, κινητά τηλέφωνα και κονσόλες. Διαθέτουν ενσωματωμένο μικρόφωνο με ρυθμιζόμενη θέση και φωτισμό LED.<br /></span></p><p><strong>Χαρακτηριστικά</strong>:</p><p><span class=""tlid-translation translation"" lang=""el""><span class="""" title="""">Βύσμα: Υποδοχή USB + 2 * 3,5MM</span><br /><span class="""" title="""">Αντίσταση: 32 Ohms</span><br /><span class="""" title="""">Συχνότητα: 108dB</span><br /><span class="""" title="""">Μεγεθος ηχείου: 40mm</span><br /><span class="""" title="""">Μήκος καλωδίου: 1.5M</span><br /><span class="""" title="""">Ευαισθησία μικροφώνου: 58 +/- 2dB</span></span></p></div>",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Gadgets>Ακουστικά headphones
37207,Ενσύρματα ακουστικά - AKZ025 - 780253 - Black,Ενσύρματα ακουστικά - AKZ025 - 780253 - Black,in stock,new,18 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/780253_b.jpg,OEM,No Color,0.3,"<p><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""th"" data-phrase-index=""0"" data-number-of-phrases=""1"">Ενσύρματα, ακουστικά με εξαιρετικό στερεοφωνικό ήχο και ενσωματωμένο ρυθμιζόμενο μικρόφωνο. Διαθέτουν εργονομικό σχεδιασμό για πολύωρη χρήση χωρίς να κουράζουν, ενώ τα ειδικά μαξιλαράκια ενισχύουν την άνετη εφαρμογή και προσφέρουν άριστη ηχομόνωση. </span></span></p><p><strong>Χαρακτηριστικά</strong>:</p><ul><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""th"" data-phrase-index=""0"" data-number-of-phrases=""1"">Μέγεθος ηχείων: 40 mm </span></span></li><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""th"" data-phrase-index=""0"" data-number-of-phrases=""1"">Περιστρεφόμενο μικρόφωνο 120°</span></span></li><li>Ρυθμιζόμενο μήκος στηρίγματος κεφαλής</li><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""th"" data-phrase-index=""0"" data-number-of-phrases=""1"">Καλώδιο AUX</span></span></li><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""th"" data-phrase-index=""0"" data-number-of-phrases=""1"">USB 3,5 mm<br /></span></span></li><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""th"" data-phrase-index=""0"" data-number-of-phrases=""1"">Ευαισθησία: 108 ± 3 DB </span></span></li><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""th"" data-phrase-index=""0"" data-number-of-phrases=""1"">Μήκος καλωδίου: 1,8m </span></span></li><li>Περιλαμβάνονται Οδηγίες Χρήσης στα Αγγλικά</li></ul><p>Διαθέσιμα χρώματα: κόκκινο, μαύρο, μπλε - Σημειώστε το χρώμα προτίμησης σας στις σημειώσεις παραγγελίας.</p>",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Gadgets>Ακουστικά headphones
37275,Ενσύρματα ακουστικά Gaming - G302 - KOMC - 3025,Ενσύρματα ακουστικά Gaming - G302 - KOMC - 302582 - Red,in stock,new,18 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/1302_302582_r.jpeg,OEM,No Color,1,"<p>Ακουστικά Stereo KOMC PC Series G302 με Μικρόφωνο και Διπλό Κονέκτορα 3.5 mm για Κινητά Τηλέφωνα, Tablet και Ηλεκτρονικές Συσκευές. Ιδανικά για Gaming καθώς προσφέρουν υψηλής ποιότητας ήχο και ρυθμιζόμενο εξωτερικό μικρόφωνο.</p><p><strong>Χαρακτηριστικά</strong>:</p><p>Συνδεσιμότητα: USB + 2*3.5mm jack/USB + Soundcard<br />Αντίσταση: 32Ω<br />Earpad υλικό: PU για άψογη ηχομόνωση και άνετη εφαρμογή<br />Συχνότητα: 20 hz-20khz<br />Drive unit: Φ40mm<br />Μήκος καλωδίου: 2m<br />Ευαισθησία μικροφώνου: 52±2dB</p>",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Gadgets>Ακουστικά headphones
37276,Ενσύρματα ακουστικά Gaming - G302 - KOMC - 3025,Ενσύρματα ακουστικά Gaming - G302 - KOMC - 302582 - Blue,in stock,new,18 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/1305_302582_bl-1.jpeg,OEM,No Color,1,"<p>Ακουστικά Stereo KOMC PC Series G302 με Μικρόφωνο και Διπλό Κονέκτορα 3.5 mm για Κινητά Τηλέφωνα, Tablet και Ηλεκτρονικές Συσκευές. Ιδανικά για Gaming καθώς προσφέρουν υψηλής ποιότητας ήχο και ρυθμιζόμενο εξωτερικό μικρόφωνο.</p><p><strong>Χαρακτηριστικά</strong>:</p><p>Συνδεσιμότητα: USB + 2*3.5mm jack/USB + Soundcard<br />Αντίσταση: 32Ω<br />Earpad υλικό: PU για άψογη ηχομόνωση και άνετη εφαρμογή<br />Συχνότητα: 20 hz-20khz<br />Drive unit: Φ40mm<br />Μήκος καλωδίου: 2m<br />Ευαισθησία μικροφώνου: 52±2dB</p>",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Gadgets>Ακουστικά headphones
