id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
35143,Καλώδιο μικροφώνου - Jack 6.3mm - 5m - 196866,Καλώδιο μικροφώνου - Jack 6.3mm - 5m - 196866,in stock,new,4.5 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/196866.jpeg,OEM,No Color,0.4,"<p>Καλώδιο μικροφώνου 5 μέτρων, Jack 6,3mm, male to male, κατάλληλο για όλους τους τύπους μικροφώνων.</p>","ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Καλώδια>Καλώδια τηλεόρασης, ήχου και Η/Υ"
35144,Καλώδιο ήχου - Jack 3.5mm σε Jack 3.5mm - 3m - 19592,Καλώδιο ήχου - Jack 3.5mm σε Jack 3.5mm - 3m - 195929,in stock,new,3.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/122074.png,OEM,No Color,0.3,Καλώδιο ήχου - Jack 3.5mm σε Jack 3.5mm - 3m - 195929,"ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Καλώδια>Καλώδια τηλεόρασης, ήχου και Η/Υ"
35145,Καλώδιο εκτυπωτή USB 2.0 - 5m - 197698,Καλώδιο εκτυπωτή USB 2.0 - 5m - 197698,in stock,new,6.3 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/usbprinter.jpg,OEM,No Color,0.3,Καλώδιο εκτυπωτή USB 2.0 - 5m - 197698Διαστάσεις συσκευασίας: 20 Χ 8 εκατοστά.,"ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Καλώδια>Καλώδια τηλεόρασης, ήχου και Η/Υ"
35170,Καλώδιο ήχου - 3.5mm Jack σε AUX - CT412 - 3m - 1220,Καλώδιο ήχου - 3.5mm Jack σε AUX - CT412 - 3m - 122074,in stock,new,4.5 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/122074.png,OEM,No Color,0.3,Καλώδιο - 3.5mm Jack σε AUX - CT412 - 3m - 122074,"ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Καλώδια>Καλώδια τηλεόρασης, ήχου και Η/Υ"
35269,Καλώδιο - 1.4V High Definition 3D - Cable Ethernet X1 - 1.,Καλώδιο - 1.4V High Definition 3D - Cable Ethernet X1 - 1.5m - 115762,in stock,new,6.3 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/sglcableethernet.jpg,OEM,No Color,0.3,Καλώδιο 1.5Μ - 1.4V High Definition 3D - Cable Ethernet X1 - 115762,"ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Καλώδια>Καλώδια τηλεόρασης, ήχου και Η/Υ"
35549,Καλώδιο HDMI - 15m - 674735,Καλώδιο HDMI - 15m - 674735,in stock,new,27 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/PP_304907.jpg,OEM,No Color,1.5,Καλώδιο HDMI - 15m - 674735,"ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Καλώδια>Καλώδια τηλεόρασης, ήχου και Η/Υ"
35550,Καλώδιο HDMI - 5m - 674728,Καλώδιο HDMI - 5m - 674728,in stock,new,9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/PP_304907.jpg,OEM,No Color,1.5,Καλώδιο HDMI - 5m - 674728,"ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Καλώδια>Καλώδια τηλεόρασης, ήχου και Η/Υ"
35551,Καλώδιο - Τηλεφωνική γραμμή - 5 μέτρα,Καλώδιο - Τηλεφωνική γραμμή - 5 μέτρα - 674896,in stock,new,1.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/kalodio-tilefonou-etoimo-klips-klips-15m-lefko-huge.jpg,OEM,No Color,0.3,Καλώδιο - Τηλεφωνική γραμμή - 5 μέτρα - 674896 Διαστάσεις συσκευασίας: 16 Χ 20 εκατοστά.,"ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Καλώδια>Καλώδια τηλεόρασης, ήχου και Η/Υ"
36160,Καλώδιο AC - Power Cable - 1.5m - 200738,Καλώδιο AC - Power Cable - 1.5m - 200738,in stock,new,1.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/0707_200738.jpg,OEM,No Color,0.1,Καλώδιο AC - Power Cable - 1.5m - 200738,"ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Καλώδια>Καλώδια τηλεόρασης, ήχου και Η/Υ"
36161,Καλώδιο VGA - HDTV - 3m - 195311,Καλώδιο VGA - HDTV - 3m - 195311,in stock,new,6.3 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/0707_195311.jpg,OEM,No Color,0.1,Καλώδιο VGA - HDTV - 3m - 195311Διαστάσεις συσκευασίας: 16 Χ 20 εκατοστά.,"ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Καλώδια>Καλώδια τηλεόρασης, ήχου και Η/Υ"
