id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
35339,Επαναφορτιζόμενο ραδιόφωνο - WS1808 - 55,Επαναφορτιζόμενο ραδιόφωνο - WS1808 - 554086 - White,in stock,new,18 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/creto-high-bass-sound-ws-1808-multicolor-led-light-on-front-fm-original-imaewzazunhmr7xr.png,OEM,No Color,0.8,"<p><strong>Χαρακτηριστικά:</strong></p><ul class=""i8Z77e""><li class=""TrT0Xe"">Ισχύς: 15 W.</li><li class=""TrT0Xe"">Χρόνος φόρτισης: 2.5 hr.</li><li class=""TrT0Xe""><b>Bluetooth</b> Version: v4.0</li><li class=""TrT0Xe"">Εμβέλεια: έως 10 m</li><li>Ραδιόφωνο FM</li><li>Θύρα AUX</li><li class=""TrT0Xe"">Θύρα Memory Card (έως 128 GB)</li><li>Διαστάσεις 22 x 12 x 10</li></ul>",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Ραδιόφωνα  Ηχεία>Επαναφορτιζόμενα Ραδιόφωνα
36793,Επαναφορτιζόμενο ραδιόφωνο - M523BT - 86,Επαναφορτιζόμενο ραδιόφωνο - M523BT - 865253,in stock,new,25.2 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/865253.jpg,OEM,No Color,0.7,"<p>Φορητό ραδιόφωνο με Bluetooth σε όμορφο Retro design. Διαθέτει ηλιακό πάνελ για έξτρα αντοχή μπαταρίας και πλαϊνό φακό LED.</p><p><strong>Χαρακτηριστικά</strong>:</p><ul><li>Ραδιόφωνο FM/AM</li><li>Πλαινός φακός LED</li><li>Θύρες: USB/TF/AUX</li><li><span class=""attr-name J-attr-name"" title=""Rechargeable battery"">Μπαταρία: </span>1200mA</li><li><span class=""attr-name J-attr-name"" title=""Solar panel"">Ηλιακό πάνελ φόρτισης: </span>6V-1.5W</li><li><span class=""attr-name J-attr-name"" title=""Speaker"">Ηχείο: </span>3"""", 45HZ, 5W</li><li><span class=""attr-name J-attr-name"" title=""Product size"">Διαστάσεις: </span>24*12.5*12.5CM</li></ul><dl class=""do-entry-item""></dl>",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Ραδιόφωνα  Ηχεία>Επαναφορτιζόμενα Ραδιόφωνα
37105,Επαναφορτιζόμενο ραδιόφωνο - XB-821-BT -,Επαναφορτιζόμενο ραδιόφωνο - XB-821-BT - 108211,in stock,new,16.2 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/108211_1511-2.jpg,OEM,No Color,0.4,"<div class=""summary""><div class=""description auto-description""><p class=""main"">Το επιτραπέζιο ραδιόφωνο έχει αναλογικό χειρισμό για να αλλάζετε ραδιοφωνικούς σταθμούς χρησιμοποιώντας την κλασική ροδέλα και κλασικό ρετρό στυλ που θυμίζει μια παλαιότερη εποχή. Επιπλέον διαθέτει bluetooth για να συνδέσετε συσκευές που έχουν την ίδια τεχνολογία όπως για παράδειγμα κινητό τηλέφωνο.</p><p><strong>Χαρακτηριστικά:</strong></p><ul class=""columns-list""><li>Τύπος Δέκτη: Αναλογικό</li><li>Υποστηριζόμενες Συχνότητες: AM, FM</li><li>Συνδεσιμότητα: Bluetooth, USB</li><li>Ειδικά Χαρακτηριστικά: Retro, Κάρτα Μνήμης</li><li>Τροφοδοσία: Ηλιακό</li></ul></div></div>",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Ραδιόφωνα  Ηχεία>Επαναφορτιζόμενα Ραδιόφωνα
37110,Επαναφορτιζόμενο ραδιόφωνο - XB-853-BT -,Επαναφορτιζόμενο ραδιόφωνο - XB-853-BT - 008539 - Red,in stock,new,16.2 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/008539_r-1.jpg,OEM,No Color,0.3,"<p>Το φορητό ραδιόφωνο έχει αναλογικό χειρισμό για να αλλάζετε ραδιοφωνικούς σταθμούς χρησιμοποιώντας την κλασική ροδέλα. <br />Επιπλέον διαθέτει υποδοχή AUX για να συνδέσετε ενσύρματα συσκευές, και Βluetooth για να συνδέσετε ασύρματα οποιαδήποτε συσκευή διαθέτει Βluetooth.</p><p><strong>Χαρακτηριστικά</strong>:</p><p>Τύπος Δέκτη: Αναλογικό <br />Υποστηριζόμενες <br />Συχνότητες: AM, FM, SW <br />Συνδεσιμότητα: AUX, Bluetooth, USB<br />Πλαινός φακός LED</p>",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Ραδιόφωνα  Ηχεία>Επαναφορτιζόμενα Ραδιόφωνα
37111,Επαναφορτιζόμενο ραδιόφωνο - FP-1501U - ,Επαναφορτιζόμενο ραδιόφωνο - FP-1501U - 815100,in stock,new,10.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/1106_815100-1.jpg,OEM,No Color,0.3,"<div class=""summary""><div class=""description auto-description""><p class=""main"">Το φορητό ραδιόφωνο έχει αναλογικό χειρισμό για να αλλάζετε ραδιοφωνικούς σταθμούς χρησιμοποιώντας την κλασική ροδέλα.</p><p><strong>Χαρακτηριστικά:</strong></p><ul class=""columns-list""><li>Τύπος Δέκτη: Αναλογικό</li><li>Υποστηριζόμενες Συχνότητες: AM, FM, SW</li><li>Συνδεσιμότητα: USB</li><li>Ειδικά Χαρακτηριστικά: Ενσωματωμένα Ηχεία</li><li>Τροφοδοσία: Επαναφορτιζόμενο</li></ul></div></div>",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Ραδιόφωνα  Ηχεία>Επαναφορτιζόμενα Ραδιόφωνα
37112,Επαναφορτιζόμενο ραδιόφωνο - FP-1775 - 0,Επαναφορτιζόμενο ραδιόφωνο - FP-1775 - 017754,in stock,new,12.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2809_017754-1.jpg,OEM,No Color,0.3,"<div class=""summary""><div class=""description auto-description""><p class=""main"">Το φορητό ραδιόφωνο έχει αναλογικό χειρισμό για να αλλάζετε ραδιοφωνικούς σταθμούς χρησιμοποιώντας την κλασική ροδέλα. Επιπλέον διαθέτει υποδοχή AUX για να συνδέσετε ενσύρματα συσκευές όπως mp3 και iPod.</p><p><strong>Χαρακτηριστικά</strong>:</p><ul class=""columns-list""><li>Τύπος Δέκτη: Αναλογικό</li><li>Υποστηριζόμενες Συχνότητες: FM, MW, SW</li><li>Συνδεσιμότητα: AUX, USB</li><li>Ενσωματωμένα Ηχεία</li><li>Τροφοδοσία: Επαναφορτιζόμενο</li></ul></div></div>",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Ραδιόφωνα  Ηχεία>Επαναφορτιζόμενα Ραδιόφωνα
37430,Επαναφορτιζόμενο ραδιόφωνο - XB-853-BT -,Επαναφορτιζόμενο ραδιόφωνο - XB-853-BT - 008539 - Gold,in stock,new,16.2 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/008539_g.jpg,OEM,No Color,0.3,"<p>Το φορητό ραδιόφωνο έχει αναλογικό χειρισμό για να αλλάζετε ραδιοφωνικούς σταθμούς χρησιμοποιώντας την κλασική ροδέλα. <br />Επιπλέον διαθέτει υποδοχή AUX για να συνδέσετε ενσύρματα συσκευές, και Βluetooth για να συνδέσετε ασύρματα οποιαδήποτε συσκευή διαθέτει Βluetooth.</p><p><strong>Χαρακτηριστικά:</strong><br />Τύπος Δέκτη: Αναλογικό <br />Υποστηριζόμενες <br />Συχνότητες: AM, FM, SW <br />Συνδεσιμότητα: AUX, Bluetooth, USB<br />Πλαινός φακός LED</p>",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Ραδιόφωνα  Ηχεία>Επαναφορτιζόμενα Ραδιόφωνα
37431,Επαναφορτιζόμενο ραδιόφωνο - XB-853-BT -,Επαναφορτιζόμενο ραδιόφωνο - XB-853-BT - 008539 - Black,in stock,new,16.2 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/008539_b.jpg,OEM,No Color,0.3,"<p>Το φορητό ραδιόφωνο έχει αναλογικό χειρισμό για να αλλάζετε ραδιοφωνικούς σταθμούς χρησιμοποιώντας την κλασική ροδέλα. <br />Επιπλέον διαθέτει υποδοχή AUX για να συνδέσετε ενσύρματα συσκευές, και Βluetooth για να συνδέσετε ασύρματα οποιαδήποτε συσκευή διαθέτει Βluetooth.</p><p><strong>Χαρακτηριστικά:</strong><br />Τύπος Δέκτη: Αναλογικό <br />Υποστηριζόμενες <br />Συχνότητες: AM, FM, SW <br />Συνδεσιμότητα: AUX, Bluetooth, USB<br />Πλαινός φακός LED</p>",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Ραδιόφωνα  Ηχεία>Επαναφορτιζόμενα Ραδιόφωνα
37521,Επαναφορτιζόμενο ραδιόφωνο - JOC-1822 - ,Επαναφορτιζόμενο ραδιόφωνο - JOC-1822 - 818224,in stock,new,10.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/818224.jpg,OEM,No Color,0.4,"<p>Φορητό ραδιόφωνο υψηλής ποιότητας με έξοδο Hi-Fi ήχου</p><p><strong>Χαρακτηριστικά:</strong><br />Επαναφορτιζόμενη μπαταρία Lithium 3,7V / 1200 mAh<br />Φόρτιση μέσω υπολογιστή μέσω καλωδίου USB<br />Λειτουργία FM ραδιοφώνου 87.5 - 108MHz<br />Πλήκτρα με 10 σταθμούς<br />Πλήκτρα ρύθμισης έντασης, επανάληψης, επόμενου και προηγούμενου σταθμού<br />Υποδοχή για ακουστικά<br />Υποδοχή DC5V<br />Υποδοχή USB<br />LCD οθόνη που εμφανίζει τη συχνότητα<br />Φωτεινή LED ένδειξη φόρτισης <br />Αυτόματη αναζήτηση σταθμών<br />Αυτόματη αποθήκευση καναλιών<br />TF disk & MMC MS<br />Κορδονάκι για μεταφορά<br />Ισχύς ηχείου - 3W (RMS)</p>",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Ραδιόφωνα  Ηχεία>Επαναφορτιζόμενα Ραδιόφωνα
37645,Επαναφορτιζόμενο ραδιόφωνο - WS1808 - 55,Επαναφορτιζόμενο ραδιόφωνο - WS1808 - 554086 - Red,in stock,new,18 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/554086_r.png,OEM,No Color,0.8,"<p><strong>Χαρακτηριστικά:</strong></p><ul class=""i8Z77e""><li class=""TrT0Xe"">Ισχύς: 15 W.</li><li class=""TrT0Xe"">Χρόνος φόρτισης: 2.5 hr.</li><li class=""TrT0Xe"">Bluetooth Version: v4.0</li><li class=""TrT0Xe"">Εμβέλεια: έως 10 m</li><li>Ραδιόφωνο FM</li><li>Θύρα AUX</li><li class=""TrT0Xe"">Θύρα Memory Card (έως 128 GB)</li><li>Διαστάσεις 22 x 12 x 10</li></ul>",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Ραδιόφωνα  Ηχεία>Επαναφορτιζόμενα Ραδιόφωνα
