id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
36603,Φορητό ηχείο subwoofer - 4' - AM405 - 883136,Φορητό ηχείο subwoofer - 4' - AM405 - 883136,in stock,new,27 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/1305_883136.jpg,OEM,No Color,3.5,"<p>Φορητό ηχείο Bluetooth 4"""" - AM405 με υψηλής ποιότητας ήχο και εντυπωσιακά φωτα LED RGB</p><p><strong>Χαρακτηριστικά:</strong></p><ul><li>Θύρες: USB, Memory Card, μικροφώνου</li><li>Ενσωματωμένη επαναφορτιζόμενη μπαταρία 1800mAh</li><li>Ισχύς εξόδου: 10W</li><li>Ισχύς εισόδου: 5V</li><li>Μέγεθος ηχείου 4""""</li><li>Εμβέλεια Bluetooth: 10μ</li><li>Ευαισθησία: &gt;60+2db</li><li>Χρόνος χρήσης: 2 ώρες</li><li>Χρόνος φόρτισης: 3 ώρες</li><li>Περιέχεται καλώδιο φόρτισης</li><li>Διαστάσεις συσκευασίας: 16 x 23 cm</li></ul>",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Ραδιόφωνα  Ηχεία>Φορητά subwoofer
36604,Φορητό ηχείο subwoofer - 4' - AM401 - 883129,Φορητό ηχείο subwoofer - 4' - AM401 - 883129,in stock,new,36 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/1305_883129.jpg,OEM,No Color,5.5,"<p>Φορητό ηχείο Bluetooth 4"""" - AM401 με υψηλής ποιότητας ήχο και εντυπωσιακά φωτα LED RGB</p><p><strong>Χαρακτηριστικά:</strong></p><p>Θύρες: USB, Memory Card, μικροφώνου<br />Ενσωματωμένη επαναφορτιζόμενη μπαταρία 1800mAh<br />Ισχύς εξόδου: 10W<br />Ισχύς εισόδου: 5V<br />Μέγεθος ηχείου 4""""<br />Εμβέλεια Bluetooth: 10μ<br />Ευαισθησία: &gt;60+2db<br />Χρόνος χρήσης: 2 ώρες<br />Χρόνος φόρτισης: 3 ώρες<br />Περιέχεται καλώδιο φόρτισης<br />Διαστάσεις συσκευασίας: 21 x 27 cm<br /> </p>",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Ραδιόφωνα  Ηχεία>Φορητά subwoofer
36696,Φορητό ηχείο subwoofer - BT10 - 678104,Φορητό ηχείο subwoofer - BT10 - 678104,in stock,new,54 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/1106_678111.jpg,OEM,No Color,6.0,"<p>Φορητό ηχείο subwoofer, επαναφορτιζόμενο με εντυπωσιακά φώτα LED.</p><p><strong>Χαρακτηριστικά:</strong></p><ul><li>Ισχύς: 15W</li><li>Βluetooth</li><li>Ευδιάκριτο πάνελ χειρισμού</li><li>Τηλεχειριστήριο</li><li>Μέγεθος ηχείου: 8"""", έχει</li><li>Θύρες: USB/SD Card</li><li>Διάρκεια χρήσης έως 5 ώρες</li><li>Διάρκεια φόρτισης έως 3 ώρες</li><li>Ραδιόφωνο fm/am</li><li>Με χειρολαβή για άνετη μεταφορά</li><li>Διαστάσεις συσκευασίας: 23 x 38 cm</li></ul>",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Ραδιόφωνα  Ηχεία>Φορητά subwoofer
36747,Φορητό ηχείο subwoofer - DS1807 - 890135,Φορητό ηχείο subwoofer - DS1807 - 890135,in stock,new,54 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2806_890135.jpg,OEM,No Color,6.0,"<p>Φορητό, επαναφορτιζόμενο ηχείο-subwoofer με υψηλής ποιότητας ήχο και εντυπωσιακό φωτισμό LED</p><p><strong>Χαρακτηριστικά:</strong></p><ul><li>Ευδιάκριτο πάνελ χειρισμού και οθόνη ενδείξεων</li><li>Βluetooth</li><li>Μέγεθος 8""""</li><li>Ισχύς: 20W</li><li>Θύρες: USB - SD Card - AUX</li><li>Επαναφορτιζόμενη μπαταρία με διάρκεια χρήσης έως 5 ώρες</li><li>Διάρκεια φόρτισης έως 3 ώρες. Το καλώδιο φόρτισης συμπεριλαμβάνεται</li><li>Ραδιόφωνο fm/am</li><li>Πολύ άνετο στην μεταφορά καθώς διαθέτει ροδάκια και χειρολαβή</li><li>Περιέχεται τηλεχειριστήριο και ενσύρματο μικρόφωνο</li><li>Διαστάσεις: 35 x 22 x 19cm</li><li>Βάρος: 0.900gr</li></ul>",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Ραδιόφωνα  Ηχεία>Φορητά subwoofer
36748,Φορητό ηχείο subwoofer - ZQS6111 - 678135,Φορητό ηχείο subwoofer - ZQS6111 - 678135,in stock,new,54 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2806_678135.jpg,OEM,No Color,6.0,"<p>Φορητό, επαναφορτιζόμενο ηχείο-subwoofer με υψηλής ποιότητας ήχο και εντυπωσιακό φωτισμό LED</p><p><strong>Χαρακτηριστικά:</strong></p><ul><li>Ισχύς: 8w</li><li>Ευδιάκριτο πάνελ χειρισμού και οθόνη ενδείξεων</li><li>Βluetooth</li><li>Μέγεθος 6.5""""</li><li>Θύρες: USB - SD Card - AUX</li><li>Επαναφορτιζόμενη μπαταρία με διάρκεια χρήσης έως 5 ώρες</li><li>Διάρκεια φόρτισης έως 3 ώρες. Το καλώδιο φόρτισης συμπεριλαμβάνεται</li><li>Ραδιόφωνο fm/am</li><li>Πολύ άνετο στην μεταφορά καθώς διαθέτει ροδάκια</li><li>Περιέχεται τηλεχειριστήριο και μικρόφωνο</li><li>Διαστάσεις συσκευασίας: 25 x 37 cm</li></ul>",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Ραδιόφωνα  Ηχεία>Φορητά subwoofer
36921,Φορητό ηχείο mini subwoofer - AM-302 - 883143,Φορητό ηχείο mini subwoofer - AM-302 - 883143,in stock,new,16.2 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/883143_1310.jpg,OEM,No Color,4,"<p>Φορητό ηχείο-subwoofer Bluetooth με εξαιρετική ποιότητα ήχου και εντυπωσιακό φωτισμό LED. Διαθέτει ειδική σχισμή στο πάνω μέρος, για την τοποθέτηση του κινητού σας τηλεφώνου οριζόντια ή κάθετα ώστε να μπορείτε να χρησιμοποιείτε παράλληλα και με άνεση τις δύο συσκευές.</p><p><strong>Χαρακτηριστικά:</strong></p><ul><li>Εύρος μετάδοσης Bluetooth: 10m</li><li><div class=""text-ellipsis"" title=""FM/USB/SD Iput/USB/SD/MMC/DVD/PC/MP3/MP4/Monile Phone"">Ραδιόφωνο FM</div></li><li><div class=""text-ellipsis"" title=""FM/USB/SD Iput/USB/SD/MMC/DVD/PC/MP3/MP4/Monile Phone"">Θύρες: USB, κάρτα SD, AUX</div></li><li><div class=""text-ellipsis"" title=""FM/USB/SD Iput/USB/SD/MMC/DVD/PC/MP3/MP4/Monile Phone"">Υποστήριξη MP3/MP4</div></li><li>Υποστήριξη σύνδεσης μικροφώνου ενσύρματου και ασύρματου</li><li>Μπαταρία: 1200mAh</li><li>Χρόνος λειτουργίας (σε μέση ένταση): 5 ώρες</li><li>Audio noise ratio: ≥90db</li><li>Ισχύς: 10W</li><li>Τάση: 3.7V</li><li>Συχνότητα: 120hz-20khz</li><li>Τάση φόρτισης: 5V / 500MA</li><li>Μέγεθος ηχείου: 4"""", OD 52mm x2</li><li>Διαστάσεις συσκευασίας: 15 x 18 cm</li></ul><p><strong>Το πακέτο περιλαμβάνει:</strong></p><p>1 x ηχείο<br />1 x USB καλώδιο<br />1 x Manual στα Αγγλικά<br /><br /><br /></p>",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Ραδιόφωνα  Ηχεία>Φορητά subwoofer
36945,Φορητό ηχείο mini subwoofer - CS20 - 204121 - Blue,Φορητό ηχείο mini subwoofer - CS20 - 204121 - Blue,in stock,new,21.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/204121_bl.jpg,OEM,No Color,2.0,"<p><span class="""" title="""">Φορητό, επαναφορτιζόμενο ηχείο subwoofer  CS20 με δύο full-range ηχεία για εξαιρετική ποιότητα στερεοφωνικού ήχου, δυνατό woofer και εντυπωσιακό φωτισμό LED. <br /></span></p><p><strong><span title="""">Χαρακτηριστικά:</span></strong></p><ul><li><span style=""font-family: Helvetica;"">Refined chipset Bluetooth v4.2 + EDR, supports A2DP, HFP, AVRCP</span></li><li><span class="""" title="""">Υποστήριξη Bluetooth, USB, κάρτας SD, AUX, USB Drive</span></li><li><span title="""">Ισχύς εξόδου: 10w</span></li><li><span title=""""><span style=""font-family: Helvetica;"">Speaker driver size</span>: 4 ίντσες x 2</span></li><li><span title="""">Μπαταρία: 1100mAh 3.7v</span></li><li><span title="""">Τάση φόρτισης: USB 5V</span></li><li><span title="""">Απόκριση συχνότητας: 100Hz-20KHz</span></li><li><span title="""">Διαστάσεις συσκευής: 30 x 15 x 12 cm</span></li><li><span title="""">Βάρος προϊόντος: 1.2kg</span></li><li>Περιλαμβάνεται το καλώδιο φόρτισης</li></ul>",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Ραδιόφωνα  Ηχεία>Φορητά subwoofer
36946,Φορητό ηχείο mini subwoofer - CS20 - 204121 - Red,Φορητό ηχείο mini subwoofer - CS20 - 204121 - Red,in stock,new,21.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/204121_r.jpg,OEM,No Color,2.5,"<p><span class="""" title="""">Φορητό, επαναφορτιζόμενο ηχείο subwoofer  CS20 με δύο full-range ηχεία για εξαιρετική ποιότητα στερεοφωνικού ήχου, δυνατό woofer και εντυπωσιακό φωτισμό LED. <br /></span></p><p><strong><span title="""">Χαρακτηριστικά:</span></strong></p><ul><li><span style=""font-family: Helvetica;"">Refined chipset Bluetooth v4.2 + EDR, supports A2DP, HFP, AVRCP</span></li><li><span class="""" title="""">Υποστήριξη Bluetooth, USB, κάρτας SD, AUX, USB Drive</span></li><li><span title="""">Ισχύς εξόδου: 10w</span></li><li><span title=""""><span style=""font-family: Helvetica;"">Speaker driver size</span>: 4 ίντσες x 2</span></li><li><span title="""">Μπαταρία: 1100mAh 3.7v</span></li><li><span title="""">Τάση φόρτισης: USB 5V</span></li><li><span title="""">Απόκριση συχνότητας: 100Hz-20KHz</span></li><li><span title="""">Διαστάσεις συσκευής: 30 x 15 x 12 cm</span></li><li><span title="""">Βάρος προϊόντος: 1.2kg</span></li><li>Περιλαμβάνεται το καλώδιο φόρτισης</li></ul>",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Ραδιόφωνα  Ηχεία>Φορητά subwoofer
37603,Φορητό ηχείο subwoofer - ALP813 - 890173,Φορητό ηχείο subwoofer - ALP813 - 890173,in stock,new,54 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/890173.jpg,OEM,No Color,6.0,"<div id=""tab-description"" class=""panel entry-content wc-tab""><p>Φορητό ηχείο subwoofer ALP813 με υψηλής ποιότητας ήχο και φωτορυθμική μπάλα RGB με εφέ.</p><p><strong>Χαρακτηριστικά:</strong></p><ul><li>Bluetooth</li><li>Ενσύρματο μικρόφωνο</li><li>Τηλεχειριστήριο</li><li>FM Ραδιόφωνο</li><li>Easy control buttons</li><li>Αντιολισθητική βάση</li><li>Επαναφορτιζόμενη μπαταρία με αυτονομία έως και 4 ώρες. </li><li>Διάρκεια φόρτισης: 6-8 ώρες</li><li>Υποδοχές για USB, κάρτα SD</li><li>Ισχύς: 20W</li><li>Διαστάσεις συσκευασίας: 26 x 28 cm</li></ul></div>",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Ραδιόφωνα  Ηχεία>Φορητά subwoofer
37604,Φορητό ηχείο subwoofer - 899 - 678098,Φορητό ηχείο subwoofer - 899 - 678098,in stock,new,81 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/0504_678098-1.jpg,OEM,No Color,10.0,<p>Φορητό ηχείο-subwoofer με υψηλής ποιότητας ήχο και εντυπωσιακά φώτα LED.</p><p><strong>Χαρακτηριστικά:</strong></p><ul><li>Oθόνη LED</li><li>Bluetooth</li><li>Ραδιόφωνο FM 87MHz-108MHz</li><li>Θύρες: USB / TF / AUX</li><li>Μπαταρία λιθίου υψηλής χωρητικότητας</li><li>Μονάδα ηχείου: 8 ιντσών * 1</li><li>Τάση εισόδου DC-5V</li><li>Απόκριση συχνότητας 150-18KHz</li><li>Διαστάσεις συσκευασίας: 30 x 50cm</li></ul>,ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Ραδιόφωνα  Ηχεία>Φορητά subwoofer
