id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
37505,Κουδούνι ειδοποίησης εισόδου - ED08 - 3,Κουδούνι ειδοποίησης εισόδου - ED08 - 375087,in stock,new,4.5 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/375087.jpg,OEM,No Color,0.3,<p>Κουδούνι ειδοποίησης εισόδου με Ανιχνευτή Κίνησης. <br />Κατάλληλο για επαγγελματικούς και οικιακούς χώρους. Η ανίχνευση λειτουργεί σε έως και 5 μέτρα απόσταση. <br />Διαθέτει αξεσουάρ τοποθέτησης σε τοίχο. <br />Λειτουργεί με 3 ΑΑ 1.5V μπαταρίες (δεν περιλαμβάνονται).</p>,ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Συστήματα ασφαλείας>Θυροτηλέφωνα  κουδούνια εισόδου
38395,Θυροτηλέφωνο με 2 μπουτόν και 2 ακου�,Θυροτηλέφωνο με 2 μπουτόν και 2 ακουστικά - RL-3208AA - 482248,in stock,new,45 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/0202_482248.jpg,OEM,No Color,1.0,"<p>Θυροτηλέφωνο 2 καλωδίων με 2 Ακουστικά <br />Με αλουμινένια εξωτερική μονάδα, με ενσωματωμένη ενδεικτική λυχνία LED, και σημείο τοποθέτησης του ονοματεπωνύμου σας. Δυνατότητα σύνδεσης με ηλεκτρονικό κλείδωμα (δεν περιλαμβάνεται ηλεκτρονική κλειδαριά ή τροφοδοτικό για αυτήν).</p><p>Λειτουργεί με 2x εξωτερικά τροφοδοτικά 220V AC / 12V AC - 1A (περιλαμβάνονται). <br />Η τροφοδοσία εφαρμόζεται στις εσωτερικές μονάδες</p><p><strong>Διαστάσεις</strong></p><ul><li>Ακουστικό: 21.5(Υ) x 9.8(Μ) x 7.5 (Β) cm</li><li>Εντοιχισμός Μπουτονιέρας : 16.5(Υ) x 10(Μ) x 4(Β) cm</li><li>Εξωτερικές Μπουτονιέρας: 20(Υ) x 11.6(Μ) x 2(Β) cm</li></ul><p><strong>Η συσκευασία περιλαμβάνει</strong></p><ul><li>2 x Μονάδες απάντησης - ακουστικά</li><li>1 x Κουδούνι με αδιάβροχο κάλυμμα (προστασία IP44)</li><li>2 x Τροφοδοτικό (220V AC / 12V AC - 1A)</li><li>2 x Βάση στήριξης ακουστικών</li></ul>",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Συστήματα ασφαλείας>Θυροτηλέφωνα  κουδούνια εισόδου
38909,Θυροτηλέφωνο με μπουτόν και ακουστ�,Θυροτηλέφωνο με μπουτόν και ακουστικό - RL-3208A - 482125,in stock,new,27 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/0202_482125.jpg,OEM,No Color,4.0,"<div id=""content_description"" class=""ty-wysiwyg-content content-description""><div><p>Εξωτερική μονάδα αλουμινίου, με ενσωματωμένη ενδεικτική λυχνία LED, και σημείο τοποθέτησης του ονοματεπωνύμου σας. <br />Δυνατότητα σύνδεσης με ηλεκτρονικό κλείδωμα (δεν περιλαμβάνεται ηλεκτρονική κλειδαριά ή τροφοδοτικό για αυτήν).</p><p>Λειτουργεί με 2x εξωτερικά τροφοδοτικά 220V AC / 12V AC - 1A (περιλαμβάνονται). <br />Η τροφοδοσία εφαρμόζεται στις εσωτερικές μονάδες</p><p><strong>Διαστάσεις</strong></p><ul><li>Ακουστικό: 21.5(Υ) x 9.8(Μ) x 7.5 (Β) cm</li><li>Εντοιχισμός Μπουτονιέρας : 16.5(Υ) x 10(Μ) x 4(Β) cm</li><li>Εξωτερικές Μπουτονιέρας: 20(Υ) x 11.6(Μ) x 2(Β) cm</li></ul><p><strong>Η συσκευασία περιλαμβάνει</strong></p><ul><li>1 x Μονάδα απάντησης - ακουστικό</li><li>1 x Κουδούνι με αδιάβροχο κάλυμμα (προστασία IP44)</li><li>2 x Τροφοδοτικό (220V AC / 12V AC - 1A)</li><li>1 x Βάση στήριξης ακουστικού</li></ul></div></div>",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Συστήματα ασφαλείας>Θυροτηλέφωνα  κουδούνια εισόδου
61524,Ασύρματο κουδούνι πόρτας με κάμερα ,Ασύρματο κουδούνι πόρτας με κάμερα & σύνδεση με Smartphone - RL-IP11D - 488790,in stock,new,99 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/488790-1.jpg,OEM,No Color,2.0,"Ασύρματο κουδούνι πόρτας με κάμερα ασφαλείας, ανιχνευτή κίνησης και εύκολη σύνδεση με το Smartphone σας, στο οποίο μπορείτε να ελέγχετε συνεχώς την εικόνα μέσω app και να λαμβάνετε ειδοποίησεις όταν ο αισθητήρας εντοπίσει κίνηση. Ασύρματη σύνδεση WiFi 2,4 GHz.
- Κάμερα 1080P FHD με γωνία θέασης 110º.
- Διαχείριση μέσω εφαρμογής-app.
- Τροφοδοτείται από δύο μπαταρίες λιθίου 18650 (3,7V/4400mAH). Θύρα φόρτισης DC 5V/2A micro USB. Yπενθύμιση χαμηλής μπαταρίας.
- Υπέρυθρη νυχτερινή λήψη για έως και 3 μέτρα απόσταση. Αισθητήρας φωτός IR-CUT, για αυτόματη ρύθμιση λειτουργίας ημέρας/νύχτας.
- Ενσωματωμένος αισθητήρας κίνησης: ενεργοποιεί ειδοποίηση στο smarphone σας. Γωνία ανίχνευσης 120º.
- Αποθήκευση σε κάρτα μνήμης TF έως 128 GB.
- Αδιαβροχοποίηση IP: IP55. Περιλαμβάνονται: καλώδιο φόρτισης, μπαταρίες και τα σύνεργα επιτοίχιας εγκατάστασης.",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Συστήματα ασφαλείας>Θυροτηλέφωνα  κουδούνια εισόδου
61527,Ασύρματο κουδούνι πόρτας - RL-2R3920 - 4861,Ασύρματο κουδούνι πόρτας - RL-2R3920 - 486109,in stock,new,16.2 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/486109-1.jpg,OEM,No Color,2.0,"Ασύρματο κουδούνι πόρτας με 2 δέκτες, σε μικρό διακριτικό μέγεθος που μπορεί να τοποθετηθεί σε κάθε χώρο. Ιδανικό για μεγάλους χώρους ή διώροφες κατοικίες. Εύκολη και άμεση τοποθέτηση χωρίς καλώδια. Εμβέλεια ασύρματης επικοινωνίας: έως 50m. Ο πομπός διαθέτει ειδικό σημείο αναγραφής ονομάτων και επιλογή 16 διαφορετικών ήχων. Αδιαβροχοποίηση πομπού: IP44. Συχνότητα: 433,05 MHz - 434,79 MHz ή 315 MHz
Ισχύς πομπού: < 5mw
Κατανάλωση ενέργειας: < 0,15 mA
Επίπεδο έντασης: 80dB. Μπαταρίες λειτουργίας (δεν περιλαμβάνονται): 1 x 12V αλκαλική μπαταρία (23A) για τον πομπό - 3 x αλκαλικές μπαταρίες AA (LR6) για κάθε δέκτη.",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Συστήματα ασφαλείας>Θυροτηλέφωνα  κουδούνια εισόδου
61530,Ασύρματο κουδούνι πόρτας με 6 μπουτ�,Ασύρματο κουδούνι πόρτας με 6 μπουτόν - RL-0506D - 492711,in stock,new,36 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/492711.jpg,OEM,No Color,2.0,"Αυτό το ασύρματο σύστημα με 6 κουδούνια-πομπούς 433 MHz είναι το ιδανικό σύστημα για χώρους που θέλετε να καλύψετε εως και 6 διαφορετικές ζώνες. Διαθέτει 2 διαφορετικούς ήχους, έτσι μπορείτε εύκολα να ξεχωρίζετε ποια πόρτα χτυπά (π.χ. αυλόπορτα και κυρία είσοδος). Η εγκατάσταση του είναι άμεση και εύκολη, καθώς δεν διαθέτει καλώδια τροφοδοσίας και λειτουργεί με μπαταρίες.

Χαρακτηριστικά δέκτη:
Ταση: DC4.5V (μπαταρίες AAx3 - δεν περιλαμβάνονται)
Σε αναμονή: <200uA
Ένταση συναγερμού: 95dB στα 3 μέτρα
Ένταση μελωδίας: 95dB στα 3 μέτρα
Συχνότητα: 433.92MHz
Χαρακτηριστικά πομπών:
Τάση: DC 3V (μπαταρία CR2032 3V - περιλαμβάνεται)
Σε αναμονή: <1uA
Μετάδοση τάσης: <30mA
Μετάδοση συχνότητας: 433.92MHz
Απόσταση: έως 100 μέτρα (χωρίς εμπόδια)
Δυνατότητα επιτοίχιας τοποθέτησης, με ταινία διπλής όψης ή βίδες",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Συστήματα ασφαλείας>Θυροτηλέφωνα  κουδούνια εισόδου
61533,Έγχρωμη θυροτηλεόραση Wifi με μονή μπ,Έγχρωμη θυροτηλεόραση Wifi με μονή μπουτονιέρα - RL-B17F - 497662,in stock,new,198 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/497662.jpg,OEM,No Color,2.0,"ΤFT οθόνη 7'', έγχρωμη, υψηλής ευκρίνειας.
Νυχτερινή λήψη υπερύθρων.
Ηλεκτρονικό ξεκλείδωμα πόρτας.
Εσωτερική μονάδα, προσεγμένου design, πάχους 17mm.
Εξωτερική μονάδα στιβαρής κατασκευής, με φινίρισμα αλουμινίου και σκίαστρο, ανθεκτική στην υγρασία και τις καιρικές συνθήκες.
16 επιλογές ήχων.
Ενσωματωμένο μικρόφωνο/ακουστικό υψηλής ευκρίνειας και στις δύο μονάδες.
Ρυθμιζόμενη φωτεινότητα εικόνας, χρωμάτων και έντασης ήχου.
Λειτουργία με τροφοδοτικό ρεύματος (περιλαμβάνεται) που τοποθετείται κοντά στο τηλέφωνο, μέσα στο σπίτι και είναι μικρού μεγέθους τύπου ''πακ'', ή μέσω της εσωτερικής καλωδίωσης κοντά στην μπουτονιέρα.
Διαστάσεις μπουτονιέρας (εξωτερικές) : 13 x 5 x 4.7cm.
Διαστάσεις θυροτηλεόρασης: 12cm x 21 cm
Οδηγίες χρήσης στα Αγγλικά",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Συστήματα ασφαλείας>Θυροτηλέφωνα  κουδούνια εισόδου
61536,Σετ σύστημα θυροτηλεόρασης Wifi με 2 ο,Σετ σύστημα θυροτηλεόρασης Wifi με 2 οθόνες - RL-2TV06M - 497020,in stock,new,252 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/497020.png,OEM,No Color,2.0,"2 έγχρωμες οθόνες ΤFT 7"" με εύχρηστα πλήκτρα ελέγχου.
Νυχτερινή λήψη υπερύθρων.
Ηλεκτρονικό ξεκλείδωμα πόρτας.
Εσωτερική μονάδα, προσεγμένου design, πάχους 17mm.
Εξωτερική μονάδα στιβαρής κατασκευής, με φινίρισμα αλουμινίου και σκίαστρο, ανθεκτική στην υγρασία και τις καιρικές συνθήκες.
16 επιλογές ήχων.
Ενσωματωμένο μικρόφωνο/ακουστικό υψηλής ευκρίνειας και στις δύο μονάδες.
Ρυθμιζόμενη φωτεινότητα εικόνας, χρωμάτων και έντασης ήχου.
Λειτουργία με τροφοδοτικό ρεύματος (περιλαμβάνεται) που τοποθετείται κοντά στο τηλέφωνο, μέσα στο σπίτι και είναι μικρού μεγέθους τύπου ''πακ'', ή μέσω της εσωτερικής καλωδίωσης κοντά στην μπουτονιέρα.
Διαστάσεις θυροτηλεόρασης: 12cm x 21 cm
Οδηγίες χρήσης στα Αγγλικά",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Συστήματα ασφαλείας>Θυροτηλέφωνα  κουδούνια εισόδου
61539,Έγχρωμη θυροτηλεόραση Wifi με μονή μπ,Έγχρωμη θυροτηλεόραση Wifi με μονή μπουτονιέρα - RL-H07NPF - 487038,in stock,new,144 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/487038.jpg,OEM,No Color,2.0,"ΤFT οθόνη 7'', έγχρωμη, υψηλής ευκρίνειας 720P.
Νυχτερινή λήψη υπερύθρων.
Ηλεκτρονικό ξεκλείδωμα πόρτας. Φωτογράφιση εικόνας. 
Εσωτερική μονάδα, προσεγμένου design.
Εξωτερική μονάδα στιβαρής κατασκευής, με φινίρισμα αλουμινίου και σκίαστρο, ανθεκτική στην υγρασία και τις καιρικές συνθήκες.
16 επιλογές ήχων.
Ενσωματωμένο μικρόφωνο/ακουστικό υψηλής ευκρίνειας και στις δύο μονάδες.
Ρυθμιζόμενη φωτεινότητα εικόνας, χρωμάτων και έντασης ήχου.
Λειτουργία με τροφοδοτικό ρεύματος (περιλαμβάνεται) που τοποθετείται κοντά στο τηλέφωνο, μέσα στο σπίτι και είναι μικρού μεγέθους τύπου ''πακ'', ή μέσω της εσωτερικής καλωδίωσης κοντά στην μπουτονιέρα.
Διαστάσεις μπουτονιέρας (εξωτερικές) : 13 x 5 x 4.7cm.
Διαστάσεις θυροτηλεόρασης: 12 x 21 x 1.7cm
Οδηγίες χρήσης στα Αγγλικά",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Συστήματα ασφαλείας>Θυροτηλέφωνα  κουδούνια εισόδου
61542,Έγχρωμη θυροτηλεόραση Wifi με μονή μπ,Έγχρωμη θυροτηλεόραση Wifi με μονή μπουτονιέρα - RL-B7U - 487083,in stock,new,108 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/487083-Αντιγραφή.jpg,OEM,No Color,2.0,"ΤFT οθόνη 7'', έγχρωμη, υψηλής ευκρίνειας 720P.
Νυχτερινή λήψη υπερύθρων.
Ηλεκτρονικό ξεκλείδωμα πόρτας. 
Εσωτερική μονάδα, προσεγμένου design.
Εξωτερική μονάδα στιβαρής κατασκευής, με σκίαστρο, ανθεκτική στην υγρασία και τις καιρικές συνθήκες.
16 επιλογές ήχων.
Ενσωματωμένο μικρόφωνο/ακουστικό υψηλής ευκρίνειας και στις δύο μονάδες.
Ρυθμιζόμενη φωτεινότητα εικόνας, χρωμάτων και έντασης ήχου.
Λειτουργία με τροφοδοτικό ρεύματος (περιλαμβάνεται) που τοποθετείται κοντά στο τηλέφωνο, μέσα στο σπίτι και είναι μικρού μεγέθους τύπου ''πακ'', ή μέσω της εσωτερικής καλωδίωσης κοντά στην μπουτονιέρα.
Διαστάσεις μπουτονιέρας (εξωτερικές) : 13.4 x 4.8 x 3.3cm.
Διαστάσεις θυροτηλεόρασης: 18 x 13.5 x 1.7cm
Οδηγίες χρήσης στα Αγγλικά",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Συστήματα ασφαλείας>Θυροτηλέφωνα  κουδούνια εισόδου
