id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
49306,Πτυσσόμενο τραπέζι εξωτερκού χώρου,Πτυσσόμενο τραπέζι εξωτερκού χώρου - 2008-120 - 270997,in stock,new,90 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/270997.png,OEM,No Color,6.0,"Πτυσσόμενο τραπέζι εξωτερκού χώρου, ιδανικό για τη βεράντα, το μπαλκόνι, την παραλία, το camping, το ψάρεμα, τον κήπο κα. Στιβαρή κατασκευή που διπλώνει με μία κίνηση και διασπάται σε 2 μέρη, για εύκολη μεταφορά και αποθήκευση. Διαθέτει αντιολισθητικά πατάκια.",ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Κυνήγι - θάλασσα  camping
49309,Πτυσσόμενη καρέκλα παραλίας - 1726 - 271,Πτυσσόμενη καρέκλα παραλίας - 1726 - 271062,in stock,new,45 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/271062.png,OEM,No Color,6.0,"Πτυσσόμενη καρέκλα παραλίας με μπράτσα και παχύ μαξιλάρι με απαλή επένδυση, που καθαρίζεται εύκολα. Στιβαρή κατασκευή αλουμινίου που διπλώνει με μία κίνηση, για εύκολη μεταφορά και αποθήκευση. Διαθέτει αντιολισθητικά πατάκια.",ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Κυνήγι - θάλασσα  camping
49312,Πτυσσόμενη καρέκλα παραλίας - 1335 - 271,Πτυσσόμενη καρέκλα παραλίας - 1335 - 271055,in stock,new,39.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/271055.png,OEM,No Color,6.0,"Πτυσσόμενη καρέκλα παραλίας με μπράτσα και λεπτό μαξιλάρι με επένδυση, που καθαρίζεται εύκολα. Στιβαρή κατασκευή αλουμινίου που διπλώνει με μία κίνηση, για εύκολη μεταφορά και αποθήκευση. Διαθέτει αντιολισθητικά πατάκια.",ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Κυνήγι - θάλασσα  camping
49315,Πτυσσόμενη πολυθρόνα παραλίας - 1617 -,Πτυσσόμενη πολυθρόνα παραλίας - 1617 - 271048,in stock,new,45 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/271048.png,OEM,No Color,6.0,"Πτυσσόμενη πολυθρόνα παραλίας με ξύλινα μπράτσα και ύφασμα με επένδυση, που καθαρίζεται εύκολα. Στιβαρή κατασκευή αλουμινίου που διπλώνει με μία κίνηση, για εύκολη μεταφορά και αποθήκευση. Διαθέτει αντιολισθητικά πατάκια.",ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Κυνήγι - θάλασσα  camping
49318,Πτυσσόμενο σκαμπό ψαρέματος - 1302 - 271,Πτυσσόμενο σκαμπό ψαρέματος - 1302 - 271031,in stock,new,4.5 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/271031.png,OEM,No Color,6.0,"Πτυσσόμενο σκαμπό με ύφασμα που καθαρίζεται εύκολα. Στιβαρή κατασκευή αλουμινίου που διπλώνει με μία κίνηση, για εύκολη μεταφορά και αποθήκευση. Ιδανική για το ψάρεμα, το camping, τον κήπο, την παραλία κα. Διαθέτει αντιολισθητικά πατάκια.",ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Κυνήγι - θάλασσα  camping
49324,Πτυσσόμενη καρέκλα camping - 1056 - 271017,Πτυσσόμενη καρέκλα camping - 1056 - 271017,in stock,new,18 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/271017.png,OEM,No Color,6.0,"Πτυσσόμενη καρέκλα με πλάτη, μπράτσα και αδιάβροχο ύφασμα που καθαρίζεται εύκολα. Στιβαρή κατασκευή αλουμινίου που διπλώνει με μία κίνηση, για εύκολη μεταφορά και αποθήκευση. Ιδανική για το ψάρεμα, το camping, τον κήπο, την παραλία κα. Διαθέτει αντιολισθητικά πατάκια και θήκη μεταφοράς με λουρί. Διαστάσεις: 66x58x45cm.",ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Κυνήγι - θάλασσα  camping
49327,Πτυσσόμενη καρέκλα παραλίας - 1616L - 27,Πτυσσόμενη καρέκλα παραλίας - 1616L - 271000,in stock,new,23.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/271000.png,OEM,No Color,6.0,"Πτυσσόμενη καρέκλα παραλίας χαμηλή, με πλάτη, ξύλινα μπράτσα και ύφασμα που καθαρίζεται εύκολα. Στιβαρή κατασκευή αλουμινίου που διπλώνει με μία κίνηση, για εύκολη μεταφορά και αποθήκευση. Ιδανική για την παραλία, το camping, το ψάρεμα, τον κήπο κα. Διαθέτει αντιολισθητικά πατάκια.",ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Κυνήγι - θάλασσα  camping
49330,Πτυσσόμενη καρέκλα παραλίας - 22-1618-22,Πτυσσόμενη καρέκλα παραλίας - 22-1618-22 - 270980,in stock,new,27 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/270980.png,OEM,No Color,6.0,"Πτυσσόμενη καρέκλα παραλίας-camping, με πλάτη, ξύλινα μπράτσα και αδιάβροχο ύφασμα που καθαρίζεται εύκολα. Στιβαρή κατασκευή αλουμινίου που διπλώνει με μία κίνηση, για εύκολη μεταφορά και αποθήκευση. Ιδανική για την παραλία, το camping, το ψάρεμα, τον κήπο κα. Διαθέτει αντιολισθητικά πατάκια.",ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Κυνήγι - θάλασσα  camping
49333,Πτυσσόμενη καρέκλα παραλίας με ενσ�,Πτυσσόμενη καρέκλα παραλίας με ενσωματωμένο τραπεζάκι - 1811 - 270973,in stock,new,45 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/270973.png,OEM,No Color,6.0,"Πτυσσόμενη καρέκλα παραλίας-camping με ενσωματωμένο πτυσσόμενο τραπεζάκι στη δεξιά πλευρά, με ποτηροθήκη. Διαθέτει ανθεκτικό, αδιάβροχο ύφασμα που καθαρίζεται εύκολα, με ειδικό διχτυωτό ύφασμα στη μέση για να αναπνέει και να μην σας προκαλεί αίσθηση ζέστης. Στιβαρή κατασκευή αλουμινίου, που διπλώνει με μία κίνηση, για εύκολη μεταφορά και αποθήκευση. Ιδανική για την παραλία, το camping, το ψάρεμα, τον κήπο κα.",ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Κυνήγι - θάλασσα  camping
49336,Πτυσσόμενη καρέκλα παραλίας - Σεζλό,Πτυσσόμενη καρέκλα παραλίας - Σεζλόνγκ - 1288A - 270966,in stock,new,27 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/270966.png,OEM,No Color,6.0,"Πτυσσόμενη καρέκλα παραλίας-σεζλόνγκ, με αφαιρούμενο μαξιλαράκι και αδιάβροχο ύφασμα που καθαρίζεται εύκολα. Στιβαρή κατασκευή από ξύλο και αλουμίνιο, που διπλώνει με μία κίνηση, για εύκολη μεταφορά και αποθήκευση. Ιδανική για την παραλία, το camping, τον κήπο κα. Διαθέτει ρυθμιζόμενη κλίση πλάτης με 4 επίπεδα.",ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Κυνήγι - θάλασσα  camping
49348,Πτυσσόμενη ξαπλώστρα παραλίας - 1-1388,Πτυσσόμενη ξαπλώστρα παραλίας - 1-1388 - 270928,in stock,new,32.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/270928.png,OEM,No Color,6.0,"Πτυσσόμενη ξαπλώστρα-κρεβάτι παραλίας-camping, με ενισχυμένο, αδιάβροχο ύφασμα που καθαρίζεται εύκολα. Στιβαρή κατασκευή αλουμινίου, που διπλώνει με μία κίνηση, για εύκολη μεταφορά και αποθήκευση. Ιδανική για την παραλία, το camping, τον κήπο κα.",ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Κυνήγι - θάλασσα  camping
49351,Πτυσσόμενη ξαπλώστρα παραλίας - 1243 -,Πτυσσόμενη ξαπλώστρα παραλίας - 1243 - 270904,in stock,new,36 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/270904.png,OEM,No Color,6.0,"Πτυσσόμενη ξαπλώστρα-κρεβάτι παραλίας-camping, με ενισχυμένο, αδιάβροχο ύφασμα που καθαρίζεται εύκολα. Στιβαρή κατασκευή αλουμινίου, που διπλώνει με μία κίνηση, για εύκολη μεταφορά και αποθήκευση. Ιδανική για την παραλία, το camping, τον κήπο κα. Διαθέτει ειδική θήκη μεταφοράς με λουρί.",ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Κυνήγι - θάλασσα  camping
49354,Πτυσσόμενη στρογγυλή πολυθρόνα campin,Πτυσσόμενη στρογγυλή πολυθρόνα camping - 1320L - 270898,in stock,new,25.2 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/270898.png,OEM,No Color,6.0,"Πτυσσόμενη στρογγυλή πολυθρόνα camping με αδιάβροχο ύφασμα που καθαρίζεται εύκολα, ενισχυμένο με μαλακή γέμιση και ιδιαίτερα σχέδια. Στιβαρή κατασκευή αλουμινίου, που διπλώνει με μία κίνηση, για εύκολη μεταφορά και αποθήκευση. Ιδανική για την παραλία, το camping, το ψάρεμα, τον κήπο κα. Διαθέτει αντιολισθητικά πατάκια.",ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Κυνήγι - θάλασσα  camping
49357,Πτυσσόμενη καρέκλα παραλίας - 1225 - 270,Πτυσσόμενη καρέκλα παραλίας - 1225 - 270867,in stock,new,18 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/270867.png,OEM,No Color,6.0,"Πτυσσόμενη καρέκλα παραλίας-camping, με μαξιλαράκι και ανθεκτικό, αδιάβροχο ύφασμα που καθαρίζεται εύκολα. Στιβαρή κατασκευή αλουμινίου, που διπλώνει με μία κίνηση, για εύκολη μεταφορά και αποθήκευση. Διαθέτει αντιολισθητικά πατάκια. Ιδανική για το camping, το ψάρεμα, την παραλία, τον κήπο κα.",ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Κυνήγι - θάλασσα  camping
49360,Πτυσσόμενη καρέκλα παραλίας - 1215K-HD -,Πτυσσόμενη καρέκλα παραλίας - 1215K-HD - 270850,in stock,new,12.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/270850.png,OEM,No Color,6.0,"Πτυσσόμενη καρέκλα παραλίας-camping, με πλάτη, μπράτσα και αδιάβροχο ύφασμα που καθαρίζεται εύκολα. Στιβαρή κατασκευή αλουμινίου που διπλώνει με μία κίνηση, για εύκολη μεταφορά και αποθήκευση. Ιδανική για την παραλία, το camping, το ψάρεμα, τον κήπο κα. Διαθέτει αντιολισθητικά πατάκια.",ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Κυνήγι - θάλασσα  camping
