id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
36723,Σύστημα εξολόθρευσης κουνουπιών με,Σύστημα εξολόθρευσης κουνουπιών με USB - 818 - 903206,in stock,new,6.3 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2806_903206.jpg,OEM,No Color,0.3,<p>Το σύστημα εξολόθρευσης κουνουπιών είναι απόλυτα ασφαλές για τον άνθρωπο αφού δεν χρησιμοποιεί τοξικά ή επιβλαβείς ουσίες για τον ανθρώπινο οργανισμό. Διαθέτει απαλό φως LED που δεν ενοχλεί και ιδιαίτερα χαμηλή κατανάλωση. Λειτουργεί με αθόρυβο ανεμιστήρα ο οποίος δημιουργεί μια δίνη αέρα που εγκλωβίζει τα κουνούπια στο εσωτερικό του εξολοθρεύοντας τα. Ο συλλέκτης αφαιρείται και καθαρίζεται πολύ εύκολα. Λειτουργεί με καλώδιο USB (περιλαμβάνεται).</p><p><strong>Χαρακτηριστικά:</strong></p><ul><li>Υλικό: Πλαστικό ABS</li><li>Τάση: 5V</li><li>Ισχύς: 5W</li><li>Γωνία λειτουργίας: 20-40 °</li><li>Εύρος έως 40 m²</li></ul>,ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Κυνήγι - θάλασσα  camping>Απωθητικά εντόμων  ζώων
38093,Συσκευή εξολόθρευσης εντόμων 20W - MT02,Συσκευή εξολόθρευσης εντόμων 20W - MT020 - 677002,in stock,new,21.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/0504_677002-1.jpg,OEM,No Color,2,"<ul><li>Σκοτώνει με ηλεκτροπληξία μικρά και μεγάλα έντομα.</li><li>Με 2 Υπεριώδεις Λυχνίες για μεγαλύτερη αποτελεσματικότητα.</li><li>Ιδανικό για Οικιακή και Επαγγελματική χρήση.</li><li>Ηλεκτρονικές λυχνίες υψηλής έλξης 2 × 10 Watt.</li><li>Υψηλής αποτελεσματικότητας.Υψηλή τάση πλέγματος 1800 – 7200 V</li><li>Ακτίνα κάλυψης: 10 τ.μ.</li><li>.Διακόπτης ON-OFF</li><li>Τροφοδοσία: 230V/50Hz</li><li>Διαστάσεις: 41 × 8 × 27 εκ</li><li>Για καλύτερα αποτελέσματα τοποθετήστε το σε ύψος 1,5 – 2μ μπορεί να κρεμαστεί από το ταβάνι περιλαμβάνεται και η αλυσίδα</li></ul>",ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Κυνήγι - θάλασσα  camping>Απωθητικά εντόμων  ζώων
38094,Συσκευή εξολόθρευσης εντόμων 30W - MT03,Συσκευή εξολόθρευσης εντόμων 30W - MT030 - 677019,in stock,new,25.2 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/0504_677019-1.jpg,OEM,No Color,2,"<ul><li>Σκοτώνει με ηλεκτροπληξία μικρά και μεγάλα έντομα.</li><li>Με 2 Υπεριώδεις Λυχνίες για μεγαλύτερη αποτελεσματικότητα.</li><li>Ιδανικό για Οικιακή και Επαγγελματική χρήση.</li><li>Ηλεκτρονικές λυχνίες υψηλής έλξης 2 × 15 Watt.</li><li>Υψηλής αποτελεσματικότητας.Υψηλή τάση πλέγματος 1800 – 7200 V</li><li>Ακτίνα κάλυψης: 10 τ.μ.</li><li>.Διακόπτης ON-OFF</li><li>Τροφοδοσία: 230V/50Hz</li><li>Διαστάσεις: 41 × 8 × 27 εκ</li><li>Για καλύτερα αποτελέσματα τοποθετήστε το σε ύψος 1,5 – 2μ μπορεί να κρεμαστεί από το ταβάνι περιλαμβάνεται και η αλυσίδα</li></ul>",ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Κυνήγι - θάλασσα  camping>Απωθητικά εντόμων  ζώων
38859,Ηλιακό απωθητικό πτηνών/τρωκτικών �,Ηλιακό απωθητικό πτηνών/τρωκτικών με υπερήχους & αισθητήρα κίνησης - 2002 - 356112,in stock,new,23.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/356112.png,OEM,No Color,0.8,"<p>Ο ηλιακός ηλεκτρονικός διώκτης πτηνών, τρωκτικών και ενοχλητικών ζώων NY2002 παράγει υψηλής συχνότητας υπερηχητικά κύματα που απωθούν τα ζώα. Ο υπέρηχος που εκπέμπει επηρεάζει τα ακουστικά νεύρα τους και καθιστά δυσάρεστη την παραμονή τους στην περιοχή κάλυψης. Οι υπέρηχοι αποτελούνται από υψηλής συχνότητας κύματα ήχου τα οποία συλλαμβάνονται από τα περισσότερα ζώα αλλά είναι άηχα στους ανθρώπους. <br />Φορτίζει από τον ηλιακό συλλέκτη και είναι απολύτως αυτόνομο χωρίς την ανάγκη καλωδίων και ρεύματος. <br />Λειτουργεί μέρα και νύχτα, ενώ διαθέτει αισθητήρα κίνησης για να ενεργοποιείται μόνο εφόσον εντοπίσει κίνηση, για μεγαλύτερη αυτονομία. <br />Μπορεί να φορτίσει και στο οικιακό ρεύμα χρησιμοποιώντας αντάπτορα ρεύματος 4,5V (δεν περιλαμβάνεται) <br />Εφαρμογές: <br />Απωθεί γάτες και σκυλιά από την είσοδο τους στο σπίτι. <br />Κοντά σε σιντριβάνια ή λιμνούλες για να προστατέψει τα ψάρια.<br />Κοντά σε λουλούδια για να τα προστατέψει. <br />Μπορεί να προστατέψει τον κήπο ή το χωράφι <br />Αν συνδυαστεί από τον κατάλληλο αριθμό συσκευών καλύπτει μεγάλες εκτάσεις. <br />Ιδανικό για εξοχικά, αγροικίες, περιβόλια, κήπους, camping, εξοχή, ιδανική για ακάλυπτους χώρους, μπαλκόνια, χωράφια, αποθήκες κλπ.</p><p>Χαρακτηριστικά: <br />– Εμβέλεια μέχρι 500 m². <br />– Αισθητήρας κίνησης: 5μ, 120 μοίρες <br />– Ρύθμιση συχνότητας για την αποτελεσματικότερη απώθηση συγκεκριμένων ζώων <br />– Εύρος συχνότητας: 15 – 25 ΚΗz <br />– Ηλιακό panel 6V – 50mA <br />– Είσοδος 4,5V για σύνδεση με φορτιστή ρεύματος (δεν περιλαμβάνεται) <br />– Επαναφορτιζόμενες μπαταρίες Ni-Mh 800mAh</p>",ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Κυνήγι - θάλασσα  camping>Απωθητικά εντόμων  ζώων
38926,Ηλεκτρική ρακέτα/μυγοσκοτώστρα - LTD2,Ηλεκτρική ρακέτα/μυγοσκοτώστρα - LTD208 - 676142,in stock,new,5.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/676142_1009.jpg,OEM,No Color,1.5,"<div id=""product-product"" class=""container""><div class=""row""><div id=""content"" class=""""><div class=""product-blocks blocks-default""><div class=""tabs-container product_extra product_tabs product_tabs-default""><div class=""tab-content""><div id=""product_tabs-2"" class=""product_extra-283 tab-pane active""><div class=""block-body expand-block""><div class=""block-wrapper""><div class=""block-content ""><p>Επαναφορτιζόμενη μεγάλη ηλεκτρική ρακέτα, με τριπλό ηλεκτροφόρο δίχτυ τάσης 2500V και επαναφορτιζόμενη μπαταρία 4.2V/400mAh.<br />Σας απαλλάσσει εύκολα από όλα τα ενοχλητικά έντομα (κουνούπια μύγες μέλισσες κλπ) ενεργοποιώντας την με το πάτημα ενός κουμπιού και απλώς αγγίζοντάς τα. <br />-Προστατευτικό εξωτερικό πλέγμα<br />-Διαστάσεις: συνολικό μήκος 57cm, διάμετρος ρακέτας 24cm <br />-Ενσωματωμένη πρίζα φόρτισης ρεύματος κάτω από το καπάκι χειρολαβής. <br />-Ενσωματωμένος φακός LED στο κάτω μέρος.</p><p>*Τα χρώματα του προϊόντος ενδέχεται να διαφέρουν από τα εικονιζόμενα.</p></div></div></div></div></div></div></div></div></div></div>",ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Κυνήγι - θάλασσα  camping>Απωθητικά εντόμων  ζώων
50949,Συσκευή απώθησης & εκπαίδευσης σκύλ,Συσκευή απώθησης & εκπαίδευσης σκύλων με υπερήχους - 0027 - 356105,in stock,new,9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/dde8641bcf9bae21ea248840d2c0e02c.jpg,OEM,No Color,0.8,"Τροφοδοσία: Μπαταρία 1*9v (δεν περιλαμβάνεται)
Έξοδος: 9V DC
Χρωμα μαυρο
Ρεύμα λειτουργίας: ≤100ma
Αποτελεσματική εμβέλεια: έως 20 πόδια (6M)
Συχνότητα υπερήχων: 25KHZ
Συνδυασμός λέιζερ και ηχητικού παλμικού ήχου
Ανθρώπινο στιγμιαίο αποτρεπτικό
Απωθεί τα παράσιτα του κήπου με το πάτημα μιας σκανδάλης
Ισχύει έως και 80 μέτρα
ΠΡΟΕΙΔΟΠΟΙΗΣΗ: ΜΗΝ στρέφετε το φως λέιζερ απευθείας στα μάτια, θα προκαλέσει σοβαρή βλάβη στα μάτια!",ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Κυνήγι - θάλασσα  camping>Απωθητικά εντόμων  ζώων
50952,Συσκευή απώθησης & εκπαίδευσης σκύλ,Συσκευή απώθησης & εκπαίδευσης σκύλων με υπερήχους - ZF853E - 300183,in stock,new,9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/3a116eb70b57c81a4cd492e5b90b84da.jpg,OEM,No Color,0.8,"Διαθέτει:
    Φακό με 2 led
    Laser για εκφοβισμό των ζώων

Λειτουργεί με υπερήχους έως 130dB.
    Λειτουργεί με μπαταρία 9V (περιλαμβάνεται)
    Εμβέλια έως και 20m
    Διαστάσεις: 13 x 5,7 x 2.5 cm.
    Η συσκευή ενδέχεται να μην είναι τόσο αποτελεσματική υπό συνθήκες όπως:
     Σε θορυβώδες περιβάλλον, όπως στο κέντρο της πόλης ή σε πολυσύχναστο δρόμο.
    Σε εκπαιδευμένους σκύλους, εξοικειωμένους με αυτά τα είδη συσκευών.
    Όταν η τάση της μπαταρίας είναι χαμηλή.",ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Κυνήγι - θάλασσα  camping>Απωθητικά εντόμων  ζώων
105233,Ασύρματο απωθητικό εντόμων με υπερ�,Ασύρματο απωθητικό εντόμων με υπερήχους - ZF851 - 112500,in stock,new,10.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/b2d2101f515116f00f4734ef873b4670.jpg,OEM,No Color,1.0,,ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Κυνήγι - θάλασσα  camping>Απωθητικά εντόμων  ζώων
105239,Ασύρματο απωθητικό τρωκτικών & κουν,Ασύρματο απωθητικό τρωκτικών & κουνουπιών με υπερήχους - AR166 - 112494,in stock,new,11.7 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/b1ae4a17843666fa982390e5b4b7046d.jpg,OEM,No Color,1.0,,ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Κυνήγι - θάλασσα  camping>Απωθητικά εντόμων  ζώων
105242,Ασύρματο απωθητικό τρωκτικών με υπ�,Ασύρματο απωθητικό τρωκτικών με υπερήχους - ZF810+B - 112463,in stock,new,5.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/ee63a7aba2fda13a0de67ffc895a09f2.jpg,OEM,No Color,1.0,,ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Κυνήγι - θάλασσα  camping>Απωθητικά εντόμων  ζώων
