id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
38603,Ασύρματος πομποδέκτης - UHF/VHF - 25W - KT-89,Ασύρματος πομποδέκτης - UHF/VHF - 25W - KT-8900 - QYT - 489001,in stock,new,153 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/489001-1.jpg,OEM,No Color,3.5,"<div id=""description"" class=""tab-pane fade in active"" role=""tabpanel""><div class=""product-description""><div class=""description hide-small-viewport long""><div><p>Tεχνικά χαρακτηριστικά:</p><ul><li>Dual Band 136-174MHZ / 400-480MHz</li><li>Ισχύς μετάδοσης: VHF 25Watt, UHF 20Watt</li><li>Λειτουργία ραδιοφώνου FMPTT ID</li><li>Αυτόματο κλείδωμα</li><li>Remote stun /Remote KillCTCSS / DCS / 5Tone / 2Tone / DTMF200CH</li></ul><p>H συσκευασία περιέχει:</p><ul><li>1 x Πομποδέκτης</li><li>1 x Μικρόφωνο</li><li>1 x Καλώδιο τροφοδοσίας αυτοκινήτου</li><li>1 x Ασφάλεια</li><li>1 x Βάση στήριξης</li><li>1 x Βίδα</li></ul></div></div></div></div>",ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Κυνήγι - θάλασσα  camping>Φορητοί πομποδέκτες
39240,Φορητός πομποδέκτης - UHF/VHF – 10W – UV-80,Φορητός πομποδέκτης - UHF/VHF – 10W – UV-8000D – TYT - 480002,in stock,new,99 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2809_480002-1.jpg,OEM,No Color,1.5,"<div class=""large-10 col pb-0 mb-0""><div class=""panel entry-content""><p>Πλήρες σετ ασύρματης επικοινωνίας - ασύρματος πομποδέκτης 10w  Dual Band μαζί με 2 κεραίες και βάση φόρτισης.</p><p>Χρησιμοποιεί κυκλώματα νέας σχεδίασης και τελευταίας τεχνολογίας, για να αποδώσει πραγματική ισχύ 10 Watt.</p><div><p>Διαθέτει σώμα ικανού μεγέθους, κατασκευασμένο για να ψύχει σωστά τα κυκλώματα RF, που παράγουν την ισχύ εξόδου, καθώς και μπαταρία πολύ μεγάλης χωρητικότητας για πολλές ώρες λειτουργίας σε μεγάλη ισχύ.</p></div><p><strong>Χαρακτηριστικά:</strong></p><ul><li>Dual band, Dual display, Dual standby</li><li>1750Hz tone</li><li>COMP function</li><li>FM radio function, can store up 25 radio channles</li><li>Reverse frequency function</li><li>VOX transmitting</li><li>TOT(Time-out timer)</li><li>CTCSS/DCS scanning</li><li>DTMF encoding and decoding</li><li>Tri-color background light selectable</li><li>Remote Kill/Stun/Activate/Revive</li><li>Cross-band repeater function</li><li>Non-standard CTCSS/DCS input</li></ul><p><strong>Τεχνικά Χαρακτηριστικά:</strong></p><ul><li>Frequency range: VHF:136~174MHZ, UHF:400~520MHZ</li><li>Frequency Stability: ±2.5PPm</li><li>Τάση: DC 7.2V (Rechargeable Li-ion battery)</li><li>Αριθμός καναλιών: 128</li><li>Αντίσταση κεραίας: 50 ohm</li><li>Τρόπος λειτουργίας: Simplex ή semi-duplex</li><li>Χωρητικότητα μπαταρίας: 3600mAh</li><li>Δέκτης: RF Sensitivity -122dBm(12dB SINAD)</li><li>Ισχύς ήχου: &gt;0.5W</li><li>Παραμόρφωση ήχου: =85dB</li><li>Intermediation: &gt;=60dB, &gt;=55dB</li><li>Selectivity: &gt;=65dB, &gt;=60dB</li><li>Spurious rejection: &gt;=65dB</li><li>Ισχύς πομπού: =5W</li><li>Λειτουργία διαμόρφωσης: F3E</li><li>Μέγιστη απόκλιση:</li><li>Adjacent Ch. power:</li><li>Spurious radiation:</li><li>Pre-emphasis characteristics: 6dB</li><li>Current:</li><li>CTCSS/DCS deviation: 0.55KHz±20.15KHz, 0.4KHz±20.1KHz</li><li>Intermediation sensitivity: 8~12mV</li><li>Intermediation distortion:</li><li>Διαστάσεις μικρής κεραίας 17cm</li><li>Διαστάσεις μεγάλης κεραίας 36cm</li><li>Διαστάσεις (χωρίς την κεραία): 13 x 6 x 3.5 cm</li><li>Βάρος: 291g</li><li>Χρώμα: Μαύρο</li></ul></div></div>",ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Κυνήγι - θάλασσα  camping>Φορητοί πομποδέκτες
39772,Φορητός πομποδέκτης - UHF/VHF – H5 – Baofen,Φορητός πομποδέκτης - UHF/VHF – H5 – Baofeng – 200221,in stock,new,57.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/200221.png,OEM,No Color,1.5,"<div class=""summary""><div class=""description bullets""><p>Baofeng BF-H5+ Dual band - 10W</p><p>Αριθμός μνημών: 128<br />Εύρος: 136-174 & 400-520 MHz<br />Κατανάλωση στην λήψη: &lt;380mA<br />Κατανάλωση στην εκπομπή: &lt;1.4Α<br />Κατανάλωση στην αναμονή: &lt;75mA<br />Μπαταρία 7.4V/2800mAH<br />Συχνότητα: V136-174 U400-470 (MHz)<br />RF output power: 10 (W)<br />Κανάλια: 99 (a)<br />Απόσταση επικοινωνίας: έως 8 (km)<br />Τάση: 7.4 (V) – Με μπαταρία 2800mah<br />Υλικό: ABS<br />Βάρος: 130g<br />Διαστάσεις: 20 x 10 x 10cm</p><p>Περιεχόμενα:<br />1 * Πομποδέκτης<br />1 * Φορτιστής<br />1 * Μπαταρία<br />1 * Κλιπ ζώνης<br />1 * Ακουστικά</p></div></div>",ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Κυνήγι - θάλασσα  camping>Φορητοί πομποδέκτες
39775,Ασύρματος πομποδέκτης - UHF/VHF - KT-980Plus ,Ασύρματος πομποδέκτης - UHF/VHF - KT-980Plus - 179806,in stock,new,243 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/179806_811.jpg,OEM,No Color,3.5,"<p><strong>Χαρακτηριστικά:</strong></p><p>Πρόγραμμα Η/Υ<br />Λειτουργία DTMF, 2 τόνοι, 5 τόνοι<br />ANI Caller ID (Αναγνωριστικό καλούντος)<br />Ραδιόφωνο FM <br />Single / Quad Band Standby <br />Τηλεχειριστήριο<br />Εύρος συχνοτήτων UHF/VHF: 136~174MHz<br />Ισχύς εξόδου 65W (VHF) <br />Αριθμός καναλιών: 200 <br />Διάστιχο καναλιών 25KHz (ευρεία ζώνη) 20K (μεσαία ζώνη) 12,5 (στενή ζώνη) <br />Phase lock step: 2,5KHz, 5KHz, 6,25KHz, 10KHz, 12,5KHz, 25KHz <br />Τάση λειτουργίας 13,8V DC±15% <br />Μέθοδος Squelch Carrier/CTOSS/DOS/5Tone/2Tone/DTMF<br />Σταθερότητα συχνότητας ±2,5 ppm <br />Θερμοκρασία λειτουργίας -20 έως +60 ℃ <br />Διεπαφή κεραίας τύπου Μ <br />Διαστάσεις 140 (Π) x 43 (Υ) x 172 (Β) mm. <br />Βάρος 1,03 κιλά</p>",ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Κυνήγι - θάλασσα  camping>Φορητοί πομποδέκτες
51060,Φορητός πομποδέκτης – UHF/VHF – UV82 - 4630,Φορητός πομποδέκτης – UHF/VHF – UV82 - 463082,in stock,new,45 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/4f9932fd500169ba52a9df3ae4158df1.jpg,OEM,No Color,1.0,"ΧΑΡΑΚΤΗΡΙΣΤΙΚΑ:
Είναι dual band VHF/UHF με εξαιρετική ισχύ εκπομπής από 0.5 έως 5 Watts.
Διαθέτει δέκτη ραδιοφωνίας FM αλλά και φακό Led.
Διαθέτει μεγάλη φωτιζόμενη οθόνη με διπλή ένδειξη συχνότητας V/U, U/V, U/U και V/V.
Η μπαταρία του είναι τύπου LiOn υψηλής χωρητικότητας 2800mAH.
Συμπεριλαμβάνει αυτόματο επιτραπέζιο ταχυφορτιστή.
Στις λειτουργίες του Baofeng UV-82 περιλαμβάνονται κωδικοποίηση και αποκωδικοποίηση CTCSS και DCS υποτόνων, αποστολή τόνων DTMF, VOX, πολλαπλές επιλογές βήματος συντονισμού από 2.5 μέχρι 25KHz, 128 μνήμες, επιλογή Narrow και Wide FM διαμόρφωσης, επιλογή χαμηλής και υψηλής ισχύος, πλήρες αριθμητικό πληκτρολόγιο, ρυθμιζόμενη μετατόπιση συχνότητας για πρόσβαση σε επαναληπτικές, λειτουργίες σάρωσης, φωνητική καθοδήγηση και πολλές ακόμη.
Συνοδεύεται με κλιπ ζώνης, λουράκι για το χέρι.
Μπορεί να προγραμματιστεί από υπολογιστή με την χρήση ειδικού καλωδίου (πωλείται χωριστά).
Μπορεί να επικοινωνεί με τις συχνότητες PMR, έτσι ώστε να δίνετε το παρόν σε όλες τις συναντήσεις με άλλες συσκευές PMR446, καθώς επίσης μπορούν να περαστούν συχνότητες Marine για ναυτική χρήση.
Ο Baofeng UV-82 είναι μία ευέλικτη συσκευή και μπορεί να χρησιμοποιηθεί σε όλες τις μορφές επαγγελματικής, ερασιτεχνικής και υπαίθριας δραστηριότητας, όπως εξερεύνηση, κυνήγι, ψάρεμα, άθληση κλπ.

 Η συσκευασία περιλαμβάνει:
– 1 x Baofeng UV-82
– 1 x Κεραία Dual Band
– 1 x Μπαταρία Li-ion 7.4v/2800mAh
– 1 x Επιτραπέζιος φορτιστής
– 1 x Κλιπ ζώνης
– 1 x Λουρί
– 1 x Manual",ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Κυνήγι - θάλασσα  camping>Φορητοί πομποδέκτες
54012,Φορητός πομποδέκτης – BF-H7 - Baofeng - 20407,Φορητός πομποδέκτης – BF-H7 - Baofeng - 204072,in stock,new,59.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/4bfe7584c18d9c4836075111c7e5fc41.jpg,OEM,No Color,1.5,"Ο ασύρματος πομποδέκτης Baofeng BF-H7 διαφέρει από άλλους λόγω της αυξημένης ισχύος εξόδου πομπού, τριών επιπέδων ρύθμισης ισχύος και αυξημένης χωρητικότητας μπαταρίας έως 2200 mAh.
Εκτός από τα αναφερόμενα πλεονεκτήματα η συσκευή διαθέτει και ενσωματωμένο φακό LED.
Τα κύρια χαρακτηριστικά του Baofeng BF-H7:
Υψηλή ισχύς πομπού, 3 επίπεδα.
41 στοιχεία μενού – το πιο λειτουργικό μενού όλων των διπλών σειρών αυτής της κατηγορίας.
Ισχυρή κεραία υψηλού κέρδους.
Μπαταρία LI-ION 2200 mAh.
Γρήγορη φόρτιση μπαταρίας.
128 προγραμματιζόμενα κανάλια.
Φακός LED.
Σύστημα βελτίωσης ομιλίας ομιλίας. Συγκολλητής.
Ενεργοποίηση VOX για μετάδοση φωνής. 8 επίπεδα.
SQL Ηλεκτρονική ρύθμιση επιπέδου squelch. 10 επίπεδα.
Τέλος σήματος μετάδοσης. (Τόνος Roger)
Κουμπί κλήσης. Σήμα 1750Hz.
Συχνότητες FM (FM 70-107.90 MHz). 25 σταθμοί μνήμης.
Ορισμός ονομάτων για κανάλια.
Αποκλεισμός κουμπιών από τυχαίο πάτημα.
Σάρωση καναλιών και συχνοτήτων.
Λειτουργία εξοικονόμησης μπαταρίας
Δυνατότητα διαχωρισμού των συχνοτήτων λήψης και μετάδοσης.
Αποκλεισμός μετάδοσης σε ένα πολυάσχολο κανάλι.
Κλείδωμα πληκτρολογίου, προστασία κουμπιών από τυχαίο πάτημα.",ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Κυνήγι - θάλασσα  camping>Φορητοί πομποδέκτες
54015,Φορητός πομποδέκτης – BF-UV10 - Baofeng - 204,Φορητός πομποδέκτης – BF-UV10 - Baofeng - 204101,in stock,new,45 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/88f8692c607f3ca0be4516b66824044a.jpg,OEM,No Color,1.5,"Baofeng Walkie Talkie BF-UV10 VHF/UHF - 2 WAY.
Λειτουργίες - Χαρακτηριστικά:
Μεγάλη οθόνη, πληκτρολόγιο, λειτουργία πλήρους ανοιχτού μενού, δεν απαιτείται λογισμικό προγραμματισμού
Βάση φόρτισης, Φακός LED.
Ρυθμιζόμενο για υψηλή και χαμηλή ισχύ
128 κανάλια
50 CTCSS και 104 CDCSS
9. Χρονικό όριο εκκίνησης 30-180 δευτερόλεπτα
Ραδιόφωνο FM (87-108 MHz)
Παρακολούθηση καναλιών, σάρωση καναλιών, αναμονή διπλού καναλιού
Υποστήριξη επιλογής ευρείας και στενής ζώνης (25KHz/12,5KHz)
Λειτουργία VOX hands-free, Ισχύς: 5W
Συχνότητα: 136-174MHz/400-520MHz
Μπαταρία: DC7.4V 1800mAH
Μήκος κεραίας: 8,26""
Διάσταση: 4,7"" x 2"" x 1,1""
 
Περιεχόμενα:
1x πομποδέκτης
1x κεραία
1x 1800mAh μπαταρία λιθίου
1x Μετασχηματιστής ρεύματος
1x Βάση φόρτισης
1x Κλιπ ζώνης
1x Λουράκι
1x Εγχειρίδιο χρήστη",ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Κυνήγι - θάλασσα  camping>Φορητοί πομποδέκτες
54024,Φορητός πομποδέκτης – BF-777SR - Baofeng - 24,Φορητός πομποδέκτης – BF-777SR - Baofeng - 247777,in stock,new,18 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/29a70ffef0e2b449d02c5b4563e343a7.jpg,OEM,No Color,1.5,"<p>BAOFENG BF-777SR - Walkie Talkie UHF Band 8W. Μπαταρία 3800 mAh. Ελαφριά και συμπαγής κατασκευή. Καθαρός ήχος. Προστασία ήχου από παρεμβολές σήματος. Εργονομικός σχεδιασμος. Χρώμα: Μαύρο. Υλικό: ABS. Εύρος Συχνοτήτων: 400 ~ 470 MHz. Ισχύς εξόδου RF: ≤ 8W.Κανάλια: 16. Εύρος ομιλίας: 5 ~ 10 χλμ. Τύπος μπαταρίας: Μπαταρία λιθίου 3800 mAh. Χρόνος αναμονής: 50 ώρες. Χρόνος εργασίας: 40 ~ 48 ώρες. Διάρκεια ζωής μπαταρίας: 10 000 ώρες. Λειτουργία οθόνης: Ναι. Τάση λειτουργίας: 3,7V. Σταθερότητα συχνότητας: 2,5 ppm. Διαστάσεις: (11,8 x 5,8 x 3,5) cm (Μ x Π x Υ). TOT (Time-out Timer). Λειτουργία κρυπτογράφησης. Τεχνολογία μείωσης θορύβου. Επίπεδο Squelch. Εξοικονόμηση μπαταρίας. Λειτουργία φωνητικού ελέγχου VOX (Voice Operated Transmitting) Κλείδωμα καναλιού - Απασχολημένο . Προστασία υπέρτασης ή χαμηλής τάσης. Παρακολούθηση καναλιού. <strong>*Περιλαμβάνεται 1 τεμάχιο.</strong> </p>",ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Κυνήγι - θάλασσα  camping>Φορητοί πομποδέκτες
54027,Φορητός πομποδέκτης – BF-Q8 PRO - Baofeng - 2,Φορητός πομποδέκτης – BF-Q8 PRO - Baofeng - 204084,in stock,new,18 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/204084.jpeg,OEM,No Color,1.5,"Χαρακτηριστικά:
    Υλικό: ABS & Αλουμίνιο
    Εύρος σύνδεσης μέχρι 8 χιλιόμετρα σε ανοιχτό πεδίο
    Διαθέσιμα 15 κανάλια
    Λειτουργία Scan
    Ρυθμιζόμενο επίπεδο έντασης
    Monitor Button
    Function button
    Frequency Range 400~470MHz (RX/TX)
    Μπαταρία 1800mAh
    Το σετ περιλαμβάνει 2 συσκευές
    Λειτουργία απομόνωσης θορύβου
    Λειτουργία εξοικονόμησης ενέργειας
    Ρύθμιση μέσω PC",ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Κυνήγι - θάλασσα  camping>Φορητοί πομποδέκτες
54030,Φορητός πομποδέκτης – BF-E50 PRO - Baofeng - ,Φορητός πομποδέκτης – BF-E50 PRO - Baofeng - 204503,in stock,new,18 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/204503.png,OEM,No Color,1.5,"ΧΑΡΑΚΤΗΡΙΣΤΙΚΑ:

1) Έξοδος: ≤ 5W
2) Συχνότητα: 400.00-470.MHz
3) 16 κανάλια
4) Πρόγραμμα Η/Υ
5) Λειτουργία φακού
6) Κωδικοί CTCSS και DCS
7) Επίπεδο Squelch
8) Εξοικονόμηση μπαταρίας
9) Λειτουργία VOX (Voice Operated Transmitting).
10) Κλείδωμα κατειλημμένου καναλιού
11) Προειδοποίηση χαμηλής μπαταρίας
12) Προστασία υπέρτασης ή χαμηλής τάσης
13) Παρακολούθηση καναλιού
14) TOT (Time-out Timer)
15) Λειτουργία κρυπτογράφησης
16) Τεχνολογία μείωσης θορύβου
17) Λειτουργία σάρωσης
Η συσκευασία περιλαμβάνει
1 Baofeng E50
1 x Κεραία
1 x λουράκι
1 x Κλιπ ζώνης
1 x Φορτιστής
1 x Εγχειρίδιο χρήστη",ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Κυνήγι - θάλασσα  camping>Φορητοί πομποδέκτες
