id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
38866,Αυτόματη ομπρέλα - 70cm - Tradesor - 715026 - Blac,Αυτόματη ομπρέλα - 70cm - Tradesor - 715026 - Black,in stock,new,5.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/715026_b.png,OEM,No Color,6.5,<p>Ομπρέλα Tradesor με αυτόματο μηχανισμό ανοίγματος και εργονομική λαβή-μπαστούνι. <br />Υψηλής ποιότητας κατασκευή και ανθεκτικό ύφασμα που στεγνώνει άμεσα.<br />Χρώμα: μαύρο<br /><br /></p>,ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Ομπρέλες  αδιάβροχα>Ομπρέλες μπαστούνι
38867,Αυτόματη ομπρέλα - 67cm - Tradesor - 715007 - Blue,Αυτόματη ομπρέλα - 67cm - Tradesor - 715007 - Blue,in stock,new,5.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/715007_bl.png,OEM,No Color,0.7,<p>Ομπρέλα Tradesor με αυτόματο μηχανισμό ανοίγματος και εργονομική λαβή-μπαστούνι. <br />Υψηλής ποιότητας κατασκευή και ανθεκτικό ύφασμα που στεγνώνει άμεσα.<br />Χρώμα: μπλε</p>,ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Ομπρέλες  αδιάβροχα>Ομπρέλες μπαστούνι
38960,Αυτόματη ομπρέλα - 67cm - Tradesor - 715007 - Purp,Αυτόματη ομπρέλα - 67cm - Tradesor - 715007 - Purple,in stock,new,5.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/715007_pu.png,OEM,No Color,5.0,<p>Ομπρέλα Tradesor με αυτόματο μηχανισμό ανοίγματος και εργονομική λαβή-μπαστούνι. <br />Υψηλής ποιότητας κατασκευή και ανθεκτικό ύφασμα που στεγνώνει άμεσα.<br />Χρώμα: μπλε</p>,ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Ομπρέλες  αδιάβροχα>Ομπρέλες μπαστούνι
38961,Αυτόματη ομπρέλα - 67cm - Tradesor - 715007 - Gree,Αυτόματη ομπρέλα - 67cm - Tradesor - 715007 - Green,in stock,new,5.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/715007_gr.png,OEM,No Color,5.0,<p>Ομπρέλα Tradesor με αυτόματο μηχανισμό ανοίγματος και εργονομική λαβή-μπαστούνι. <br />Υψηλής ποιότητας κατασκευή και ανθεκτικό ύφασμα που στεγνώνει άμεσα.<br />Χρώμα: μπλε</p>,ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Ομπρέλες  αδιάβροχα>Ομπρέλες μπαστούνι
38962,Αυτόματη ομπρέλα - 67cm - Tradesor - 715007 - Blac,Αυτόματη ομπρέλα - 67cm - Tradesor - 715007 - Black,in stock,new,5.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/715007_b.png,OEM,No Color,5.0,<p>Ομπρέλα Tradesor με αυτόματο μηχανισμό ανοίγματος και εργονομική λαβή-μπαστούνι. <br />Υψηλής ποιότητας κατασκευή και ανθεκτικό ύφασμα που στεγνώνει άμεσα.<br />Χρώμα: μπλε</p>,ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Ομπρέλες  αδιάβροχα>Ομπρέλες μπαστούνι
38966,Αυτόματη ομπρέλα - 70cm - Tradesor - 715026 - Red,Αυτόματη ομπρέλα - 70cm - Tradesor - 715026 - Red,in stock,new,5.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/715026_r.png,OEM,No Color,6.5,<p>Ομπρέλα Tradesor με αυτόματο μηχανισμό ανοίγματος και εργονομική λαβή-μπαστούνι. <br />Υψηλής ποιότητας κατασκευή και ανθεκτικό ύφασμα που στεγνώνει άμεσα.<br />Χρώμα: σκούρο κόκκινο - μπορντώ<br /><br /></p>,ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Ομπρέλες  αδιάβροχα>Ομπρέλες μπαστούνι
38967,Αυτόματη ομπρέλα - 70cm - Tradesor - 715026 - Blue,Αυτόματη ομπρέλα - 70cm - Tradesor - 715026 - Blue,in stock,new,5.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/715026_bl.png,OEM,No Color,6.5,<p>Ομπρέλα Tradesor με αυτόματο μηχανισμό ανοίγματος και εργονομική λαβή-μπαστούνι. <br />Υψηλής ποιότητας κατασκευή και ανθεκτικό ύφασμα που στεγνώνει άμεσα.<br />Χρώμα: σκούρο μπλε<br /><br /></p>,ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Ομπρέλες  αδιάβροχα>Ομπρέλες μπαστούνι
39225,Αυτόματη ομπρέλα - 70cm - Tradesor - 012024 - Blac,Αυτόματη ομπρέλα - 70cm - Tradesor - 012024 - Black,in stock,new,5.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/012024_b.jpg,OEM,No Color,5.0,<p>Ομπρέλα Tradesor με αυτόματο μηχανισμό ανοίγματος και εργονομική λαβή-μπαστούνι. <br />Υψηλής ποιότητας κατασκευή και ανθεκτικό ύφασμα που στεγνώνει άμεσα.</p>,ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Ομπρέλες  αδιάβροχα>Ομπρέλες μπαστούνι
39226,Αυτόματη ομπρέλα - 70cm - Tradesor - 705007 - Blac,Αυτόματη ομπρέλα - 70cm - Tradesor - 705007 - Black,in stock,new,4.5 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/705007.png,OEM,No Color,5.0,<p>Ομπρέλα Tradesor με αυτόματο μηχανισμό ανοίγματος και εργονομική λαβή-μπαστούνι. <br />Υψηλής ποιότητας κατασκευή και ανθεκτικό ύφασμα που στεγνώνει άμεσα.</p>,ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Ομπρέλες  αδιάβροχα>Ομπρέλες μπαστούνι
39645,Αυτόματη ομπρέλα – 70cm – Tradesor – 111305 ,Αυτόματη ομπρέλα – 70cm – Tradesor – 111305 – Black,in stock,new,9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/111305.png,OEM,No Color,0.7,<p>Ομπρέλα Tradesor με αυτόματο μηχανισμό ανοίγματος και εργονομική λαβή-μπαστούνι. <br />Υψηλής ποιότητας κατασκευή και ανθεκτικό ύφασμα που στεγνώνει άμεσα.<br />Διάμετρος: 70cm</p>,ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Ομπρέλες  αδιάβροχα>Ομπρέλες μπαστούνι
58017,Αυτόματη ομπρέλα μπαστούνι – 70# - 8K -,Αυτόματη ομπρέλα μπαστούνι – 70# - 8K - Tradesor - 585991,in stock,new,5.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/9400ac1fc02087eff1993201d3c9163a.jpg,OEM,No Color,4.0,"Ομπρέλα βροχής Tradesor με αυτόματο μηχανισμό ανοίγματος και εργονομική λαβή-μπαστούνι.
Υψηλής ποιότητας κατασκευή και ανθεκτικό ύφασμα που στεγνώνει άμεσα.",ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Ομπρέλες  αδιάβροχα>Ομπρέλες μπαστούνι
58020,Αυτόματη ομπρέλα μπαστούνι – 70# - 16K ,Αυτόματη ομπρέλα μπαστούνι – 70# - 16K - Tradesor - 585984,in stock,new,5.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/66766e78e732efda723a76ed2177a8c4.jpg,OEM,No Color,4.0,"Ομπρέλα βροχής Tradesor με αυτόματο μηχανισμό ανοίγματος και εργονομική λαβή-μπαστούνι.
Υψηλής ποιότητας κατασκευή και ανθεκτικό ύφασμα που στεγνώνει άμεσα.",ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Ομπρέλες  αδιάβροχα>Ομπρέλες μπαστούνι
58023,Αυτόματη ομπρέλα μπαστούνι – 70# - 8K -,Αυτόματη ομπρέλα μπαστούνι – 70# - 8K - Tradesor - 585977,in stock,new,5.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/a25d35fada5f6b94dd4a63f3c234105b.jpg,OEM,No Color,4.0,"Ομπρέλα βροχής Tradesor με αυτόματο μηχανισμό ανοίγματος και εργονομική λαβή-μπαστούνι.
Υψηλής ποιότητας κατασκευή και ανθεκτικό ύφασμα που στεγνώνει άμεσα.",ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Ομπρέλες  αδιάβροχα>Ομπρέλες μπαστούνι
58026,Αυτόματη ομπρέλα μπαστούνι – 70# - 8K -,Αυτόματη ομπρέλα μπαστούνι – 70# - 8K - Tradesor - 585953,in stock,new,5.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/2bda55c38b2f479fa49e8ec0e0a4304b.jpg,OEM,No Color,4.0,"Ομπρέλα βροχής Tradesor με αυτόματο μηχανισμό ανοίγματος και εργονομική λαβή-μπαστούνι.
Υψηλής ποιότητας κατασκευή και ανθεκτικό ύφασμα που στεγνώνει άμεσα.",ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Ομπρέλες  αδιάβροχα>Ομπρέλες μπαστούνι
58029,Αυτόματη ομπρέλα μπαστούνι – 70# - 8K -,Αυτόματη ομπρέλα μπαστούνι – 70# - 8K - Tradesor - 585946,in stock,new,5.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/a2093f3f048d9d9167aa5594ae2d01bd.jpg,OEM,No Color,4.0,"Ομπρέλα βροχής Tradesor με αυτόματο μηχανισμό ανοίγματος και εργονομική λαβή-μπαστούνι.
Υψηλής ποιότητας κατασκευή και ανθεκτικό ύφασμα που στεγνώνει άμεσα.",ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Ομπρέλες  αδιάβροχα>Ομπρέλες μπαστούνι
58032,Αυτόματη ομπρέλα μπαστούνι – 70# - 8K -,Αυτόματη ομπρέλα μπαστούνι – 70# - 8K - Tradesor - 585939,in stock,new,5.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/5981ea631536ffde833cd66633370176.jpg,OEM,No Color,4.0,"Ομπρέλα βροχής Tradesor με αυτόματο μηχανισμό ανοίγματος και εργονομική λαβή-μπαστούνι.
Υψηλής ποιότητας κατασκευή και ανθεκτικό ύφασμα που στεγνώνει άμεσα.",ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Ομπρέλες  αδιάβροχα>Ομπρέλες μπαστούνι
58035,Αυτόματη ομπρέλα μπαστούνι – 70# - 8K -,Αυτόματη ομπρέλα μπαστούνι – 70# - 8K - Tradesor - 585922,in stock,new,5.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/fe9bb9996f2b2561628bd6cb881c1399.jpg,OEM,No Color,4.0,"Ομπρέλα βροχής Tradesor με αυτόματο μηχανισμό ανοίγματος και εργονομική λαβή-μπαστούνι.
Υψηλής ποιότητας κατασκευή και ανθεκτικό ύφασμα που στεγνώνει άμεσα.",ΕΠΟΧΙΑΚΑ - ΤΟΥΡΙΣΤΙΚΑ  HOBBY>Ομπρέλες  αδιάβροχα>Ομπρέλες μπαστούνι
