id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
38376,Επαγγελματική ψηφιακή ζυγαριά πάγκ,Επαγγελματική ψηφιακή ζυγαριά πάγκου - 40kg - ACS-822B - 910535,in stock,new,45 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/910535.jpg,OEM,No Color,2.1,"<p class=""product_title entry-title"">Επαγγελματική ψηφιακή ζυγαριά πάγκου</p><div id=""content_tab_description"" class=""tab-content tab-description""><div class=""tab-content-inner""><div class=""tab-content-scroll""><p>Μέγιστη ζύγιση 40 κιλά.<br />Διαβάθμιση ανά 5 γραμμάρια.<br />Ρύθμιση απόβαρου<br />Η αξία του προϊόντος μπορεί να είναι μέχρι 5 ψηφία.<br />Η αξία του συνόλου μπορεί να είναι μέχρι 6 ψηφία.<br /><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b ChMk0b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""en"" data-phrase-index=""6"" data-number-of-phrases=""29""><span class=""Q4iAWc"">Οθόνη LCD με backlight</span></span></span><br />Λειτουργεί στην πρίζα με μετασχηματιστή.<br />Διαθέτει επαναφορτιζόμενη μπαταρία για να λειτουργήσει και χωρίς ρεύμα, η μπαταρία κρατάει από 15 έως 30 ημέρες αναλόγως της χρήσης. <br />Όταν δεν χρησιμοποιείται, για λόγους οικονομίας σβήνει η οθόνη και ανάβει πάλι αυτόματα όταν εναποθέσουμε βάρος στην πλατφόρμα.<br />Ακρίβεια ζύγισης 1/3000F.S<br />Βάρος συσκευής 5,8 κιλά.<br />Διαστάσεις 33 Χ 37 Χ 12cm<br />Διαθέτει ρυθμίσεις εισαγωγής χρέωσης ανά κιλό και υπολογισμό αξίας. <br />Η ζυγαριά δεν διαθέτει κολώνα παρά μόνο τριπλή οθόνη στο κάτω αριστερά μέρος της συσκευής. </p></div></div></div>",ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Επαγγελματικές ζυγαριές  θερμοκολλητικά>Ζυγαριές πάγκου
54391,Επαγγελματική αναλογική ζυγαριά με,Επαγγελματική αναλογική ζυγαριά με κάδο - 20KG - ATZ-20,in stock,new,16.2 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/7b4274362adecb9bd4bd21df8e75e6b0.jpg,OEM,No Color,2.0,"Επαγγελματική αναλογική ζυγαριά με κάδο για ζύγιση έως 20KG. Χαρακτηριστικά
Μέγιστο μετρήσιμο βάρος 20Κg
Μονάδα μέτρησης ανά 0.100gr
Μεταλλικό μπόλ inox με διάμετρο 24εκ
Διαστάσεις: 26X18X(Υ)31cm
Δυνατότητα αφαίρεσης απόβαρου",ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Επαγγελματικές ζυγαριές  θερμοκολλητικά>Ζυγαριές πάγκου
54394,Αναλογική ζυγαριά κουζίνας με κάδο ,Αναλογική ζυγαριά κουζίνας με κάδο - KS-04 - 211243 - Orange,in stock,new,6.3 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/4306eec06e5964fd7031fb467c5d12e5.jpg,OEM,No Color,2.0,"Αναλογική ζυγαριά κουζίνας με πλαστικό κάδο για ζύγιση έως και 5kg/11 lbs
Υποδιαίρεση ανά: 40γρ
Αφαιρούμενο μπoλ ζύγισης για εύκολο καθάρισμα/πλύσιμο.",ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Επαγγελματικές ζυγαριές  θερμοκολλητικά>Ζυγαριές πάγκου
54397,Αναλογική ζυγαριά κουζίνας με κάδο ,Αναλογική ζυγαριά κουζίνας με κάδο - KS-015 - 211242,in stock,new,5.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/39d5f3e35c9412354cec01bda1426214.jpg,OEM,No Color,2.0,"Αναλογική ζυγαριά κουζίνας με πλαστικό κάδο για ζύγιση έως και 3kg, με διαφανές πρωτοποριακό design.
Υποδιαίρεση ανά: 40γρ
Αφαιρούμενο μπoλ ζύγισης για εύκολο καθάρισμα/πλύσιμο. Διαστάσεις: 11 x 23 x 14 cm",ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Επαγγελματικές ζυγαριές  θερμοκολλητικά>Ζυγαριές πάγκου
54400,Ψηφιακή ζυγαριά κουζίνας - WY-217 - 211241,Ψηφιακή ζυγαριά κουζίνας - WY-217 - 211241,in stock,new,9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/3333fc88b3ffd65ee7a7b89a1a07b001.jpg,OEM,No Color,1.0,"Ένδειξη χαμηλής μπαταρίας & Υπερφόρτωση.
Μονάδες ζύγισης: g / oz / lb
Λειτουργία απόβαρου.
Αυτόματη απενεργοποίηση σε 60 δευτερόλεπτα.
Λειτουργεί με 2 μπαταρίες AA (Δεν περιλαμβάνονται)
Διαστάσεις συνολικές: 225 x 160 x 43 mm
Μέγεθος πλατφόρμας: 150 x150 mm
Zυγίζει απο 1 γραμμάριo εώς 5 κιλά",ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Επαγγελματικές ζυγαριές  θερμοκολλητικά>Ζυγαριές πάγκου
54406,Ψηφιακή ζυγαριά κουζίνας με κάδο - DM,Ψηφιακή ζυγαριά κουζίνας με κάδο - DM3 - 211238,in stock,new,9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/211238.jpeg,OEM,No Color,1.0,"Πρακτική ψηφιακή ζυγαριά ακριβείας για την κουζίνα που ζυγίζει από 0.01gr έως 500gr.
Ευδιάκριτη ψηφιακή οθόνη LCD.
Μονάδες μέτρησης: gr, oz, dwt, gn,ct.
Έχει λειτουργία αυτόματου σβησίματος όταν είναι σε αδράνεια και ένδειξη Low Battery.
Λειτουργεί με 2 μπαταρίες ΑΑA (δεν περιλαμβάνονται)",ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Επαγγελματικές ζυγαριές  θερμοκολλητικά>Ζυγαριές πάγκου
54439,Επαγγελματική ζυγαριά πάγκου - 789 - 21,Επαγγελματική ζυγαριά πάγκου - 789 - 211229,in stock,new,41.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/211229.jpg,OEM,No Color,4.0,"Ζυγαριά Πάγκου max 40kg.

Xαρακτηριστικά

    Ικανότητα ζύγισης 40kg/200gr 
    2 Οθόνες μπρος-πίσω φωτιζόμενες
    Yποδιαίρεση ανά 5 γραμμάρια    
    Διαθέτει επαναφορτιζόμενη μπαταρία για λειτουργία και χωρίς ρεύμα.
    Διαστάσεις πλατφόρμας: 32 x 23",ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Επαγγελματικές ζυγαριές  θερμοκολλητικά>Ζυγαριές πάγκου
54442,Επαγγελματική ζυγαριά πάγκου - 769 - 21,Επαγγελματική ζυγαριά πάγκου - 769 - 211228,in stock,new,41.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/211229.jpg,OEM,No Color,4.0,"Ζυγαριά Πάγκου max 40kg.

Xαρακτηριστικά

    Ικανότητα ζύγισης 40kg/200gr 
    2 Οθόνες μπρος-πίσω φωτιζόμενες
    Yποδιαίρεση ανά 5 γραμμάρια    
    Διαθέτει επαναφορτιζόμενη μπαταρία για λειτουργία και χωρίς ρεύμα.
    Διαστάσεις πλατφόρμας: 32 x 23",ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Επαγγελματικές ζυγαριές  θερμοκολλητικά>Ζυγαριές πάγκου
54478,Ψηφιακή ζυγαριά κουζίνας - DT540 - 211215,Ψηφιακή ζυγαριά κουζίνας - DT540 - 211215,in stock,new,18 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/689216d6d7cb7aaf47a36c984e648385.jpg,OEM,No Color,1.0,"Ψηφιακή ζυγαριά κουζίνας μεγάλης εμβέλειας με μέγιστη ζύγιση έως 30kg. Ένδειξη χαμηλής μπαταρίας & Υπερφόρτωσης.
Μονάδες ζύγισης: g / oz / lb
Λειτουργία απόβαρου.
Αυτόματη απενεργοποίηση σε 60 δευτερόλεπτα.
Λειτουργεί με 2 μπαταρίες AA (περιλαμβάνονται)",ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Επαγγελματικές ζυγαριές  θερμοκολλητικά>Ζυγαριές πάγκου
54481,Ψηφιακή ζυγαριά ακριβείας - TS200 - 211214,Ψηφιακή ζυγαριά ακριβείας - TS200 - 211214,in stock,new,10.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/211214.jpg,OEM,No Color,1.0,"Υψηλής ποιότητας ηλεκτρονική ψηφιακή ζυγαριά Fuzion TS-200, μέγιστο βάρος ζύγισης 10Kg και ακρίβεια 1gr.

Εύχρηστη  και ιδανική για πολλαπλές χρήσεις(κουζίνα, επαγγελματικούς χώρους κλπ)
Δυνατότητα αναγραφής  απόβαρου.
Άλλα χαρακτηριστικά:
– Φορητή για εύκολη αποθήκευση και μεταφορά.
– Over -load / ένδειξη χαμηλής μπαταρίας.
– Μονάδες μέτρησης: Kg/g/oz/lb/Pcs
– Αυτόματη επαναφορά μηδέν on / off
– Αυτόματη απενεργοποίηση
– Ευδιάκριτη φωτιζόμενη οθόνη με μεγάλα ψηφία
– Διαστάσεις : 215 x 145 x 45 χιλιοστά
– Διαστάσεις πλατφόρμας: 145 x 145 χιλιοστά
– Τροφοδοσία: 2 μπαταρίες ΑΑ",ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Επαγγελματικές ζυγαριές  θερμοκολλητικά>Ζυγαριές πάγκου
