id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
37200,Επαγγελματική ζυγαριά - Πλάστιγγα έ,Επαγγελματική ζυγαριά - Πλάστιγγα έως 600Kg - 165002,in stock,new,99 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/165002_812.jpg,OEM,No Color,30.0,"<p>Επαγγελματική, ηλεκτρονική ζυγαριά -πλάστιγγα έως 600kg. Στιβαρή κατασκευή υψηλής αντοχής, με αντιολισθητική επιφάνεια</p><p>Χαρακτηριστικά:</p><ul><li>Σύστημα προστασίας από υπερφόρτωση.</li><li>Χαμηλό ύψος φόρτωσης, 20cm.</li><li>Διαβάθμιση ανά 200g</li><li>Ζύγιση έως 600kg</li><li>Διαστάσεις πλατφόρμας: 45 x 60 cm</li><li>Βάρος 35kg</li><li>Παροχή συνεχόμενου ρεύματος και εσωτερική επαναφορτιζόμενη μπαταρία 6V/4AH</li><li>Λειτουργεί στην πρίζα με μετασχηματιστή.</li><li>Ανοξείδωτο και αποσπώμενο στραντζαριστό καπάκι.</li><li>Λειτουργία απόβαρου</li><li>Οθόνη με led φωτισμό</li><li>Αναδιπλούμενη κολόνα</li></ul><p> </p>",ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Επαγγελματικές ζυγαριές  θερμοκολλητικά>Πλάστιγγες  καντάρια
38379,Επαγγελματική ζυγαριά - Πλάστιγγα έ,Επαγγελματική ζυγαριά - Πλάστιγγα έως 1000kg - 210016,in stock,new,171 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/210016.jpg,OEM,No Color,35.0,"<div class=""prod-descr""><div id=""tab-description"" class=""woocommerce-Tabs-panel woocommerce-Tabs-panel--description panel entry-content wc-tab"" role=""tabpanel"" aria-labelledby=""tab-title-description""><p>Τεχνικά χαρακτηριστικά:<br />Οθόνη LED/LCD Μέγιστη ζύγιση 1000 κιλά – Διαβάθμιση ανά 50 γραμμάρια<br />Διαστάσεις βάσης: 80 x 60 εκατοστά<br />Παροχή συνεχόμενου ρεύματος και εσωτερική επαναφορτιζόμενη μπαταρία 6V/4AH, για να λειτουργήσει και χωρίς ρεύμα.<br />Βάρος συσκευασίας: 14 κιλά<br />Λειτουργεί στην πρίζα με μετασχηματιστή.<br />Ανοξείδωτο και αποσπώμενο στραντζαριστό καπάκι.</p><p> </p><p> </p></div></div>",ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Επαγγελματικές ζυγαριές  θερμοκολλητικά>Πλάστιγγες  καντάρια
38380,Επαγγελματική ψηφιακή ζυγαριά - Καν,Επαγγελματική ψηφιακή ζυγαριά - Καντάρι - A08 - 040285,in stock,new,4.5 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2004_167028-1.jpg,OEM,No Color,0.2,"<p>Ψηφιακή ζυγαριά με γάντζο από ανοξείδωτο χάλυβα. Ιδανική επιλογή για την μέτρηση του βάρους αποσκευών και λοιπών αντικειμένων. Διαθέτει LCD οθόνη με οπίσθιο φωτισμό, χωρητικότητα 50 κιλών με ακρίβεια 5-10 γραμμαρίων, ενώ είναι εξαιρετικά φορητή για να την μεταφέρετε οπουδήποτε.<br /><br />Μία χρήσιμη συσκευή για όσους ταξιδεύουν συχνά.<br /><br />Με αυτήν την ψηφιακή ζυγαριά αποσκευών μπορείτε να ξέρετε πάντα αν έχετε ξεπεράσει το επιτρεπόμενο βάρος, ώστε να γλυτώσετε τα παραπανίσια έξοδα στο αεροδρόμιο.<br /><br />Επίσης χρήσιμη στην κουζίνα και στο ψάρεμα. Κατάλληλη και για επαγγελματική χρήση από εταιρείες μεταφορών, courier, καταστήματα τροφίμων, πλανόδιους πωλητές κλπ.<br /><br /><strong> Χαρακτηριστικά:</strong></p><ul><li>    Τροφοδοσία: 2 x Μπαταρίες ΑΑ (δεν περιλαμβάνονται)</li><li>    Βάρος συσκευής: 140gr</li><li>    Αυτόματο σβήσιμο όταν μένει σε αδράνεια για 2 λεπτά - διαθέτει και πλήκτρο on/off</li><li>    Φωτιζόμενη οθόνη 1.5 ιντσών</li><li>    Ζυγίζει από ~5-10 γραμμάρια έως 50 κιλά</li><li>    Ακρίβεια 5γρ ( 0-10Κg ) και 10gr ( 10-50Kg )</li><li>    Ένδειξη low battery, και ειδοποίηση υπερφόρτωσης (αν βάρος &gt; 50kg)</li><li>    Μονάδες μέτρησης: kg/lb/oz (button εναλλαγής)</li><li>    Μεταλλικός γάτζος και εσωτερικό, στιβαρή κατασκευή για αντοχή στον χρόνο</li><li>    Λειτουργία lock με την βοήθεια της οποίας “κλειδώνει” η ένδειξη μόλις το βάρος φτάσει σε μια σταθερή τιμή (πατώντας το πλήκτρο TARE σταθερά)</li><li>    Λειτουργία μέτρησης θερμοκρασίας χώρου.</li></ul>",ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Επαγγελματικές ζυγαριές  θερμοκολλητικά>Πλάστιγγες  καντάρια
54370,Ψηφιακή ζυγαριά - Καντάρι - TE015 - 325669,Ψηφιακή ζυγαριά - Καντάρι - TE015 - 325669,in stock,new,4.5 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/206c0c23b5b8f0d7732b36aeeb589b9c.jpg,OEM,No Color,0.6,"Διαστάσεις: 170 x 75 x 23mm
Διαστάσεις οθόνης LCD: 33 x 20mm
Βάρος: 130g
Πιστοποιητικά: CE,RoHS
Λειτουργεί με 2 μπαταρίες ΑΑΑ (περιλαμβάνονται)",ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Επαγγελματικές ζυγαριές  θερμοκολλητικά>Πλάστιγγες  καντάρια
54445,Επαγγελματική ζυγαριά – Πλάστιγγα ,Επαγγελματική ζυγαριά – Πλάστιγγα - 600KG  - 211227,in stock,new,117 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/1008_165419-1.jpg,OEM,No Color,25.0,"Ζυγαριά - Πλάστιγγα 600 Κιλών - TCS 600KG
Ιδανική για ζύγιση δεμάτων αποστολής κούριερ, για εργαστήρια, φούρνους, μανάβικα, ψαράδες, αγρότες κτλ.
Ηλεκτρονική ζυγαριά-πλατφόρμα.
Τεχνικά χαρακτηριστικά:
1. Οθόνη LED/LCD Μέγιστη ζύγιση 600 κιλά.
2. Διαβάθμιση ανά 200 γραμμάρια
3. Διαστάσεις βάσης 50 x 60 εκατοστά
4. Παροχή συνεχιζόμενου ρεύματος και εσωτερική επαναφορτιζόμενη μπαταρία 6V/4AH
5. Βάρος συσκευασίας 24 κιλά
6. Λειτουργεί στην πρίζα με μετασχηματιστή
7. Διαθέτει επαναφορτιζόμενη μπαταρία για να λειτουργεί και χωρίς ρεύμα
8. Ανοξείδωτο και αποσπώμενο στραντζαριστό καπάκι",ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Επαγγελματικές ζυγαριές  θερμοκολλητικά>Πλάστιγγες  καντάρια
54448,Επαγγελματική ζυγαριά – Πλάστιγγα ,Επαγγελματική ζυγαριά – Πλάστιγγα - 300KG  - 211226,in stock,new,90 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/1008_165419-1.jpg,OEM,No Color,25.0,"Επαγγελματική Ηλεκτρονική Ζυγαριά Πλάστιγγα 300kg κατάλληλη για επαγγελματική χρήση.

Χαρακτηριστικά

Οθόνη LED/LCD
Μέγιστη ζύγιση: 300 κιλά
Διαβάθμιση ανά 50 γραμμάρια
Διαστάσεις βάσης: 40 x 30 εκατοστά
Τροφοδοσία: Παροχή συνεχόμενου ρεύματος με μετασχηματιστή και εσωτερική επαναφορτιζόμενη μπαταρία 6V/4AH
Βάρος συσκευασίας: 14 κιλά",ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Επαγγελματικές ζυγαριές  θερμοκολλητικά>Πλάστιγγες  καντάρια
54454,Ψηφιακή ζυγαριά - Καντάρι - TE006 - 211223,Ψηφιακή ζυγαριά - Καντάρι - TE006 - 211223,in stock,new,10.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/211223.jpg,OEM,No Color,0.4,"* Συμπαγές περίβλημα.
* Κουμπί λειτουργίας On/Off.
* Μέγιστο όριο βάρους μέτρησης: 200 κιλά.
* Ελάχιστο όριο βάρους μέτρησης 20γρ
* Λειτουργεί με 2 μπαταρίες AAA οι οποίες περιλαμβάνονται.
* Εύκολη στην μεταφορά.
* Ευκολία χρήσης.
* Δεν πιάνει χώρο.
* Ανθεκτική κατασκευή.
* Εργονομικός σχεδιασμός.
* Για να λειτουργήσει χρειάζεται μόνο 2 μπαταρίες τύπου ΑΑΑ (περιέχονται στην συσκευασία).
* Εύχρηστη και απλή στην χρήση ιδανική για ζύγισμα εμπορευμάτων μεγάλου βάρους – όγκου.
* Αξιόπιστο εργαλείο μέτρησης για ιδιώτες και επαγγελματίες.
* Ελάχιστη ζύγιση 20γρ.
* Ακρίβεια μέτρησης με απόκλιση 5g.
* Γρήγορη εμφάνιση αποτελέσματος στην μέτρηση σε ελάχιστα δευτερόλεπτα.
* Το αποτέλεσμα της μέτρησης φαίνεται στην οθόνη με έντονα και διακριτικά ψηφία.
* Η οθόνη σβήνει μετά από λίγο όταν δεν χρησιμοποιούμε την ζυγαριά για να μετρήσουμε κάποιο βάρος.",ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Επαγγελματικές ζυγαριές  θερμοκολλητικά>Πλάστιγγες  καντάρια
54457,Ψηφιακή ζυγαριά  αποσκευών - S06 - 211222,Ψηφιακή ζυγαριά  αποσκευών - S06 - 211222,in stock,new,5.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/211222.jpg,OEM,No Color,1.0,"Χαρακτηριστικά:
Οθόνη LCD, Μέγιστη χωρητικότητα 50 kg.
Λειτουργία κράτησης δεδομένων 10s για εύκολη ανάγνωση δεδομένων.
Μετατροπή 4 μονάδων στάθμισης: kg, g, lb, oz όταν είναι ενεργοποιημένη.
Βολική λειτουργία απόσβεσης.
Μέγεθος τσέπης, φορητό για ζύγιση αποσκευών, ψώνια, ψάρεμα και άλλη οικιακή χρήση.

Προδιαγραφές:
Υλικό: ABS + Electroplate Craft
Τύπος: Ζώνη
Ικανότητα ζύγισης: 50KG
Τροφοδοσία: 1 * Μπαταρία CR2032 (Δεν περιλαμβάνεται)
Μέγεθος προϊόντος (L * W * H): 14.8 * 3 * 10.8cm.",ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Επαγγελματικές ζυγαριές  θερμοκολλητικά>Πλάστιγγες  καντάρια
54460,Ψηφιακή ζυγαριά  αποσκευών  - 211221,Ψηφιακή ζυγαριά  αποσκευών  - 211221,in stock,new,4.5 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/211221.jpg,OEM,No Color,1.0,"Ψηφιακή ζυγαριά αποσκευών BRN-0075, έως 40kg, μαύρη Ηλεκτρονική ζυγαριά από την Bruno, ιδανική για το ζύγισμα αποσκευών με φορτίο έως 40kg. Διαθέτει μεγάλη ευανάγνωστη οθόνη LCD, ενδείξεις για χαμηλή μπαταρία και υπερφόρτωση, αλλά και λειτουργία απόβαρου. Τροφοδοτείται από 1x CR2023 μπαταρία (συμπεριλαμβάνεται), ενώ όταν δεν χρησιμοποιείται, απενεργοποιείται αυτόματα για εξοικονόμηση ενέργειας. Οι ζυγαριές της Bruno κατασκευάζονται από ποιοτικά υλικά, με σύγχρονες μεθόδους και σύμφωνα με αυστηρά κριτήρια ποιοτικού ελέγχου, διασφαλίζοντας απρόσκοπτη, αξιόπιστη και μακροχρόνια λειτουργία. -2 μονάδες μέτρησης: kg, lb -δυνατότητα ζυγίσματος έως 40kg -μεγάλη και ευανάγνωστη οθόνη LCD -ένδειξη χαμηλής μπαταρίας -ένδειξη υπερφόρτωσης -λειτουργία απόβαρου -αυτόματη απενεργοποίηση Τεχνικά χαρακτηριστικά Μονάδα μέτρησης: kg/lb Φορτίο: Έως 40kg Ακρίβεια: 0.1kg Οθόνη LCD: 24 x 20mm Τροφοδοσία: 1x CR2023 μπαταρία (συμπεριλαμβάνεται)",ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Επαγγελματικές ζυγαριές  θερμοκολλητικά>Πλάστιγγες  καντάρια
54463,Ψηφιακή ζυγαριά  αποσκευών - A09 - 211220,Ψηφιακή ζυγαριά  αποσκευών - A09 - 211220,in stock,new,4.5 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/211220.png,OEM,No Color,1.0,"Χαρακτηριστικά:

    Μέγιστο όριο βάρους μέτρησης: 50 κιλά
    Ελάχιστο όριο βάρους μέτρησης 10gr
    Διαβάθμιση ζύγισης ανά 10 γραμ.
    Τροφοδοσία: 2 μπαταρίες τύπου ΑΑΑ
    Εργονομικός σχεδιασμός
    Λειτουργία απόβαρου
    Αυτόματο σβήσιμο της οθόνης LED
    Υλικά κατασκευής: ABS πλαστικό και ατσάλι
    Ακρίβεια μέτρησης, εγγύηση σε κάθε μέτρηση, αποτελεσματικότητα με ακρίβεια σε κάθε ζύγισμα
    Το αποτέλεσμα της μέτρησης φαίνεται στην οθόνη με έντονο και διακριτικό φωτισμό LED
    Εύκολη στην μεταφορά
    Διαστάσεις: 12 x 8,3 x 2,5 εκ.",ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Επαγγελματικές ζυγαριές  θερμοκολλητικά>Πλάστιγγες  καντάρια
