id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
37132,Επαγγελματική εργαλειοθήκη - Βαλίτ�,"Επαγγελματική εργαλειοθήκη - Βαλίτσα - 16"""" - Finder - 194204",in stock,new,25.2 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/194204_1511.jpg,OEM,No Color,6.5,"<p>Επαγγελματική εργαλειοθήκη Finder 16"""". Ανθεκτική κατασκευή πλαστικού και αλουμινίου, με κλιπς ασφαλείας.</p>",ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Εργαλειοθήκες
37133,Επαγγελματική εργαλειοθήκη - Βαλίτ�,"Επαγγελματική εργαλειοθήκη - Βαλίτσα - 19"""" - Finder - 194205",in stock,new,30.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/194204_1511.jpg,OEM,No Color,8.5,"<p>Επαγγελματική εργαλειοθήκη Finder 19"""". <br />Ανθεκτική κατασκευή πλαστικού και αλουμινίου, με κλιπς ασφαλείας.<br /><strong>Διαστάσεις:</strong><br />Μήκος: 45.5cm<br />Ύψος: 20cm<br />Πλάτος: 24.5cm</p>",ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Εργαλειοθήκες
37287,Επαγγελματική εργαλειοθήκη - Μεταλ�,Επαγγελματική εργαλειοθήκη - Μεταλλική - 21'' - 530mm - Finder - 194136,in stock,new,36 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2904_194133-1.jpg,OEM,No Color,10,"<p>Σιδερένια εργαλειοθήκη 530mm, βάρους 3.2kg.</p>",ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Εργαλειοθήκες
37288,Επαγγελματική εργαλειοθήκη - Μεταλ�,Επαγγελματική εργαλειοθήκη - Μεταλλική - 18'' - 420mm - Finder - 194133,in stock,new,32.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2904_194133-1.jpg,OEM,No Color,10,"<div class=""summary""><div class=""description bullets""><p>Εργαλειοθήκη μεταλλική FINDER</p><ul><li>Μέγεθος: 42 cm / 18”</li><li>Υλικό: Σίδερο</li><li>Βάρος: 2.5kg</li></ul></div></div>",ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Εργαλειοθήκες
39264,Επαγγελματική τσάντα-εργαλειοθήκη ,"Επαγγελματική τσάντα-εργαλειοθήκη - 11"" - Finder - 194147",in stock,new,13.5 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2912_194147.jpg,OEM,No Color,2.0,"<p>Επαγγελματική τσάντα-εργαλειοθήκη της Finder με πολλαπλές θήκες και έξτρα λουρί ώμου. Υφασμάτινη από υλικό υψηλής αντοχής 600D oxford.<br />Μέγεθος: 11""""/28cm</p>",ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Εργαλειοθήκες
39493,Επαγγελματική εργαλειοθήκη - 46cm – Fi,Επαγγελματική εργαλειοθήκη - 46cm – Finder – 194140,in stock,new,36 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2912_194140.jpg,OEM,No Color,2.0,<p>Υφασμάτινη εργαλειοθήκη</p><p>Μέγεθος: 18″»</p><p>Κατασκευασμένη από 600D oxford</p>,ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Εργαλειοθήκες
39563,Εργαλειοθήκη πλαστική – 13'' – Finder - 1,Εργαλειοθήκη πλαστική – 13'' – Finder - 194123,in stock,new,7.2 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2904_194123.jpg,OEM,No Color,6.0,<p>Πλαστική εργαλειοθήκη Finder μεγέθους <strong>13''-33cm</strong> με πολλαπλές θήκες αποθήκευσης και διαχωριστικά. <br />Διαθέτει κλιπς για κλείσιμο ασφαλείας και χειρολαβή.</p>,ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Εργαλειοθήκες
39564,Εργαλειοθήκη πλαστική – 22'' – Finder - 1,Εργαλειοθήκη πλαστική – 22'' – Finder - 194130,in stock,new,28.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2904_194123.jpg,OEM,No Color,6.5,<p>Πλαστική εργαλειοθήκη Finder μεγέθους <strong>22''-55cm</strong> με πολλαπλές θήκες αποθήκευσης και διαχωριστικά. <br />Διαθέτει κλιπς για κλείσιμο ασφαλείας και χειρολαβή.</p><ul><li>Διαστάσεις συσκευασίας: 58 x 30 cm</li></ul>,ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Εργαλειοθήκες
39580,Εργαλειοθήκη πλαστική – 19''- Finder – 19,Εργαλειοθήκη πλαστική – 19''- Finder – 194128,in stock,new,21.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2904_194123.jpg,OEM,No Color,6.5,<p>Πλαστική εργαλειοθήκη Finder μεγέθους <strong>19''-48cm</strong> με πολλαπλές θήκες αποθήκευσης και διαχωριστικά. <br />Διαθέτει κλιπς για κλείσιμο ασφαλείας και χειρολαβή.</p>,ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Εργαλειοθήκες
39592,Εργαλειοθήκη πλαστική – 16'' - Finder – 1,Εργαλειοθήκη πλαστική – 16'' - Finder – 194125,in stock,new,16.2 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2904_194123.jpg,OEM,No Color,6.5,<p>Πλαστική εργαλειοθήκη Finder μεγέθους <strong>16''-40.5cm</strong> με πολλαπλές θήκες αποθήκευσης και διαχωριστικά. <br />Διαθέτει κλιπς για κλείσιμο ασφαλείας και χειρολαβή.</p>,ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Εργαλειοθήκες
