id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
35195,Ηλεκτρική πλάνη - EPW160 - 750W - Worksite - 611406,Ηλεκτρική πλάνη - EPW160 - 750W - Worksite - 611406,in stock,new,50.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/EPB006.png,OEM,No Color,8.0,<ul><li>Πλάτος τομής 82 mm</li><li>Αριθμός στροφών χωρίς φορτίο 17.000 rpm</li><li>Τάση 230 V</li><li>3.61 kg</li><li>Ισχύς σύνδεσης 750 W</li><li>Βάθος 2 mm</li><li>Διαστάσεις συσκευασίας: 32 x 19 cm</li><li> </li></ul><p>Πλάνη ξύλου με χαμηλό βάρος που την καθιστά κατάλληλη στην χρήση με το ένα χέρι. Διαθέτει επιλογέα ρύθμισης βάθους στην πρόσθια λαβή.</p>,ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Ηλεκτρικά εργαλεία Worksite
36074,Φαλτσοπρίονο ξύλου - JS236 - Worksite - 610257,Φαλτσοπρίονο ξύλου - JS236 - Worksite - 610257,in stock,new,171 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/15786468123796.png,OEM,No Color,25.0,"<table class=""table table-bordered"" style=""height: 692px;"" width=""373""><tbody><tr class=""firstRow""><td><p><strong>Rated Input</strong></p></td><td><p>1800W</p></td></tr><tr><td><p><strong>No-load Speed</strong></p></td><td><p>6000/min</p></td></tr><tr><td><p><strong>Blade Size</strong></p></td><td><p>255mm x 40T</p></td></tr><tr><td><p><strong>Arbor Size</strong></p></td><td><p>25mm</p></td></tr><tr><td><p><strong>Miter Angle</strong></p></td><td><p>45° Left & Right</p></td></tr><tr><td><p><strong>Max Cutting At 0°</strong></p></td><td><p>0°   70 x 140mm</p></td></tr><tr><td><strong>Max Cutting At 45°</strong></td><td><p>45° 70 x 90mm</p></td></tr><tr><td colspan=""1"" rowspan=""1""><strong>Weight</strong></td><td colspan=""1"" rowspan=""1"">13.34kg(1pc)</td></tr><tr><td colspan=""1"" rowspan=""1""><p><strong>Frequency</strong></p></td><td colspan=""1"" rowspan=""1""><p>50/60Hz</p></td></tr><tr><td colspan=""1"" rowspan=""1""><p><strong>Rated Voltage</strong></p></td><td colspan=""1"" rowspan=""1""><p>220/230V</p></td></tr><tr><td colspan=""1"" rowspan=""1""><p><strong>Application</strong></p></td><td colspan=""1"" rowspan=""1""><p>Wood Saw</p></td></tr><tr><td colspan=""1"" rowspan=""1""><p><strong>Saw Type</strong></p></td><td colspan=""1"" rowspan=""1""><p>Miter Saw</p></td></tr><tr><td colspan=""1"" rowspan=""1""><strong>Power Source</strong></td><td colspan=""1"" rowspan=""1""><p>Electricity</p></td></tr></tbody></table><ul><li>Διαστάσεις συσκευασίας: 55 x 41 cm</li></ul>",ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Ηλεκτρικά εργαλεία Worksite
36075,Ηλεκτρικό τρυπάνι - 850W - EID404 - Worksite - 61,Ηλεκτρικό τρυπάνι - 850W - EID404 - Worksite - 610959,in stock,new,46.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/15633099066454409.jpg,OEM,No Color,8.0,"<table class=""table table-bordered"" data-sort=""sortDisabled""><tbody><tr class=""firstRow""><td><strong>Weight </strong></td><td>19.5KG（5pcs）</td></tr><tr><td><strong>Rated Voltage</strong></td><td>220/230V</td></tr><tr><td><strong>Rated Input Power</strong></td><td>850W</td></tr><tr><td><strong>No-Load Speed</strong></td><td>0-3000RPM</td></tr><tr><td colspan=""1"" rowspan=""3""><strong>Max. Drilling Diameter</strong></td><td>13mm for Steel</td></tr><tr><td>13mm for Masonry</td></tr><tr><td>25mm for Wood</td></tr><tr><td colspan=""1"" rowspan=""1""><strong>Frequency<br /></strong></td><td colspan=""1"" rowspan=""1"">50/60Hz</td></tr><tr><td colspan=""1"" rowspan=""1""><strong>Application</strong></td><td colspan=""1"" rowspan=""1""><p>Professional</p></td></tr><tr><td colspan=""1"" rowspan=""1""><strong>Chuck Size </strong></td><td colspan=""1"" rowspan=""1"">13mm（1/2""""）</td></tr></tbody></table><ul><li>Διαστάσεις συσκευασίας: 36 x 25 cm</li></ul>",ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Ηλεκτρικά εργαλεία Worksite
36278,Κρουστικό δράπανο - Hand Drill - 10mm - 450W - Wo,Κρουστικό δράπανο - Hand Drill - 10mm - 450W - Worksite - 611055,in stock,new,27 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/3007_611055.jpg,OEM,No Color,2.0,"<p><span class=""tlid-translation translation"" lang=""el""><span class="""" title="""">Ισχύς: 450Watt</span><br /><span class="""" title="""">Ταχύτητα χωρίς φορτίο: 0 ~ 3300 / λεπτό</span><br /><br /><span class="""" title="""">Μέγεθος τσοκ: 10mm</span><br /><span class="""" title="""">Ικανότητα εργασίας: 10mm για χάλυβα, </span><span class="""" title="""">25mm για ξύλο</span></span></p>",ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Ηλεκτρικά εργαλεία Worksite
36279,Δισκοπρίονο χειρός - CSW173 - 185mm - 1400W - Wo,Δισκοπρίονο χειρός - CSW173 - 185mm - 1400W - Worksite - 611543,in stock,new,72 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/15935902296438526.jpg,OEM,No Color,15.0,"<p><span class=""tlid-translation translation"" lang=""el""><span title="""">Τάση: 1400W</span><br /><span title="""">3-ταχύτητες 5300RPM</span><br /><span title="""">Συχνότητα: 63mm (90 °)</span><br /><span class="""" title="""">Λοξή γωνία κοπής 44mm (0-45 °)</span><br /><span class="""" title="""">Dia της λεπίδας 185mm (7-1 / 4 "")</span><br /><br /><span class="""" title="""">■ Η ρύθμιση λοξής κοπής επιτρέπει ακριβείς περικοπές γωνίας 0 ~ 45 °.</span><br /><br /><span class="""" title="""">■ Το κουμπί κλειδώματος αποτρέπει την τυχαία εκκίνηση.</span><br /><br /><span class="""" title="""">■ Η βαθμονομημένη ρύθμιση βάθους επιτρέπει ακριβείς περικοπές.</span></span></p><ul><li>Διαστάσεις συσκευασίας: 31 x 19 cm</li></ul>",ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Ηλεκτρικά εργαλεία Worksite
36561,Έκκεντρο τριβείο 300W – OSD121 - Worksite - 6101,Έκκεντρο τριβείο 300W – OSD121 - Worksite - 610188,in stock,new,50.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2904_610188.jpg,OEM,No Color,8.0,"<p>● Βάρος: 1.8kg<br />● Max. Βάθος κοπής: 6 χιλιοστά για χάλυβα, 55 χιλιοστά για Ξύλο<br />● Max. Κοπή Πλάτος: 2 χιλιοστά<br />● Συχνότητα: 50 / 60Hz<br />● Αριθμός στροφών χωρίς φορτίο: 500-3000SPM<br />● Ονομαστική ισχύς εισόδου: 300W<br />● Ονομαστική τάση: 120 / 230V<br />● Εφαρμογή: Metal Saw<br />● Πριόνι Τύπος: Jig Saw</p><ul><li>Διαστάσεις συσκευασίας: 31 x 18 cm</li></ul><p><br />Χαρακτηριστικά</p><p>● φάλτσο περικοπές έως 45 ° δεξιά ή αριστερά<br />● Μεταβλητή ταχύτητα για βέλτιστο έλεγχο<br />● Δέχεται λεπίδες στέλεχος U τύπου</p>",ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Ηλεκτρικά εργαλεία Worksite
36708,Γωνιακός τροχός - AG-590 - Worksite - 611413,Γωνιακός τροχός - AG-590 - Worksite - 611413,in stock,new,45 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/1106_611413.jpg,OEM,No Color,8.0,"<table class=""table table-bordered""><tbody><tr class=""firstRow""><td><p><strong>Βάρος</strong></p></td><td><p> 12.5KG(2pcs)</p></td></tr><tr><td><p><strong>Disc(Wheel) Type</strong></p></td><td><p> Grinding Disc</p></td></tr><tr><td><p><strong>Συχνότητα</strong></p></td><td><p> 50/60Hz</p></td></tr><tr><td><p><strong>No-Load Speed</strong></p></td><td><p> 6500RPM</p></td></tr><tr><td><p><strong>Τάση</strong></p></td><td><p> 220V-230V</p></td></tr><tr><td><p><strong>Διάμετρος δίσκου<br /></strong></p></td><td><p> 125mm</p></td></tr><tr><td><p><strong>Ισχύς</strong></p></td><td><p> 900W</p></td></tr><tr><td><p><strong>Variable Speed</strong></p></td><td><p> No</p></td></tr><tr><td><p><strong>Type</strong></p></td><td><p> Angle Grinder</p></td></tr><tr><td><p><strong>Τροφοδοσία</strong></p></td><td><p> Ρεύμα</p></td></tr></tbody></table><ul><li>Διαστάσεις συσκευασίας: 33 x 12 cm</li></ul>",ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Ηλεκτρικά εργαλεία Worksite
36825,Κρουστικό δράπανο - ERH185 - 1500W - Worksite - 6,Κρουστικό δράπανο - ERH185 - 1500W - Worksite - 672254,in stock,new,171 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/0308_672254.jpg,OEM,No Color,20.0,"<p>Κρουστικό σκαπτικό δράπανο 1500W, 36MM,  Worksite ERH185 με εργονομική χειρολαβή.</p><p>Χαρακτηριστικά:</p><ul><li>Ονομαστική τάση: 120 / 230V</li><li>Ονομαστική ισχύς εισόδου: 1500W</li><li>Ταχύτητα χωρίς φορτίο: 750SPM</li><li>Συχνότητα: 50 / 60Hz</li><li>Τύπος σφύρας: Περιστροφικό σφυρί</li><li>Αριθμός στροφών χωρίς φορτίο: 750 / min.</li><li>Διαστάσεις συσκευασίας: 43 x 36 cm</li></ul><p>Μέγ. Διάμετρος διάτρησης:</p><ol><li>    13mm για χάλυβα</li><li>    26mm για σκυρόδεμα</li><li>    40 mm για ξύλo</li><li> </li></ol>",ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Ηλεκτρικά εργαλεία Worksite
36826,Παλμικό τριβείο - FSD146 - 200W - Worksite - 610171,Παλμικό τριβείο - FSD146 - 200W - Worksite - 610171,in stock,new,45 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/1308_610171.jpg,OEM,No Color,8.0,"<ul><li>Ηλεκτρικό τριβείο χειρός με ισχύ 200W και ανθεκτική βάση, κατάλληλο για λείανση ξύλου, πλαστικού, σιδηρούχων και μη σιδηρούχων μετάλλων.</li><li>Μπορεί επίσης να χρησιμοποιηθεί για την αφαίρεση των παλαιών χρωμάτων και λείανση.</li><li>Βασίζεται σε ειδική κατασκευή που μειώνει τους κραδασμούς και αυξάνει την άνεση κατά την χρήση.</li><li>Διαθέτει αντάπτορα για σύνδεση και με άλλα εργαλεία.<p>Τεχνικά χαρακτηριστικά:</p><p>● Βάρος: 8.36kg(5pcs)<br />● Διαστάσεις βάσης: 92x187mm<br />● Ταχύτητα χωρίς φορτίο: 11000OPM<br />● Συχνότητα: 50/60Hz<br />● Ονομαστική ισχύς εισόδου: 200W<br />● Ονομαστική τάση: 120/230V<br />● Μεταβλητή ταχύτητα: Όχι</p><ul><li>Διαστάσεις συσκευασίας: 30 x 18 cm</li></ul></li><li> </li></ul>",ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Ηλεκτρικά εργαλεία Worksite
38052,Δίδυμος τροχός λείανσης - BG110 - Worksite -,Δίδυμος τροχός λείανσης - BG110 - Worksite - 610287,in stock,new,81 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/610287.jpg,OEM,No Color,15.0,"<table><tbody><tr><td><p><strong>Weight</strong></p></td><td><p> 9.7KG(1pc)</p></td></tr><tr><td><p><strong>Disc(Wheel) Type</strong></p></td><td><p> Grinding Disc</p></td></tr><tr><td><p><strong>Frequency</strong></p></td><td><p> 50/60Hz</p></td></tr><tr><td><p><strong>No-Load Speed</strong></p></td><td><p> 2840RPM</p></td></tr><tr><td><p><strong>Rated Voltage</strong></p></td><td><p> 220V-230V</p></td></tr><tr><td><p><strong>Disc Diameter</strong></p></td><td><p> 200mm*20mm</p></td></tr><tr><td><p><strong>Rated Input Power</strong></p></td><td><p> 300W</p></td></tr><tr><td><p><strong>Variable Speed</strong></p></td><td><p> No</p></td></tr><tr><td><strong>Power Source</strong></td><td><p> Electricity</p></td></tr><tr><td colspan=""1"" rowspan=""1""><strong>Arbor</strong></td><td colspan=""1"" rowspan=""1""> 16mm</td></tr><tr><td colspan=""1"" rowspan=""1""><strong>Wheel Grit</strong></td><td colspan=""1"" rowspan=""1""> 36 & 80</td></tr></tbody></table><p>Διαστάσεις συσκευασίας: 41 x 28 cm</p>",ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Ηλεκτρικά εργαλεία Worksite
38053,Ηλεκτρικός φυσητήρας χειρός - EBR129 - W,Ηλεκτρικός φυσητήρας χειρός - EBR129 - Worksite - 611284,in stock,new,30.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2904_611284-1.jpg,OEM,No Color,8.0,"<p>Ισχύς: 600w<br />Λειτουργία ρεύματος, με καλώδιο.</p><ul><li>Διαστάσεις συσκευασίας: 26 x 18 cm</li></ul>",ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Ηλεκτρικά εργαλεία Worksite
38108,Γωνιακός τροχός - AG419 - 611697 - Worksite,Γωνιακός τροχός - AG419 - 611697 - Worksite,in stock,new,108 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/1106_611697-1.jpg,OEM,No Color,8.0,<table><tbody><tr><td><p><strong>Weight</strong></p></td><td><p> 12.5KG(2pcs)</p></td></tr><tr><td><p><strong>Disc(Wheel) Type</strong></p></td><td><p> Grinding Disc</p></td></tr><tr><td><p><strong>Frequency</strong></p></td><td><p> 50/60Hz</p></td></tr><tr><td><p><strong>No-Load Speed</strong></p></td><td><p> 6500RPM</p></td></tr><tr><td><p><strong>Rated Voltage</strong></p></td><td><p> 220V-230V</p></td></tr><tr><td><p><strong>Disc Diameter</strong></p></td><td><p> 230mm</p></td></tr><tr><td><p><strong>Rated Input Power</strong></p></td><td><p> 2000W</p></td></tr><tr><td><p><strong>Variable Speed</strong></p></td><td><p> No</p></td></tr><tr><td><p><strong>Power Source</strong></p></td><td><p> Electricity</p></td></tr></tbody></table><ul><li>Διαστάσεις συσκευασίας: 55 x 17 cm</li></ul>,ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Ηλεκτρικά εργαλεία Worksite
38664,Πιστόλι θερμού αέρα - HTG145 - Worksite - 610201,Πιστόλι θερμού αέρα - HTG145 - Worksite - 610201,in stock,new,27 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/610201.jpg,OEM,No Color,2.0,"<p>Ηλεκτρικό πιστόλι θερμού αέρα από τον κατασκευαστή Worksite με ισχύ 2000W. Χρησιμοποιείται σε διάφορες εργασίες όπως αφαίρεση μπογιάς, βερνικιού και κολλητικών ουσιών, διαμόρφωση, συγκόλληση και συρρίκνωση υλικών με καυτό αέρα. Έχει μεταβαλλόμενη θερμοκρασία με δυνατότητα προσαρμογής έως 500°C και δυνατότητα ρύθμισης ροής του αέρα, ώστε να τις ρυθμίζετε ανάλογα με την εργασία που έχετε να κάνετε.</p><div class=""prod-descr""><p>Χαρακτηριστικά:<br />● Air Volume: 280L/480L/min<br />● Rated Output Power: 2000W<br />● Rated Voltage: 120/240V<br />● AIR TEMPERATURE:300/500℃<br />● No-Load Speed: 500-3000RPM</p></div>",ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Ηλεκτρικά εργαλεία Worksite
