id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
35250,Κατσαβίδι φωτιζόμενο με LED - BL-061,Κατσαβίδι φωτιζόμενο με LED - BL-061,in stock,new,2.7 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/HT1oVYpFJ8XXXagOFbXW-500x500-1.jpg,OEM,No Color,0.2,"LED PenLight & Κατσαβίδι 6 τεμ. Bailong

Φακός LED τσέπης με ειδική μύτη υποδοχή κατσαβιδιού που ανάβει με λευκό LED.
Με πλήκτρο ON/OFF και κλιπ τσέπης / ζώνης
Στο εσωτερικό υπάρχουν 6 μύτες κατσαβιδιού

Λειτουργεί με 3 μπαταρίες LR44
Λάμπα 1 Watt
Διαστάσεις 15 mm X 130 mm
Κατασκευή Aluminum Alloy",ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Κατσαβίδια  λίμες
35306,Κατσαβίδι με εργονομική λαβή - Finder - ,Κατσαβίδι με εργονομική λαβή - Finder - Σταυροκατσάβιδο - 193001,in stock,new,0.9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/0004838_193004-finder-screwdriver575-1216_450.jpeg,OEM,No Color,0.2,"<p>Κατσαβίδι με σταυρό κεφαλή (+), φτιαγμένο από Cr-V ατσάλι και λαβή τύπου PP+TPR.</p><p>Μέγεθος: 3*75mm</p>",ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Κατσαβίδια  λίμες
35397,Δοκιμαστικό κατσαβίδι - 100mm - Finder - 1948,Δοκιμαστικό κατσαβίδι - 100mm - Finder - 194843,in stock,new,2.16 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/κατσαβίδι-τάσης-finder-194843.jpg,OEM,No Color,0.2,"<p>Δοκιμαστικό κατσαβίδι τάσης, με λαβή τύπου PP και κεφαλή από A3 ατσάλι.</p><p>6*100mm</p>",ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Κατσαβίδια  λίμες
35491,Κατσαβίδι - 8Χ200mm - Finder - 193029,Κατσαβίδι - 8Χ200mm - Finder - 193029,in stock,new,2.16 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/κατσαβίδι-8χ200mm-finder-193029.jpg,OEM,No Color,0.2,"<p>Κατσαβίδι με σταυρό κεφαλή (+), φτιαγμένο από Cr-V ατσάλι και λαβή τύπου PP+TPR.</p><p>Μέγεθος: 8*200mm</p>",ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Κατσαβίδια  λίμες
35517,Κατσαβίδι - Finder - 193091  - 4 in 1,Κατσαβίδι - Finder - 193091  - 4 in 1,in stock,new,4.5 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/κατσαβίδι-finder-193091-4in1.jpg,OEM,No Color,0.2,"<p>Κατσαβίδι 4 σε 1, με εργονομική λαβή.</p><p>Περιέχει:</p><p>- 6.3*65mm (5*PH1) +</p><p>- 8*75mm (6*PH2)+</p><p>1 λαβή</p>",ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Κατσαβίδια  λίμες
35556,Δοκιμαστικό κατσαβίδι - 190mm - 194845,Δοκιμαστικό κατσαβίδι - 190mm - 194845,in stock,new,0.9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/15762433282712834.jpg,OEM,No Color,0.2,"<p>Δοκιμαστικό κατσαβίδι, με μετρητή τάσης, 190mm.</p>",ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Κατσαβίδια  λίμες
35586,Σετ κατσαβίδι με 23 αξεσουάρ - Finder - 193,Σετ κατσαβίδι με 23 αξεσουάρ - Finder - 193225,in stock,new,6.3 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/15762375655567968.jpg,OEM,No Color,3.5,"<p>Σετ 23 κεφαλών κατσαβιδιού.</p><p>Περιέχει:</p><p>1pc screwdriver</p><p>1pc bits holder</p><p>21pc CRV bits (4.0*28mm):</p><p>Phillips: #000, #00, #0, #1, #2</p><p>Pozi: #00, #0, #1</p><p>Slotted: 1mm, 2mm, 3mm</p><p>Hex: 0.9mm, 1.3mm, 1.5mm, 2mm, 2.5mm, 3mm</p><p>Torx: T6, T7, T8, T10</p>",ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Κατσαβίδια  λίμες
36250,Κατσαβίδι 14 σε 1 - Finder - 193234,Κατσαβίδι 14 σε 1 - Finder - 193234,in stock,new,6.3 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2207_193234.jpg,OEM,No Color,1.1,"<p>Κατσαβίδι 14 σε 1</p><p>Με λαβή φτιαγμένη από υλικό PP+TPR, Cr-V Bits</p>",ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Κατσαβίδια  λίμες
37117,"Τριγωνική λίμα - 8"""" - Finder - 196088","Τριγωνική λίμα - 8"""" - Finder - 196088",in stock,new,3.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/16344784155211782.jpg,OEM,No Color,0.2,"<p>Τριγωνική λίμα μεγέθους 8"""" - 20cm, απόλυτα ανθεκτική κατάλληλη για επαγγελματική χρήση.</p>",ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Κατσαβίδια  λίμες
37149,"Στρογγυλή λίμα - 8"""" - Finder - 196090","Στρογγυλή λίμα - 8"""" - Finder - 196090",in stock,new,3.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/196090_1511.jpg,OEM,No Color,0.3,"<p>Κυλινδρική λίμα μεγέθους 8"""" - 20cm, απόλυτα ανθεκτική κατάλληλη για επαγγελματική χρήση.</p>",ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Κατσαβίδια  λίμες
