id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
35289,"Δίσκος κοπής ξύλου - TCT - 7"" - Φ180 - 40T - Fin","Δίσκος κοπής ξύλου - TCT - 7"" - Φ180 - 40T - Finder - 195572",in stock,new,9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/tct-saw-blade-500x500-1.jpg,OEM,No Color,0.2,<p>7''/180*40T</p>,ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Κοπίδια - Πριόνια - Δίσκοι
35292,"Δίσκος κοπής ξύλου - TCT - 4"" - Φ110 - 40T - Fin","Δίσκος κοπής ξύλου - TCT - 4"" - Φ110 - 40T - Finder - 195569",in stock,new,4.5 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/tct-saw-blade-500x500-1.jpg,OEM,No Color,0.1,<p>4''/110*40T</p>,ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Κοπίδια - Πριόνια - Δίσκοι
35385,Πριονολεπίδα - Finder - Hacksaw - Large - 191574,Πριονολεπίδα - Finder - Hacksaw - Large - 191574,in stock,new,3.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/πριονολεπίδα-finder-hacksaw-large-191574.jpg,OEM,No Color,0.2,<p>Πριονολεπίδα 10τμχ μεγέθους 12''*24T φτιαγμένη από υλικό T15</p>,ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Κοπίδια - Πριόνια - Δίσκοι
35386,Πριόνι χειρός - Finder - 191672,Πριόνι χειρός - Finder - 191672,in stock,new,4.5 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/15554730819429765.jpg,OEM,No Color,0.2,<p>Πριόνι χειρός με 65Mn λεπίδα πάχους 0.9mm και λαβή τύπου TPR+ABS. Διαθέτει προστατευτικό λεπίδας.</p><p>Μήκος λεπίδας: 300mm/12''</p><p>Συνολικό μήκος: 450mm</p><p>Καθαρό βάρος: 155g</p>,ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Κοπίδια - Πριόνια - Δίσκοι
35528,Ψαλίδι λαμαρίνας - 10' - Finder - 191872,Ψαλίδι λαμαρίνας - 10' - Finder - 191872,in stock,new,7.2 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/ψαλίδι-10-finder-191872.jpg,OEM,No Color,0.2,<p>Μέγεθος: 250mm/10''<br />Hardness: 60-63HRC</p><p>Φτιαγμένο από ανοξείδωτο ατσάλι</p><p>Ικανότητα κοπής: 0.5mm</p>,ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Κοπίδια - Πριόνια - Δίσκοι
35529,Ψαλίδι λαμαρίνας - 8' - Finder - 191871,Ψαλίδι λαμαρίνας - 8' - Finder - 191871,in stock,new,6.3 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/ψαλίδι-8-finder-191871.jpg,OEM,No Color,0.2,<p>Μέγεθος: 200mm/8''<br />Hardness: 60-63HRC</p><p>Φτιαγμένο από ανοξείδωτο ατσάλι</p><p>Ικανότητα κοπής: 0.5mm.</p>,ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Κοπίδια - Πριόνια - Δίσκοι
35536,Πριόνι χειρός - 20' - Finder - 191591,Πριόνι χειρός - 20' - Finder - 191591,in stock,new,6.3 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/πριόνι-χειρός-20-finder-191591.jpg,OEM,No Color,0.2,<p>Πριόνι χειρός με λεπίδα φτιαγμένη από 65Mn και πάχους 0.9mm.</p><p>Λαβή τύπου ABS+TPR</p><p>Μέγεθος: 500mm/20''</p>,ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Κοπίδια - Πριόνια - Δίσκοι
35537,Δίσκος κοπής ξύλου - TCT - 9'' - Φ235 - 80T - Fi,Δίσκος κοπής ξύλου - TCT - 9'' - Φ235 - 80T - Finder - 195579,in stock,new,16.2 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/λεπίδα-finder-9mm-235-80-195579.jpg,OEM,No Color,0.2,<p>9''/235*80T</p>,ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Κοπίδια - Πριόνια - Δίσκοι
35538,Δίσκος κοπής ξύλου - TCT - 9'' - Φ235 - 60T - Fi,Δίσκος κοπής ξύλου - TCT - 9'' - Φ235 - 60T - Finder - 195578,in stock,new,14.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/λεπίδα-finder-9mm-235-60-195578.jpg,OEM,No Color,0.2,<p>9''/235*60T</p>,ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Κοπίδια - Πριόνια - Δίσκοι
35539,Δίσκος κοπής ξύλου - TCT - 6'' - Φ150 - 40T - Fi,Δίσκος κοπής ξύλου - TCT - 6'' - Φ150 - 40T - Finder - 195570,in stock,new,7.2 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/λεπίδα-finder-6mm-150-40.jpg,OEM,No Color,0.2,<p>6''/150*40T</p>,ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Κοπίδια - Πριόνια - Δίσκοι
35540,Δίσκος κοπής μετάλλου - Finder - 7mm - 195644,Δίσκος κοπής μετάλλου - Finder - 7mm - 195644,in stock,new,1.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/λεπίδα-finder-7mm-195644.jpg,OEM,No Color,0.2,<p>7''/180*6*22.2</p>,ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Κοπίδια - Πριόνια - Δίσκοι
35541,Δίσκος κοπής - Finder - 7mm - T42 - 195662,Δίσκος κοπής - Finder - 7mm - T42 - 195662,in stock,new,1.44 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/λεπίδα-finder-7mm-t42-195662.jpg,OEM,No Color,0.2,<p>7''/180*3*22.2</p>,ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Κοπίδια - Πριόνια - Δίσκοι
35542,Δίσκος κοπής - Finder - 4.5mm - T42 - 195653,Δίσκος κοπής - Finder - 4.5mm - T42 - 195653,in stock,new,0.72 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/λεπίδα-finder-45mm-t42-195653.jpg,OEM,No Color,0.2,<p>4.5''/115*3*22.2</p>,ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Κοπίδια - Πριόνια - Δίσκοι
35543,Δίσκος κοπής - Finder - 7mm - 195546,Δίσκος κοπής - Finder - 7mm - 195546,in stock,new,6.3 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/λεπίδα-finder-7mm-195546.jpg,OEM,No Color,0.2,"<p>Φτιαγμένο από 65mn, diamont percent: 22%, blade height: 7.5mm, cutting lenght: &gt;130m</p>",ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Κοπίδια - Πριόνια - Δίσκοι
35544,Διαμαντόδισκος ξηράς κοπής - Finder - 4.5,Διαμαντόδισκος ξηράς κοπής - Finder - 4.5mm - 195544,in stock,new,3.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/λεπίδα-finder-45mm-195544.jpg,OEM,No Color,0.2,"<p>Φτιαγμένο από 65mn, diamont percent: 22%, blade height: 7.5mm, cutting lenght: &gt;100m</p>",ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Κοπίδια - Πριόνια - Δίσκοι
35545,Δίσκος κοπής - Finder - 7mm - 195556,Δίσκος κοπής - Finder - 7mm - 195556,in stock,new,6.3 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/λεπίδα-finder-7mm-195556.jpg,OEM,No Color,0.2,"<p>Φτιαγμένο από 65mn, diamont percent: 22%, blade height: 7.5mm, cutting lenght: &gt;140m</p>",ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Κοπίδια - Πριόνια - Δίσκοι
35546,Δίσκος κοπής - Finder - 7mm - 195561,Δίσκος κοπής - Finder - 7mm - 195561,in stock,new,7.2 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/λεπίδα-finder-7mm-195561.jpg,OEM,No Color,0.2,"<p>Φτιαγμένο από 65mn, diamont percent: 22%, blade height: 10mm, cutting lenght: &gt;160m</p>",ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Κοπίδια - Πριόνια - Δίσκοι
