id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
36095,Παιχνίδι τουριστικό βανάκι -  P55-01,Παιχνίδι τουριστικό βανάκι -  P55-01,in stock,new,10.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/010048.jpg,OEM,No Color,2.5,"<div class=""prod-descr""><p>Συναρμολογούμενο τουριστικό βανάκι.</p><p>Υπέροχο εκπαιδευτικό παιχνίδι κατασκευής και συναρμολόγησης που μαθαίνει στο παιδί τα οχήματα και την χρησιμότητά τους! Στη συσκευασία θα βρεις το όχημα σε 54 κομμάτια και ένα εργαλείο με το οποίο θα το συναρμολογήσεις. Ανακάλυψε όλα τα οχήματα της σειράς και κάνε τη συλλογή σου διασκεδάζοντας και μαθαίνοντας παράλληλα!</p><p>Πληροί όλα τα πρωτόκολλα ασφαλείας.</p><p>Κατάλληλο για παιδιά ηλικίας άνω των 6 ετών.</p></div>",ΠΑΙΧΝΙΔΙΑ>Aυτοκίνητα  πίστες
36280,Παιδικό αυτοκινητάκι - 220927,Παιδικό αυτοκινητάκι - 220927,in stock,new,7.2 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/A_220927.jpg,OEM,No Color,2.5,"<p>Παιδικό αυτοκινητάκι.</p><p>Το αυτοκινητάκι αυτό είναι ιδανικό για αγώνες σε ανώμαλο έδαφος. Είναι γρήγορο και ελίσσεται εύκολα.</p><p>Οι διαστάσεις της συσκευασίας είναι: Υ. 13cm, Π. 31cm, Φ. 10cm.</p><p>Πληροί όλα τα πρωτόκολλα ασφαλείας.</p><p>Κατάλληλο για παιδιά ηλικίας άνω των 3 ετών.</p>",ΠΑΙΧΝΙΔΙΑ>Aυτοκίνητα  πίστες
36281,Παιδικό αυτοκινητάκι - 019403,Παιδικό αυτοκινητάκι - 019403,in stock,new,3.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/A_019403.jpg,OEM,No Color,2.5,"<p>Παιδικό αυτοκινητάκι.</p><p>Το αυτοκινητάκι αυτό είναι ιδανικό για αγώνες σε ανώμαλο έδαφος. Είναι γρήγορο και ελίσσεται εύκολα.</p><p>Οι διαστάσεις της συσκευασίας είναι: Υ. 11cm, Π. 21cm, Φ. 8cm.</p><p>Πληροί όλα τα πρωτόκολλα ασφαλείας.</p><p>Κατάλληλο για παιδιά ηλικίας άνω των 3 ετών.</p>",ΠΑΙΧΝΙΔΙΑ>Aυτοκίνητα  πίστες
36285,Πίστα πόλη με αυτοκινητάκια και φιγ,Πίστα πόλη με αυτοκινητάκια και φιγούρες - 204402,in stock,new,12.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/A_204402.jpg,OEM,No Color,2.5,<p>Πίστα αυτοκινήτων σε μορφή πόλης με 4 αυτοκινητάκια και φιγούρες ανθρώπων.</p><p>Πληροί όλα τα πρωτόκολλα ασφαλείας.</p><p>Κατάλληλο για παιδιά ηλικίας άνω των 3 ετών.</p>,ΠΑΙΧΝΙΔΙΑ>Aυτοκίνητα  πίστες
36286,Πίστα πόλη με αυτοκινητάκια και φιγ,Πίστα πόλη με αυτοκινητάκια και φιγούρες - 203450,in stock,new,11.7 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/A_203450.jpg,OEM,No Color,2.5,<p>Πίστα αυτοκινήτων σε μορφή πόλης με 3 αυτοκινητάκια και φιγούρες ανθρώπων.</p><p>Πληροί όλα τα πρωτόκολλα ασφαλείας.</p><p>Κατάλληλο για παιδιά ηλικίας άνω των 3 ετών.</p>,ΠΑΙΧΝΙΔΙΑ>Aυτοκίνητα  πίστες
36318,Παιχνίδι - λούνα πάρκ - 1105 - 083168,Παιχνίδι - λούνα πάρκ - 1105 - 083168,in stock,new,8.1 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/OKT_083168.jpg,OEM,No Color,2.5,"<p>Παιχνίδι λούνα πάρκ.</p><p>Υπέροχο παιχνίδι λούνα πάρκ.  Διαθέτει 1 φιγούρα, 1 σεντούκι θησαυρού και διάφορα αξεσουάρ για να παίζεις με όλη την παρέα!</p><p>Πληροί όλα τα πρωτόκολλα ασφαλείας.</p><p>Κατάλληλο για παιδιά ηλικίας άνω των 3 ετών.</p>",ΠΑΙΧΝΙΔΙΑ>Aυτοκίνητα  πίστες
36319,Παιδικά συγκρουόμενα - 1104 - 083175,Παιδικά συγκρουόμενα - 1104 - 083175,in stock,new,6.3 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/083175.jpg,OEM,No Color,2.5,"<p>Υπέροχο παιχνίδι λούνα πάρκ με πίστα που περιστρέφεται και συγκρουόμενα αυτοκινητάκια. Διαθέτει 2 αυτοκινητάκια, φιγούρες και αξεσουαρ για να δημιουργήσεις και τον σταθμό εισιτηρίων του λούνα παρκ και να παίξεις με όλη την παρέα!</p><p>Διαστάσεις παιχνιδιού: 20 x 17 x 16cm</p><p>Διαστάσεις συσκευασίας: 24 x 19 x 9cm</p><p>Πληροί όλα τα πρωτόκολλα ασφαλείας.</p><p>Κατάλληλο για παιδιά ηλικίας άνω των 3 ετών.</p>",ΠΑΙΧΝΙΔΙΑ>Aυτοκίνητα  πίστες
36382,Παιδικό παιχνίδι ρουκέτα - S858-055A - 1548,Παιδικό παιχνίδι ρουκέτα - S858-055A - 154843,in stock,new,16.2 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/1212_154843.jpg,OEM,No Color,2.5,"<p>Ρουκέτα στρατιώτη με ηχητικά εφέ εκτόξευσης.</p><p>Οι διαστάσεις της συσκευασίας είναι: Υ. 65cm, Π. 19cm, Φ. 7.5cm.</p>",ΠΑΙΧΝΙΔΙΑ>Aυτοκίνητα  πίστες
36383,Παιδική πίστα αυτοκινήτων - 956-8 - 000014,Παιδική πίστα αυτοκινήτων - 956-8 - 000014,in stock,new,14.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/000014.jpeg,OEM,No Color,2.5,"<div class=""prod-descr""><p>Παίξε με τους φίλους σου και τα αυτοκινητάκια που διαθέτει αυτή η πίστα, ανεβείτε και παρκάρετε τα οχήματά σας! Στη συσκευασία θα βρεις πολλά αξεσουάρ για να την εξοπλίσεις.</p><p>Περιέχονται συνολικά 29 τεμάχια.</p><p>Διαστάσεις συσκευασίας: 55.8 x 30.3 x 7.7cm</p><p>Πληροί όλα τα πρωτόκολλα ασφαλείας.</p><p>Κατάλληλο για παιδιά ηλικίας άνω των 3 ετών.</p></div>",ΠΑΙΧΝΙΔΙΑ>Aυτοκίνητα  πίστες
36761,Σετ μεταλλικά αυτοκινητάκια - 6688-152M ,Σετ μεταλλικά αυτοκινητάκια - 6688-152M - 825394,in stock,new,3.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/825394.jpg,OEM,No Color,2.5,<p>Διαστάσεις συσκευασίας: 24 x 12 x 4cm</p><p>Πληροί όλα τα πρωτόκολλα ασφαλείας.</p><p>Κατάλληλο για παιδιά ηλικίας άνω των 3 ετών.</p>,ΠΑΙΧΝΙΔΙΑ>Aυτοκίνητα  πίστες
