id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
35942,Φωτιζόμενο κουκλάκι LED - Μινιατούρα ,Φωτιζόμενο κουκλάκι LED - Μινιατούρα - TDS110304,in stock,new,1.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/ledminiatoura4.jpg,OEM,No Color,0.3,"<p>Φωτιζόμενη φιγούρα ύψους περίπου 8-10cm, με πολύχρωμο φωτισμό LED.<br />Λειτουργεί με μπαταρία AG13 που περιλαμβάνεται.</p>",ΠΑΙΧΝΙΔΙΑ>Κούκλες-Κουκλόσπιτα-Καρότσια
35943,Φωτιζόμενο κουκλάκι LED - Μινιατούρα ,Φωτιζόμενο κουκλάκι LED - Μινιατούρα - TDS110305,in stock,new,1.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/ledminiatoura5.jpg,OEM,No Color,0.3,"<p>Φωτιζόμενη φιγούρα ύψους περίπου 8-10cm, με πολύχρωμο φωτισμό LED.<br />Λειτουργεί με μπαταρία AG13 που περιλαμβάνεται.</p>",ΠΑΙΧΝΙΔΙΑ>Κούκλες-Κουκλόσπιτα-Καρότσια
35945,Φωτιζόμενο κουκλάκι LED - Μινιατούρα ,Φωτιζόμενο κουκλάκι LED - Μινιατούρα - TDS110309,in stock,new,1.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/ledminiatoura9.jpg,OEM,No Color,0.3,"<p>Φωτιζόμενη φιγούρα ύψους περίπου 8-10cm, με πολύχρωμο φωτισμό LED.<br />Λειτουργεί με μπαταρία AG13 που περιλαμβάνεται.</p>",ΠΑΙΧΝΙΔΙΑ>Κούκλες-Κουκλόσπιτα-Καρότσια
35946,Φωτιζόμενο κουκλάκι LED - Μινιατούρα ,Φωτιζόμενο κουκλάκι LED - Μινιατούρα - TDS110310,in stock,new,1.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/ledminiatoura10.jpg,OEM,No Color,0.3,"<p>Φωτιζόμενη φιγούρα ύψους περίπου 8-10cm, με πολύχρωμο φωτισμό LED.<br />Λειτουργεί με μπαταρία AG13 που περιλαμβάνεται.</p>",ΠΑΙΧΝΙΔΙΑ>Κούκλες-Κουκλόσπιτα-Καρότσια
35947,Φωτιζόμενο κουκλάκι LED - Μινιατούρα ,Φωτιζόμενο κουκλάκι LED - Μινιατούρα - TDS110311,in stock,new,1.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/ledminiatoura11.jpg,OEM,No Color,0.3,"<p>Φωτιζόμενη φιγούρα ύψους περίπου 8-10cm, με πολύχρωμο φωτισμό LED.<br />Λειτουργεί με μπαταρία AG13 που περιλαμβάνεται.</p>",ΠΑΙΧΝΙΔΙΑ>Κούκλες-Κουκλόσπιτα-Καρότσια
35948,Φωτιζόμενο κουκλάκι LED - Μινιατούρα ,Φωτιζόμενο κουκλάκι LED - Μινιατούρα - TDS110314,in stock,new,1.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/ledminiatoura14.jpg,OEM,No Color,0.3,"<p>Φωτιζόμενη φιγούρα ύψους περίπου 8-10cm, με πολύχρωμο φωτισμό LED.<br />Λειτουργεί με μπαταρία AG13 που περιλαμβάνεται.</p>",ΠΑΙΧΝΙΔΙΑ>Κούκλες-Κουκλόσπιτα-Καρότσια
35949,Φωτιζόμενο κουκλάκι LED - Μινιατούρα ,Φωτιζόμενο κουκλάκι LED - Μινιατούρα - TDS110315,in stock,new,1.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/15.jpg,OEM,No Color,0.3,"<p>Φωτιζόμενη φιγούρα ύψους περίπου 8-10cm, με πολύχρωμο φωτισμό LED.<br />Λειτουργεί με μπαταρία AG13 που περιλαμβάνεται.</p>",ΠΑΙΧΝΙΔΙΑ>Κούκλες-Κουκλόσπιτα-Καρότσια
35950,Φωτιζόμενο κουκλάκι LED - Μινιατούρα ,Φωτιζόμενο κουκλάκι LED - Μινιατούρα - TDS110316,in stock,new,1.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/16.jpg,OEM,No Color,0.3,"<p>Φωτιζόμενη φιγούρα ύψους περίπου 3-5cm, λειτουργεί με μπαταρία AG13 που περιλαμβάνεται.</p>",ΠΑΙΧΝΙΔΙΑ>Κούκλες-Κουκλόσπιτα-Καρότσια
35951,Φωτιζόμενο κουκλάκι LED - Μινιατούρα ,Φωτιζόμενο κουκλάκι LED - Μινιατούρα - TDS110318,in stock,new,1.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/18.jpg,OEM,No Color,0.3,"<p>Φωτιζόμενη φιγούρα ύψους περίπου 8-10cm, με πολύχρωμο φωτισμό LED.<br />Λειτουργεί με μπαταρία AG13 που περιλαμβάνεται.</p>",ΠΑΙΧΝΙΔΙΑ>Κούκλες-Κουκλόσπιτα-Καρότσια
35952,Φωτιζόμενο κουκλάκι LED - Μινιατούρα ,Φωτιζόμενο κουκλάκι LED - Μινιατούρα - TDS110323,in stock,new,1.08 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/23.jpg,OEM,No Color,0.3,"<p>Φωτιζόμενη φιγούρα ύψους περίπου 8-10cm, με πολύχρωμο φωτισμό LED.<br />Λειτουργεί με μπαταρία AG13 που περιλαμβάνεται.</p>",ΠΑΙΧΝΙΔΙΑ>Κούκλες-Κουκλόσπιτα-Καρότσια
