id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
36287,Λούτρινο ψαράκι που κουνάει την ουρ,Λούτρινο ψαράκι που κουνάει την ουρά του - 012127,in stock,new,4.5 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/A_012127.jpg,OEM,No Color,0.4,"<p>Λούτρινο ψαράκι που κουνάει την ουρά του, σε διάφορα σχέδια!</p><ul><li>Διαστάσεις: 25 x 8cm</li><li>Περιλαμβάνεται 1 τεμάχιο.</li><li>Λειτουργεί με 2 μπαταρίες ΑΑ (Δεν περιλαμβάνονται).</li><li>Πληροί όλα τα πρωτόκολλα ασφαλείας.</li><li>Κατάλληλο για παιδιά ηλικίας άνω των 3 ετών.</li></ul>",ΠΑΙΧΝΙΔΙΑ>Λούτρινα κουκλάκια
38200,Λούτρινο σκυλάκι με κίνηση και ήχο -,Λούτρινο σκυλάκι με κίνηση και ήχο - 8787 - 676047 - Pink,in stock,new,3.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/676047_pi.jpg,OEM,No Color,0.4,"<p>Λούτρινο σκυλάκι με κίνηση και ήχο, που περπατάει και γαυγίζει. <br />Τώρα έχεις το δικό σου κατοικίδιο για να μπορείς να το φροντίζεις και να πηγαίνετε μαζί ατελείωτες βόλτες!</p><p>Λειτουργεί με 2 μπαταρίες ΑΑ (δεν περιλαμβάνονται).<br />Διαστάσεις: περίπου 11 x 15cm</p>",ΠΑΙΧΝΙΔΙΑ>Λούτρινα κουκλάκια
38872,Λούτρινο τερατάκι Huggy Wuggy - 40cm - 708019,Λούτρινο τερατάκι Huggy Wuggy - 40cm - 708019,in stock,new,4.5 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/708019-1.jpg,OEM,No Color,0.4,"<p>Το δημοφιλές λούτρινο τερατάκι Huggy Wuggy που έχει ξετρελάνει μικρούς και μεγάλους, τώρα σε νέα χρώματα, και λαμπερά σχέδια με γυαλιστερά αστεράκια στη γούνα για να διαλέξεις το αγαπημένο σου. <br />Διαμόρφωσε του χέρια και πόδια όπως εσύ θέλεις, χάρη στα ειδικά Velcro και ανακάλυψε όλα τα τρελά ακροβατικά που μπορεί να κάνει!<br />Μήκος: 40cm</p><p>*Διαθέσιμα χρώματα: <strong>μπλε, ροζ, μαύρο, πράσινο, πορτοκαλί,</strong> <strong>κόκκινο, γκρι</strong> - Σημειώστε το χρώμα προτίμησής σας στις σημειώσεις παραγγελίας - Αποστολή κατόπιν διαθεσιμότητας.</p>",ΠΑΙΧΝΙΔΙΑ>Λούτρινα κουκλάκια
39522,Λούτρινο τερατάκι Huggy Wuggy που κάνει �,Λούτρινο τερατάκι Huggy Wuggy που κάνει τούμπες - 20cm - 559632 - Pink,in stock,new,9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/559632-2.jpg,OEM,No Color,0.4,"<p>Το δημοφιλές λούτρινο τερατάκι Huggy Wuggy που έχει ξετρελάνει μικρούς και μεγάλους, τώρα σε νέα χρώματα, και μεγέθη για να διαλέξεις αυτό που σου ταιριάζει! <br />Διαθέτει ήχους και μουσική ενώ μπορεί να γυρίσει τα χέρια του και να κάνει εντυπωσιακές τούμπες!<br />Πάτα το κουμπί και ανακάλυψε τα τρελά ακροβατικά που μπορεί να κάνει!<br />Οι μπαταρίες περιλαμβάνονται.<br />Χρώμα: Ροζ</p>",ΠΑΙΧΝΙΔΙΑ>Λούτρινα κουκλάκια
39529,Λούτρινο τερατάκι Huggy Wuggy - 40cm - 708002 - C,Λούτρινο τερατάκι Huggy Wuggy - 40cm - 708002 - Coloful,in stock,new,4.5 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/708002_colorful.jpg,OEM,No Color,0.4,"<p>Το δημοφιλές λούτρινο τερατάκι Huggy Wuggy που έχει ξετρελάνει μικρούς και μεγάλους, τώρα σε νέα χρώματα, και μεγέθη για να διαλέξεις αυτό που σου ταιριάζει!<br />Αγκάλιασε το, διαμόρφωσε τα χέρια και τα πόδια του όπως εσύ θέλεις, χάρη στα ειδικά Velcro και ανακάλυψε όλα τα τρελά ακροβατικά που μπορεί να κάνει!<br />Μήκος: 40cm<br />Χρώμα: Μπλε</p>",ΠΑΙΧΝΙΔΙΑ>Λούτρινα κουκλάκια
39530,Λούτρινο τερατάκι Huggy Wuggy - 40cm - 708002 - B,Λούτρινο τερατάκι Huggy Wuggy - 40cm - 708002 - Brown,in stock,new,4.5 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/708002-3.jpg,OEM,No Color,0.4,"<p>Το δημοφιλές λούτρινο τερατάκι Huggy Wuggy που έχει ξετρελάνει μικρούς και μεγάλους, τώρα σε νέα χρώματα, και μεγέθη για να διαλέξεις αυτό που σου ταιριάζει!<br />Αγκάλιασε το, διαμόρφωσε τα χέρια και τα πόδια του όπως εσύ θέλεις, χάρη στα ειδικά Velcro και ανακάλυψε όλα τα τρελά ακροβατικά που μπορεί να κάνει!<br />Μήκος: 40cm<br />Χρώμα: Μπλε</p>",ΠΑΙΧΝΙΔΙΑ>Λούτρινα κουκλάκια
39531,Λούτρινο τερατάκι Huggy Wuggy - 40cm - 708002 - O,Λούτρινο τερατάκι Huggy Wuggy - 40cm - 708002 - Orange,in stock,new,4.5 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/708002-4.jpg,OEM,No Color,0.4,"<p>Το δημοφιλές λούτρινο τερατάκι Huggy Wuggy που έχει ξετρελάνει μικρούς και μεγάλους, τώρα σε νέα χρώματα, και μεγέθη για να διαλέξεις αυτό που σου ταιριάζει!<br />Αγκάλιασε το, διαμόρφωσε τα χέρια και τα πόδια του όπως εσύ θέλεις, χάρη στα ειδικά Velcro και ανακάλυψε όλα τα τρελά ακροβατικά που μπορεί να κάνει!<br />Μήκος: 40cm<br />Χρώμα: Μπλε</p>",ΠΑΙΧΝΙΔΙΑ>Λούτρινα κουκλάκια
39532,Λούτρινο τερατάκι Huggy Wuggy - 40cm - 708002 - G,Λούτρινο τερατάκι Huggy Wuggy - 40cm - 708002 - Grey,in stock,new,4.5 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/708002-5.jpg,OEM,No Color,0.4,"<p>Το δημοφιλές λούτρινο τερατάκι Huggy Wuggy που έχει ξετρελάνει μικρούς και μεγάλους, τώρα σε νέα χρώματα, και μεγέθη για να διαλέξεις αυτό που σου ταιριάζει!<br />Αγκάλιασε το, διαμόρφωσε τα χέρια και τα πόδια του όπως εσύ θέλεις, χάρη στα ειδικά Velcro και ανακάλυψε όλα τα τρελά ακροβατικά που μπορεί να κάνει!<br />Μήκος: 40cm<br />Χρώμα: Μπλε</p>",ΠΑΙΧΝΙΔΙΑ>Λούτρινα κουκλάκια
39533,Λούτρινο τερατάκι Huggy Wuggy - 40cm - 708002 - G,Λούτρινο τερατάκι Huggy Wuggy - 40cm - 708002 - Green,in stock,new,4.5 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/708026-2.jpg,OEM,No Color,0.4,"<p>Το δημοφιλές λούτρινο τερατάκι Huggy Wuggy που έχει ξετρελάνει μικρούς και μεγάλους, τώρα σε νέα χρώματα, και μεγέθη για να διαλέξεις αυτό που σου ταιριάζει!<br />Αγκάλιασε το, διαμόρφωσε τα χέρια και τα πόδια του όπως εσύ θέλεις, χάρη στα ειδικά Velcro και ανακάλυψε όλα τα τρελά ακροβατικά που μπορεί να κάνει!<br />Μήκος: 40cm<br />Χρώμα: Μπλε</p>",ΠΑΙΧΝΙΔΙΑ>Λούτρινα κουκλάκια
39534,Λούτρινο τερατάκι Huggy Wuggy - 40cm - 708002 - R,Λούτρινο τερατάκι Huggy Wuggy - 40cm - 708002 - Red,in stock,new,4.5 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/708026.jpg,OEM,No Color,0.4,"<p>Το δημοφιλές λούτρινο τερατάκι Huggy Wuggy που έχει ξετρελάνει μικρούς και μεγάλους, τώρα σε νέα χρώματα, και μεγέθη για να διαλέξεις αυτό που σου ταιριάζει!<br />Αγκάλιασε το, διαμόρφωσε τα χέρια και τα πόδια του όπως εσύ θέλεις, χάρη στα ειδικά Velcro και ανακάλυψε όλα τα τρελά ακροβατικά που μπορεί να κάνει!<br />Μήκος: 40cm<br />Χρώμα: Μπλε</p>",ΠΑΙΧΝΙΔΙΑ>Λούτρινα κουκλάκια
