id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
35373,Παιχνίδι πιανάκι - 9023 C-5,Παιχνίδι πιανάκι - 9023 C-5,in stock,new,4.5 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/1539010089440-1.jpg,OEM,No Color,0.5,<p>Ηλεκτρικό πιάνο με μελωδίες!</p><p>Παίξε και άκουσε τις αγαπημένες σου μελωδίες. Μάθε τις νότες και διασκέδασε με αυτό το υπέροχο πιανάκι!</p><p>Πληροί όλα τα πρωτόκολλα ασφαλείας.</p><p>Κατάλληλο για παιδιά ηλικίας άνω των 3 ετών.</p>,ΠΑΙΧΝΙΔΙΑ>Μουσικά  εκπαιδευτικά παιχνίδια
36976,Παιδικό αρμόνιο - 8032 - 278039,Παιδικό αρμόνιο - 8032 - 278039,in stock,new,4.5 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/278039_1010-1.jpg,OEM,No Color,2.5,<p>Διαστάσεις συσκευασίας: 31 x 10 x 3cm</p><p><br />Πληροί όλα τα πρότυπα ασφαλείας.</p><p>Κατάλληλο για παιδιά από 3 ετών και άνω.</p>,ΠΑΙΧΝΙΔΙΑ>Μουσικά  εκπαιδευτικά παιχνίδια
37245,Παιδική εκπαιδευτική κιθάρα - 969-6 - 95,Παιδική εκπαιδευτική κιθάρα - 969-6 - 959637,in stock,new,9.9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/696225.png,OEM,No Color,2.5,"<p>Παιδική εκπαιδευτική κιθάρα με πλήκτρα για ήχους μουσικών οργάνων και ήχους ζώων και χρωμάτων. Το παιδί θα μπορέσει να μάθει και να αφομοιώσει άμεσα όλους τους ήχους, ενώ η κιθάρα διαθέτει και εκπαιδευτικό παιχνίδι όπου εκφωνεί ενα ζωό-χρώμα-μουσικό όργανο και το παιδί πρέπει να επιλέξει το σωστή απάντηση. Ένα εξαιρετικά διδακτικό παιχνίδι για όλα τα παιδιά προνηπιακής ηλικίας.</p><p>Διαστάσεις παιχνιδιού: 22.5 x 37 x 5cm<br />Διαστάσεις συσκευασίας: 38 x 22 x 5cm</p><p>Λειτουργεί με 3 μπαταρίες ΑΑ (Δεν περιλαμβάνονται)</p><p>Πληροί όλα τα πρότυπα ασφαλείας.</p><p>Κατάλληλο για παιδιά από 3 ετών και άνω.</p>",ΠΑΙΧΝΙΔΙΑ>Μουσικά  εκπαιδευτικά παιχνίδια
37247,Παιδικό ξυλόφωνο-πιάνο με ήχους μου,Παιδικό ξυλόφωνο-πιάνο με ήχους μουσικών οργάνων και φωτισμό - 25827E - 691005,in stock,new,27 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/691005.jpg,OEM,No Color,2.5,"<p>Παιδικό εκπαιδευτικό ξυλόφωνο και πιάνο, 2 σε 1, με πλήκτρα ήχων από όλα τα μουσικά όργανα, για τους μικρούς λάτρεις της μουσικής.</p><p>Διαστάσεις συσκευασίας: 25 x 44 x 10cm</p><p>Πληροί όλα τα πρότυπα ασφαλείας.</p><p>Κατάλληλο για παιδιά από 3 ετών και άνω.</p>",ΠΑΙΧΝΙΔΙΑ>Μουσικά  εκπαιδευτικά παιχνίδια
37249,Παιδικό σετ Drums - 333-008 - 100597,Παιδικό σετ Drums - 333-008 - 100597,in stock,new,18 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/16365592237048939.jpg,OEM,No Color,9.0,<p>Σετ παιδικών mini Ντραμς για τους μικρούς λάτρεις της μουσικής.</p><p>Διαστάσεις συσκευασίας: 46 x 35 x 30cm</p><p>Πληροί όλα τα πρότυπα ασφαλείας.</p><p>Κατάλληλο για παιδιά από 3 ετών και άνω.</p>,ΠΑΙΧΝΙΔΙΑ>Μουσικά  εκπαιδευτικά παιχνίδια
37251,Παιδικό σετ Drums - FZ-5008 - 014600,Παιδικό σετ Drums - FZ-5008 - 014600,in stock,new,32.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/014600.jpg,OEM,No Color,10.0,<p>Σετ παιδικών mini Ντραμς για τους μικρούς λάτρεις της μουσικής.</p><p>Διαστάσεις συσκευασίας: 77 x 52 x 36cm</p><p>Πληροί όλα τα πρότυπα ασφαλείας.</p><p>Κατάλληλο για παιδιά από 3 ετών και άνω.</p>,ΠΑΙΧΝΙΔΙΑ>Μουσικά  εκπαιδευτικά παιχνίδια
37666,Παιδικό ξυλόφωνο - 211B - 940506,Παιδικό ξυλόφωνο - 211B - 940506,in stock,new,2.7 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/940506.png,OEM,No Color,2.5,<p>Διαστάσεις συσκευασίας: 29 x 14 x 4cm</p><p>Πληροί όλα τα πρότυπα ασφαλείας.<br />Κατάλληλο για παιδιά από 3 ετών και άνω.</p>,ΠΑΙΧΝΙΔΙΑ>Μουσικά  εκπαιδευτικά παιχνίδια
37684,Παιδική εκπαιδευτική κιθάρα - 969-6 - 69,Παιδική εκπαιδευτική κιθάρα - 969-6 - 696225,in stock,new,9.9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/696225.png,OEM,No Color,2.5,"<p>Παιδική εκπαιδευτική κιθάρα με πλήκτρα για ήχους μουσικών οργάνων και ήχους ζώων και χρωμάτων. Το παιδί θα μπορέσει να μάθει και να αφομοιώσει άμεσα όλους τους ήχους, ενώ η κιθάρα διαθέτει και εκπαιδευτικό παιχνίδι όπου εκφωνεί ενα ζωό-χρώμα-μουσικό όργανο και το παιδί πρέπει να επιλέξει το σωστή απάντηση. Ένα εξαιρετικά διδακτικό παιχνίδι για όλα τα παιδιά προνηπιακής ηλικίας.</p><p>Διαστάσεις παιχνιδιού: 22.5 x 37 x 5cm<br />Διαστάσεις συσκευασίας: 38 x 23 x 5cm</p><p>Λειτουργεί με 3 μπαταρίες ΑΑ (Δεν περιλαμβάνονται)</p><p>Πληροί όλα τα πρότυπα ασφαλείας.<br />Κατάλληλο για παιδιά από 3 ετών και άνω.</p>",ΠΑΙΧΝΙΔΙΑ>Μουσικά  εκπαιδευτικά παιχνίδια
37939,Παιδικό ξυλόφωνο - 8301 - 317136,Παιδικό ξυλόφωνο - 8301 - 317136,in stock,new,9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/317136.jpg,OEM,No Color,2.5,<p>Διαστάσεις συσκευασίας: 29 x 22 x 11cm<br /><br /></p><p>Πληροί όλα τα πρότυπα ασφαλείας.<br />Κατάλληλο για παιδιά από 3 ετών και άνω.</p>,ΠΑΙΧΝΙΔΙΑ>Μουσικά  εκπαιδευτικά παιχνίδια
38227,Παιδική κιθάρα - S-B5 - 211814,Παιδική κιθάρα - S-B5 - 211814,in stock,new,5.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/211814.jpg,OEM,No Color,2.5,"<p>Παιδική κιθάρα S-B4 με ρεαλιστικό σχεδιασμό και αληθινές χορδές, ιδανική για τους μικρούς φίλους της μουσικής!</p><p>Διαστάσεις κιθάρας: 48 x 15.5 x 5.5cm</p><p>Πληροί όλα τα πρότυπα ασφαλείας.</p><p>Κατάλληλο για παιδιά από 3 ετών και άνω.</p>",ΠΑΙΧΝΙΔΙΑ>Μουσικά  εκπαιδευτικά παιχνίδια
38408,Παιχνίδι τρομπέτα - JH808 - 309808,Παιχνίδι τρομπέτα - JH808 - 309808,in stock,new,5.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/309808.jpg,OEM,No Color,0.3,"<p>Παιδική τρομπέτα, πολύχρωμη με πολλαπλούς ήχους και μουσική.</p><p>Πληροί όλα τα πρωτόκολλα ασφαλείας.</p><p>Κατάλληλο για παιδιά ηλικίας άνω των 3 ετών.</p><p>*Δεν περιλαμβάνονται μπαταρίες.</p>",ΠΑΙΧΝΙΔΙΑ>Μουσικά  εκπαιδευτικά παιχνίδια
38713,Παιδική ηλεκτρονική κιθάρα - 5031 - 12121,Παιδική ηλεκτρονική κιθάρα - 5031 - 121217,in stock,new,14.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/121217.jpg,OEM,No Color,2.0,"<p>Παιδική ηλεκτρονική κιθάρα σε πανέμορφο πολύχρωμο σχεδιασμό, με φωτισμό και δυνατό ήχο, για να γίνεις μία αληθινή Ροκ Σταρ!<br />Διαθέτει ρυθμιζόμενο λουράκι ώμου.</p><p>Διαστάσεις προϊόντος: 60 x 22 x 5cm<br />Διαστάσεις συσκευασίας: 61 x 23 x 5.5cm</p><p>Πληροί όλα τα πρότυπα ασφαλείας. Κατάλληλο για παιδιά ηλικίας από 3 ετών και άνω.</p>",ΠΑΙΧΝΙΔΙΑ>Μουσικά  εκπαιδευτικά παιχνίδια
38714,Παιδική ηλεκτρονική κιθάρα - 5030A - 0010,Παιδική ηλεκτρονική κιθάρα - 5030A - 001011,in stock,new,14.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/001011.jpg,OEM,No Color,2.0,"<p>Παιδική ηλεκτρονική κιθάρα 5030A σε πανέμορφο πολύχρωμο σχεδιασμό, με φωτισμό και δυνατό ήχο, για να γίνεις ένας αληθινός Ροκ Σταρ!<br />Διαθέτει ρυθμιζόμενο λουράκι ώμου.</p><p>Διαστάσεις προϊόντος: 56 x 17 x 5cm<br />Διαστάσεις συσκευασίας: 57 x 23 x 5.5cm</p><p>Πληροί όλα τα πρότυπα ασφαλείας. <br />Κατάλληλο για παιδιά ηλικίας από 3 ετών και άνω.</p>",ΠΑΙΧΝΙΔΙΑ>Μουσικά  εκπαιδευτικά παιχνίδια
38715,Παιδική ηλεκτρονική κιθάρα - 784 - 006083,Παιδική ηλεκτρονική κιθάρα - 784 - 006083,in stock,new,6.3 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/006083.jpg,OEM,No Color,2.0,"<p>Παιδική ηλεκτρονική κιθάρα με πολλούς διαφορετικούς μουσικούς ήχους και φωτισμό, σε υπέροχο πολύχρωμο σχεδιασμό.</p><p>Διαστάσεις προϊόντος: 38.5 x 14 x 4cm<br />Διαστάσεις συσκευασίας: 39 x 15 x 5cm</p><p>Πληροί όλα τα πρότυπα ασφαλείας. <br />Κατάλληλο για παιδιά ηλικίας από 3 ετών και άνω.</p>",ΠΑΙΧΝΙΔΙΑ>Μουσικά  εκπαιδευτικά παιχνίδια
38727,Παιδικό σετ Drums - 755-16 - 135615,Παιδικό σετ Drums - 755-16 - 135615,in stock,new,9.9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/135615-1.jpg,OEM,No Color,2.0,"<p>Παιδικό σετ mini Drums σε υπέροχα χρώματα και φιγούρες πριγκιπισσών, για τις μικρές λάτρεις της μουσικής.</p><p>Διαστάσεις συσκευασίας: περ. 30 x 24 x 17cm</p><p>Πληροί όλα τα πρότυπα ασφαλείας. <br />Κατάλληλο για παιδιά ηλικίας από 3 ετών και άνω.</p>",ΠΑΙΧΝΙΔΙΑ>Μουσικά  εκπαιδευτικά παιχνίδια
38738,Παιδικό ξυλόφωνο - 3390-2 - 487363,Παιδικό ξυλόφωνο - 3390-2 - 487363,in stock,new,6.3 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/487363.jpg,OEM,No Color,1.0,"<p>Παιδικό ξυλόφωνο σε πανέμορφο σχεδιασμό πενταγράμμου και έντονα ελκυστικά χρώματα, ιδανικό για την πρώτη επαφή του παιδιού με τη μουσική.</p><p>Διαστάσεις συσκευασίας: 19 x 37.5 x 4cm<br />Διαστάσεις προϊόντος: 15.5 x 33 x 3cm</p><p>Πληροί όλα τα πρότυπα ασφαλείας. <br />Κατάλληλο για παιδιά ηλικίας από 3 ετών και άνω.</p>",ΠΑΙΧΝΙΔΙΑ>Μουσικά  εκπαιδευτικά παιχνίδια
