id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
35288,Παιδικό σετ Baseball - 997A,Παιδικό σετ Baseball - 997A,in stock,new,8.1 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/παιδικό-παιχνίδι-για-αγόρια-997a.jpg,OEM,No Color,0.5,<p>Πληροί όλα τα πρωτόκολλα ασφαλείας.</p><p>Κατάλληλο για παιδιά ηλικίας άνω των 3 ετών.</p>,ΠΑΙΧΝΙΔΙΑ>Παιχνίδια αθλητισμού  δράσης
35320,Παιδικό σετ Baseball - 998,Παιδικό σετ Baseball - 998,in stock,new,8.1 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/παιδικό-παιχνίδι-για-αγόρια-998.jpg,OEM,No Color,0.5,<p>Πληροί όλα τα πρωτόκολλα ασφαλείας.</p><p>Κατάλληλο για παιδιά ηλικίας άνω των 3 ετών.</p>,ΠΑΙΧΝΙΔΙΑ>Παιχνίδια αθλητισμού  δράσης
35403,Παιδικό παιχνίδι μουσικό πιστολάκι,Παιδικό παιχνίδι μουσικό πιστολάκι - 5531,in stock,new,4.5 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/156605160762512.jpg,OEM,No Color,3,<p>Πληροί όλα τα πρωτόκολλα ασφαλείας.</p><p>Κατάλληλο για παιδιά ηλικίας άνω των 3 ετών.</p>,ΠΑΙΧΝΙΔΙΑ>Παιχνίδια αθλητισμού  δράσης
35926,Παιδικό παιχνίδι - DY-8K11A-1,Παιδικό παιχνίδι - DY-8K11A-1,in stock,new,5.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/DY-8K11A-1.jpg,OEM,No Color,2.5,<p>Πληροί όλα τα πρωτόκολλα ασφαλείας.</p><p>Κατάλληλο για παιδιά ηλικίας άνω των 3 ετών.</p>,ΠΑΙΧΝΙΔΙΑ>Παιχνίδια αθλητισμού  δράσης
36320,Παιχνίδι ψαρέματος - 206C - 426111,Παιχνίδι ψαρέματος - 206C - 426111,in stock,new,8.1 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/OKT_426111.jpg,OEM,No Color,2.5,"<p>Ώρα για ψάρεμα!</p><p>Υπέροχο παιχνίδι με ψαράκια τα οποία ανοιγοκλείνουν το στόμα τους, ψάρεψε όσα περισσότερα μπορείς και κέρδισε τους όλους! Με τα καλάμια που διαθέτει μπορείς να παίξεις με τους φίλους ή την οικογένεια σου!</p><p>Πληροί όλα τα πρωτόκολλα ασφαλείας.</p><p>Κατάλληλο για παιδιά ηλικίας άνω των 3 ετών.</p>",ΠΑΙΧΝΙΔΙΑ>Παιχνίδια αθλητισμού  δράσης
36321,Παιχνίδι ψαρέματος - 203 - 426807,Παιχνίδι ψαρέματος - 203 - 426807,in stock,new,6.3 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/OKT_426807.jpg,OEM,No Color,2.5,"<p>Ώρα για ψάρεμα!</p><p>Υπέροχο παιχνίδι με ψαράκια τα οποία ανοιγοκλείνουν το στόμα τους, ψάρεψε όσα περισσότερα μπορείς και κέρδισε τους όλους! Με τα καλάμια που διαθέτει μπορείς να παίξεις με τους φίλους ή την οικογένεια σου!</p><p>Πληροί όλα τα πρωτόκολλα ασφαλείας.</p><p>Κατάλληλο για παιδιά ηλικίας άνω των 3 ετών.</p>",ΠΑΙΧΝΙΔΙΑ>Παιχνίδια αθλητισμού  δράσης
36936,Πιστόλι για σαπουνόφουσκες - Bubble Gun -,Πιστόλι για σαπουνόφουσκες - Bubble Gun - 262600,in stock,new,3.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/116255_1310.jpg,OEM,No Color,4.00,<p>Με αυτό το πολύχρωμο πιστόλι μπορείς να γεμίσεις τον χώρο με εκατοντάδες σαπουνόφουσκες στο λεπτό! Απλά τοποθέτησε το δοχείο με το ειδικό σαπούνι στη θήκη του και με το πάτημα ενός κουμπιού δημιούργησε πανεύκολα ατελείωτες φούσκες που θα ξετρελάνουν εσένα και τους φίλους σου!</p><p>Περιλαμβάνονται 2 μπουκαλάκια σαπουνιού.</p><p>Λειτουργεί με 3 μπαταρίες ΑΑ (δεν περιλαμβάνονται).</p><p>Πληροί όλα τα πρότυπα ασφαλείας.</p><p>Κατάλληλο για παιδιά από 3 ετών και άνω.</p>,ΠΑΙΧΝΙΔΙΑ>Παιχνίδια αθλητισμού  δράσης
36957,Παιδικό ηλεκτρονικό όπλο - HJ608 - 836103,Παιδικό ηλεκτρονικό όπλο - HJ608 - 836103,in stock,new,6.3 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/836103_1010.jpg,OEM,No Color,2.5,<ul><li>Διαστάσεις συσκευασίας: 15 x 25 x 4.5cm</li><li>Διαστάσεις παιχνιδιού: 24.4 x 14.5cm</li></ul><p>Πληροί όλα τα πρότυπα ασφαλείας.</p><p>Κατάλληλο για παιδιά από 3 ετών και άνω.</p>,ΠΑΙΧΝΙΔΙΑ>Παιχνίδια αθλητισμού  δράσης
36958,Παιδικό ηλεκτρονικό όπλο - HJ608A - 836134,Παιδικό ηλεκτρονικό όπλο - HJ608A - 836134,in stock,new,6.3 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/836134.jpg,OEM,No Color,2.5,"<p>Παιδικό ηλεκτρονικό όπλο που εκτοξεύει βεντούζες, με ήχο και φωτισμό LED, σε διαφανή σχεδίαση.</p><p>Διαστάσεις συσκευασίας: 24.7 x 15 x 4.5cm<br />Διαστάσεις προιόντος: 24.5 x 14.5cm</p><p>*Οι μπαταρίες δεν περιλαμβάνονται.<br />Διαθέσιμο σε <strong>Μπλε</strong> και Π<strong>ορτοκαλί</strong></p><p>Πληροί όλα τα πρότυπα ασφαλείας.</p><p>Κατάλληλο για παιδιά από 3 ετών και άνω.</p>",ΠΑΙΧΝΙΔΙΑ>Παιχνίδια αθλητισμού  δράσης
36967,Παιχνίδι Basket - 445 - 234453,Παιχνίδι Basket - 445 - 234453,in stock,new,5.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/234453.jpg,OEM,No Color,2.5,<p>Διαστάσεις συσκευασίας: 30 x 17.5 x 6cm</p><p>Πληροί όλα τα πρότυπα ασφαλείας.</p><p>Κατάλληλο για παιδιά από 3 ετών και άνω.</p>,ΠΑΙΧΝΙΔΙΑ>Παιχνίδια αθλητισμού  δράσης
