id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
35953,Μπαλάκι που χοροπηδάει με ήχο - TDS12030,Μπαλάκι που χοροπηδάει με ήχο - TDS120302,in stock,new,2.16 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/9-1-1.jpg,OEM,No Color,2.5,<p>Τρελόμπαλα με ήχους που χοροπηδάει.</p><p>*Οι μπαταρίες δεν περιλαμβάνονται.</p><p>Διάμετρος: περ. 15cm</p><p>Πληροί όλα τα πρότυπα ασφαλείας.<br />Κατάλληλο για παιδιά από 3 ετών και άνω.</p>,ΠΑΙΧΝΙΔΙΑ>Συρόμενα παιχνίδια  μπάλες
39316,Συρόμενος δράκος με φτερά - 389 - 791287,Συρόμενος δράκος με φτερά - 389 - 791287,in stock,new,4.5 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/791287.jpg,OEM,No Color,0.8,"<p>Συρόμενος μικρός δράκος με φτερά που κινούνται, με υπέροχο πολύχρωμο σχεδιασμό και εργονομική λαβή για ατελείωτες βόλτες παντού!</p><p>Διαστάσεις προϊόντος: 10 x 18 x 15cm + 42cm λαβή</p><p>Πληροί όλα τα πρότυπα ασφαλείας. <br />Κατάλληλο για παιδιά ηλικίας από 3 ετών και άνω.</p>",ΠΑΙΧΝΙΔΙΑ>Συρόμενα παιχνίδια  μπάλες
101052,Συρόμενο παιχνίδι - 385 - 791263,Συρόμενο παιχνίδι - 385 - 791263,in stock,new,3.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/6becf22b341e4377422dd18025ff2791.jpg,OEM,No Color,2.0,Πληροί όλα τα πρότυπα ασφαλείας. Κατάλληλο για παιδιά ηλικίας 3 ετών και άνω.,ΠΑΙΧΝΙΔΙΑ>Συρόμενα παιχνίδια  μπάλες
104526,Συρόμενο παιχνίδι Πεταλούδα - 3803-3 - 3,Συρόμενο παιχνίδι Πεταλούδα - 3803-3 - 341259,in stock,new,2.7 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/9c3ed67dd248fa54efd01d15605feeb1.jpg,OEM,No Color,2.0,Πληροί όλα τα πρότυπα ασφαλείας. Κατάλληλο για παιδιά ηλικίας 3 ετών και άνω.,ΠΑΙΧΝΙΔΙΑ>Συρόμενα παιχνίδια  μπάλες
104589,Σετ μαλακά μπαλάκια παιχνιδιού - 3.5# ,Σετ μαλακά μπαλάκια παιχνιδιού - 3.5#  - 3pcs - 7870-50 - 222071,in stock,new,2.7 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/5a552a4455206daf46bd2004f032b416.jpg,OEM,No Color,2.0,Πληροί όλα τα πρότυπα ασφαλείας. Κατάλληλο για παιδιά ηλικίας 3 ετών και άνω.,ΠΑΙΧΝΙΔΙΑ>Συρόμενα παιχνίδια  μπάλες
104592,Σετ μαλακά μπαλάκια παιχνιδιού - 2.5# ,Σετ μαλακά μπαλάκια παιχνιδιού - 2.5#  - 4pcs - 0648-37 - 222070,in stock,new,2.7 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/4b4c80c9077f6b6c3f7be071ee8b8a6f.jpg,OEM,No Color,2.0,Πληροί όλα τα πρότυπα ασφαλείας. Κατάλληλο για παιδιά ηλικίας 3 ετών και άνω.,ΠΑΙΧΝΙΔΙΑ>Συρόμενα παιχνίδια  μπάλες
104595,Σετ μαλακά μπαλάκια παιχνιδιού - 3#  -,Σετ μαλακά μπαλάκια παιχνιδιού - 3#  - 4pcs - 0648-69 - 222068,in stock,new,2.7 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/05056d7a5f60d610c099573e7e2460c6.jpg,OEM,No Color,2.0,Πληροί όλα τα πρότυπα ασφαλείας. Κατάλληλο για παιδιά ηλικίας 3 ετών και άνω.,ΠΑΙΧΝΙΔΙΑ>Συρόμενα παιχνίδια  μπάλες
104598,Σετ μαλακά μπαλάκια παιχνιδιού - 3#  -,Σετ μαλακά μπαλάκια παιχνιδιού - 3#  - 4pcs - 0648-52 - 222067,in stock,new,2.7 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/c7ab1b577ab452938becf440213e97f4.jpg,OEM,No Color,2.0,Πληροί όλα τα πρότυπα ασφαλείας. Κατάλληλο για παιδιά ηλικίας 3 ετών και άνω.,ΠΑΙΧΝΙΔΙΑ>Συρόμενα παιχνίδια  μπάλες
104601,Σετ μαλακά μπαλάκια παιχνιδιού - 3#  -,Σετ μαλακά μπαλάκια παιχνιδιού - 3#  - 4pcs - 0648-45 - 222066,in stock,new,2.7 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/6f1691ba99c2d5328816c179400aafb4.jpg,OEM,No Color,2.0,Πληροί όλα τα πρότυπα ασφαλείας. Κατάλληλο για παιδιά ηλικίας 3 ετών και άνω.,ΠΑΙΧΝΙΔΙΑ>Συρόμενα παιχνίδια  μπάλες
104604,Σετ μαλακά μπαλάκια παιχνιδιού - 2.5# ,Σετ μαλακά μπαλάκια παιχνιδιού - 2.5#  - 5pcs - 0648-44A - 222058,in stock,new,2.7 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/9da86263baa7abb65bdb0883477ae694.jpg,OEM,No Color,2.0,Πληροί όλα τα πρότυπα ασφαλείας. Κατάλληλο για παιδιά ηλικίας 3 ετών και άνω.,ΠΑΙΧΝΙΔΙΑ>Συρόμενα παιχνίδια  μπάλες
104607,Σετ μαλακά μπαλάκια παιχνιδιού - 2.5# ,Σετ μαλακά μπαλάκια παιχνιδιού - 2.5#  - 5pcs - 0648-46A - 222057,in stock,new,2.7 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/abe5d17d890514c12ce568bb54acc827.jpg,OEM,No Color,2.0,Πληροί όλα τα πρότυπα ασφαλείας. Κατάλληλο για παιδιά ηλικίας 3 ετών και άνω.,ΠΑΙΧΝΙΔΙΑ>Συρόμενα παιχνίδια  μπάλες
104610,Σετ μαλακά μπαλάκια παιχνιδιού - 2.5# ,Σετ μαλακά μπαλάκια παιχνιδιού - 2.5#  - 5pcs - 0993-29A - 222056,in stock,new,2.7 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/bba7c1d9e8f5e12eb39363cfc0408f4e.jpg,OEM,No Color,2.0,Πληροί όλα τα πρότυπα ασφαλείας. Κατάλληλο για παιδιά ηλικίας 3 ετών και άνω.,ΠΑΙΧΝΙΔΙΑ>Συρόμενα παιχνίδια  μπάλες
104613,Σετ μαλακά μπαλάκια παιχνιδιού - 3.5# ,Σετ μαλακά μπαλάκια παιχνιδιού - 3.5#  - 4pcs - 0993-24 - 222050,in stock,new,2.7 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/71bd7ac7e4eaffa9440fbfd8a9b1546a.jpg,OEM,No Color,2.0,Πληροί όλα τα πρότυπα ασφαλείας. Κατάλληλο για παιδιά ηλικίας 3 ετών και άνω.,ΠΑΙΧΝΙΔΙΑ>Συρόμενα παιχνίδια  μπάλες
104616,Σετ μαλακό μπαλάκι & κύβος παιχνιδι�,Σετ μαλακό μπαλάκι & κύβος παιχνιδιού - 4#  - 2pcs - 0648-23 - 222049,in stock,new,2.7 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/a4777dc9248f8a8119d185c8565becd6.jpg,OEM,No Color,2.0,Πληροί όλα τα πρότυπα ασφαλείας. Κατάλληλο για παιδιά ηλικίας 3 ετών και άνω.,ΠΑΙΧΝΙΔΙΑ>Συρόμενα παιχνίδια  μπάλες
104619,Σετ μαλακά μπαλάκια παιχνιδιού - 4#  -,Σετ μαλακά μπαλάκια παιχνιδιού - 4#  - 4pcs - 0648-72 - 222036,in stock,new,3.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/130b051835f4a0d8632f23f386fb21a5.jpg,OEM,No Color,2.0,Πληροί όλα τα πρότυπα ασφαλείας. Κατάλληλο για παιδιά ηλικίας 3 ετών και άνω.,ΠΑΙΧΝΙΔΙΑ>Συρόμενα παιχνίδια  μπάλες
104622,Σετ μαλακά μπαλάκια παιχνιδιού - 4#  -,Σετ μαλακά μπαλάκια παιχνιδιού - 4#  - 4pcs - 0648-49 - 222035,in stock,new,4.5 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/42f88d6c3d8d5b9de0167d62abe2f616.jpg,OEM,No Color,2.0,Πληροί όλα τα πρότυπα ασφαλείας. Κατάλληλο για παιδιά ηλικίας 3 ετών και άνω.,ΠΑΙΧΝΙΔΙΑ>Συρόμενα παιχνίδια  μπάλες
