id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
36303,Τηλεκατευθυνόμενο όχημα - 365078,Τηλεκατευθυνόμενο όχημα - 365078,in stock,new,27 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/365078_15.jpg,OEM,No Color,2.5,"<p>Τηλεκατευθυνόμενο αγωνιστικό αυτοκίνητο με πόρτες που ανοίγουν και χειριστήριο για να το οδηγάς παντού! Οργάνωσε αγώνες ταχύτητας, διασκέδασε και κέρδισε τους όλους!</p><p>Πληροί όλα τα πρωτόκολλα ασφαλείας.</p><p>Κατάλληλο για παιδιά ηλικίας άνω των 6 ετών.</p>",ΠΑΙΧΝΙΔΙΑ>Τηλεκατευθυνόμενα παιχνίδια
36304,Τηλεκατευθυνόμενο όχημα - Συναρμολ�,Τηλεκατευθυνόμενο όχημα - Συναρμολογούμενο - 365047,in stock,new,27 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/365047_15.jpg,OEM,No Color,2.5,"<p>Τηλεκατευθυνόμενο αυτοκίνητο DIY συναρμολογούμενο για να το φτιάξεις μόνος σου δημιουργικά, με χειριστήριο για να το οδηγάς παντού! <br />Στήσε το αυτοκίνητό σου, οργάνωσε αγώνες ταχύτητας, διασκέδασε και κέρδισε τους όλους!</p><p>Πληροί όλα τα πρότυπα ασφαλείας, <br />Κατάλληλο για παιδιά ηλικίας άνω των 6 ετών.</p>",ΠΑΙΧΝΙΔΙΑ>Τηλεκατευθυνόμενα παιχνίδια
36960,Τηλεκατευθυνόμενη μηχανή - LD-162A - 21512,Τηλεκατευθυνόμενη μηχανή - LD-162A - 215120,in stock,new,9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/215120_1010-1.jpg,OEM,No Color,2.5,<p>Διαστάσεις συσκευασίας: 18.5 x 20.5 x 17cm</p><p>Πληροί όλα τα πρότυπα ασφαλείας.</p><p>Κατάλληλο για παιδιά από 3 ετών και άνω.</p>,ΠΑΙΧΝΙΔΙΑ>Τηλεκατευθυνόμενα παιχνίδια
36962,Τηλεκατευθυνόμενο αυτοκίνητο - CQ-614 ,Τηλεκατευθυνόμενο αυτοκίνητο - CQ-614 - 022152,in stock,new,15.3 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/022152_1010-1.jpg,OEM,No Color,2.5,<p>Διαστάσεις συσκευασίας: 15 x 34 x 14cm</p><p>Διαστάσεις παιχνιδιού: 12 x 21 x 11cm</p><p>Πληροί όλα τα πρότυπα ασφαλείας.</p><p>Κατάλληλο για παιδιά από 3 ετών και άνω.</p>,ΠΑΙΧΝΙΔΙΑ>Τηλεκατευθυνόμενα παιχνίδια
37227,Τηλεκατευθυνόμενο όχημα - 2.4G - FD253A - 2,Τηλεκατευθυνόμενο όχημα - 2.4G - FD253A - 252528,in stock,new,45 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/252528.jpg,OEM,No Color,2.5,<ul><li>Διαστάσεις συσκευασίας: 21 x 41 x 23cm</li><li>Διαστάσεις αυτοκινήτου: 30 x 22 x 18cm</li></ul><p>Πληροί όλα τα πρότυπα ασφαλείας.</p><p>Κατάλληλο για παιδιά από 3 ετών και άνω.</p>,ΠΑΙΧΝΙΔΙΑ>Τηλεκατευθυνόμενα παιχνίδια
37228,Τηλεκατευθυνόμενο αυτοκίνητο - 2.4G - ,Τηλεκατευθυνόμενο αυτοκίνητο - 2.4G - FD266A - 252522,in stock,new,45 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/252522.jpg,OEM,No Color,2.5,<ul><li>Διαστάσεις συσκευασίας: 26 x 40 x 12cm</li><li>Διαστάσεις αυτοκινήτου: 30 x 21 x 8.5cm</li></ul><p>Πληροί όλα τα πρότυπα ασφαλείας.</p><p>Κατάλληλο για παιδιά από 3 ετών και άνω.</p>,ΠΑΙΧΝΙΔΙΑ>Τηλεκατευθυνόμενα παιχνίδια
37229,Τηλεκατευθυνόμενο αυτοκίνητο - 2.4G - ,Τηλεκατευθυνόμενο αυτοκίνητο - 2.4G - DH666-57 - 236889,in stock,new,27 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/236889.jpg,OEM,No Color,2.5,<p>Τηλεκατευθυνόμενο αγωνιστικό αυτοκίνητο υψηλών ταχυτήτων για ατελείωτους αγώνες δρόμου με τη παρέα σου!</p><ul><li>Διαστάσεις συσκευασίας: 31 x 15.5 x 15cm</li><li>Διαστάσεις αυτοκινήτου: 23 x 11 x 6.5cm</li></ul><p>Πληροί όλα τα πρότυπα ασφαλείας.</p><p>Κατάλληλο για παιδιά από 3 ετών και άνω.</p>,ΠΑΙΧΝΙΔΙΑ>Τηλεκατευθυνόμενα παιχνίδια
37230,Τηλεκατευθυνόμενο αυτοκίνητο - 2.4G - ,Τηλεκατευθυνόμενο αυτοκίνητο - 2.4G - DH666-58 - 236582,in stock,new,27 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/236582.jpg,OEM,No Color,2.5,<p>Τηλεκατευθυνόμενο αγωνιστικό αυτοκίνητο υψηλών ταχυτήτων για ατελείωτους αγώνες δρόμου με τη παρέα σου!</p><ul><li>Διαστάσεις συσκευασίας: 31 x 15.5 x 15cm</li><li>Διαστάσεις αυτοκινήτου: 23 x 11 x 6.5cm</li></ul><p>Πληροί όλα τα πρότυπα ασφαλείας.</p><p>Κατάλληλο για παιδιά από 3 ετών και άνω.</p>,ΠΑΙΧΝΙΔΙΑ>Τηλεκατευθυνόμενα παιχνίδια
37231,Τηλεκατευθυνόμενο αυτοκίνητο - USB - C,Τηλεκατευθυνόμενο αυτοκίνητο - USB - CQ-616 ω - 398005,in stock,new,14.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/398005.jpg,OEM,No Color,2.5,"<p>Τηλεκατευθυνόμενο αυτοκίνητο ανώμαλων δρόμων, με ανθεκτική κατασκευή και μεγάλες ρόδες για να μην το σταματάει τίποτα! Ετοιμάσου για συναρπαστικούς αγώνες δρόμου με τους φίλους σου!</p><ul><li>Διαστάσεις συσκευασίας: 34 x 14 x 16cm</li><li>Διαστάσεις αυτοκινήτου: 20.5 x 11 x 11.5cm</li></ul><p>Πληροί όλα τα πρότυπα ασφαλείας.</p><p>Κατάλληλο για παιδιά από 3 ετών και άνω.</p>",ΠΑΙΧΝΙΔΙΑ>Τηλεκατευθυνόμενα παιχνίδια
37244,Τηλεκατευθυνόμενη μοτοσικλέτα-Ρομ�,Τηλεκατευθυνόμενη μοτοσικλέτα-Ρομποτ - GCC-HD3733 - 451251,in stock,new,45 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/451251.jpg,OEM,No Color,2.5,<p>Τηλεκατευθυνόμενη μοτοσικλέτα που μετασχηματίζεται εντυπωσιακά σε ρομπότ.<br />Δώσε τη μορφή που θέλεις στο παιχνίδι σου δημιουργικά και ετοιμάσου για ατελείωτα παιχνίδια δράσης και ταχύτητας με τους φίλους σου.</p><p>Διαστάσεις συσκευασίας: 30 x 19 x 15cm</p><p>Πληροί όλα τα πρότυπα ασφαλείας.</p><p>Κατάλληλο για παιδιά από 3 ετών και άνω.</p>,ΠΑΙΧΝΙΔΙΑ>Τηλεκατευθυνόμενα παιχνίδια
