id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
35152,Επιτραπέζιο ρολόι - Ξυπνητήρι - 116023,Επιτραπέζιο ρολόι - Ξυπνητήρι - 116023,in stock,new,2.7 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/116023.png,OEM,No Color,0.4,<p>Μίνι επιτραπέζιο ρολόι-ξυπνητήρι με μοντέρνο σχεδιασμό.</p><p>Λειτουργεί με 2 μπαταρίες ΑΑ (δεν συμπεριλαμβάνονται).</p>,ΡΟΛΟΓΙΑ>Ξυπνητήρια>Αναλογικά ξυπνητήρια
35352,Επιτραπέζιο ρολόι - Ξυπνητήρι - 412797,Επιτραπέζιο ρολόι - Ξυπνητήρι - 412797,in stock,new,2.7 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/412797.A279.jpg,OEM,No Color,0.4,<p>Μίνι επιτραπέζιο ρολόι-ξυπνητήρι με μοντέρνο σχεδιασμό.</p><p>Λειτουργεί με 2 μπαταρίες ΑΑ (δεν συμπεριλαμβάνονται).</p>,ΡΟΛΟΓΙΑ>Ξυπνητήρια>Αναλογικά ξυπνητήρια
36076,Επιτραπέζιο ρολόι - Ξυπνητήρι - 502793,Επιτραπέζιο ρολόι - Ξυπνητήρι - 502793,in stock,new,2.7 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/710507.HA-665.jpg,OEM,No Color,0.4,"<p>Μίνι επιτραπέζιο ρολόι-ξυπνητήρι με μοντέρνο σχεδιασμό.</p><p>Λειτουργεί με 2 μπαταρίες ΑΑ (δεν συμπεριλαμβάνονται).<br />Διαστάσεις: 15 x 9 x 4cm</p><p>Διαθέσιμα χρώματα: <strong>πράσινο, μπλε, κόκκινο</strong> - Σημειώστε το χρώμα προτίμησής σας στις σημειώσεις παραγγελίας - Αποστολή κατόπιν διαθεσιμότητας.</p>",ΡΟΛΟΓΙΑ>Ξυπνητήρια>Αναλογικά ξυπνητήρια
36697,Επιτραπέζιο ρολόι - Ξυπνητήρι - 6632 - 0,Επιτραπέζιο ρολόι - Ξυπνητήρι - 6632 - 066321,in stock,new,3.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/1106_066321.jpg,OEM,No Color,0.2,<p>Επιτραπέζιο ρολόι-ξυπνητήρι με μοντέρνο σχεδιασμό</p>,ΡΟΛΟΓΙΑ>Ξυπνητήρια>Αναλογικά ξυπνητήρια
36698,Επιτραπέζιο ρολόι - Ξυπνητήρι - 510 - 21,Επιτραπέζιο ρολόι - Ξυπνητήρι - 510 - 212545,in stock,new,3.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/1106_212545.jpg,OEM,No Color,0.2,<p>Επιτραπέζιο ρολόι-ξυπνητήρι με μοντέρνο σχεδιασμό</p>,ΡΟΛΟΓΙΑ>Ξυπνητήρια>Αναλογικά ξυπνητήρια
37595,Επιτραπέζιο ρολόι - Ξυπνητήρι - A562 - 6,Επιτραπέζιο ρολόι - Ξυπνητήρι - A562 - 681905 - Black,in stock,new,2.7 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/681905.jpg,OEM,No Color,0.3,<p>Επιτραπέζιο ρολόι-ξυπνητήρι με μοντέρνο σχεδιασμό.</p><p>Λειτουργεί με 2 μπαταρίες ΑΑ (δεν συμπεριλαμβάνονται).</p>,ΡΟΛΟΓΙΑ>Ξυπνητήρια>Αναλογικά ξυπνητήρια
37596,Επιτραπέζιο ρολόι - Ξυπνητήρι - 926 - 23,Επιτραπέζιο ρολόι - Ξυπνητήρι - 926 - 239401,in stock,new,2.34 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/239401.jpg,OEM,No Color,0.3,<p>Μίνι επιτραπέζιο ρολόι-ξυπνητήρι με μοντέρνο σχεδιασμό.</p><p>Λειτουργεί με 2 μπαταρίες ΑΑ (δεν συμπεριλαμβάνονται).</p>,ΡΟΛΟΓΙΑ>Ξυπνητήρια>Αναλογικά ξυπνητήρια
37597,Επιτραπέζιο ρολόι - Ξυπνητήρι - 930 - 23,Επιτραπέζιο ρολόι - Ξυπνητήρι - 930 - 239302,in stock,new,2.34 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/239302.jpg,OEM,No Color,0.3,<p>Μίνι επιτραπέζιο ρολόι-ξυπνητήρι με μοντέρνο σχεδιασμό.</p><p>Λειτουργεί με 2 μπαταρίες ΑΑ (δεν συμπεριλαμβάνονται).</p>,ΡΟΛΟΓΙΑ>Ξυπνητήρια>Αναλογικά ξυπνητήρια
37598,Επιτραπέζιο ρολόι - Ξυπνητήρι - TX222 - ,Επιτραπέζιο ρολόι - Ξυπνητήρι - TX222 - 808753,in stock,new,3.96 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/1106_808753-1.jpg,OEM,No Color,0.3,"<p>Επιτραπέζιο ρολόι-ξυπνητήρι με μοντέρνο σχεδιασμό.</p><p>Λειτουργεί με 2 μπαταρίες ΑΑ (δεν συμπεριλαμβάνονται).</p><p>Διαθέσιμα χρώματα: <strong>καφέ, γκρι, μαύρο, πράσινο</strong> - Σημειώστε το χρώμα προτίμησής σας στις σημειώσεις παραγγελίας - Αποστολή κατόπιν διαθεσιμότητας.</p>",ΡΟΛΟΓΙΑ>Ξυπνητήρια>Αναλογικά ξυπνητήρια
37599,Επιτραπέζιο ρολόι - Ξυπνητήρι - 927 - 23,Επιτραπέζιο ρολόι - Ξυπνητήρι - 927 - 239265,in stock,new,2.34 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/239265.jpg,OEM,No Color,0.3,<p>Μίνι επιτραπέζιο ρολόι-ξυπνητήρι με μοντέρνο σχεδιασμό.</p><p>Λειτουργεί με 2 μπαταρίες ΑΑ (δεν συμπεριλαμβάνονται).</p>,ΡΟΛΟΓΙΑ>Ξυπνητήρια>Αναλογικά ξυπνητήρια
37821,Επιτραπέζιο ρολόι - Ξυπνητήρι - 6631 - 0,Επιτραπέζιο ρολόι - Ξυπνητήρι - 6631 - 066314 - White,in stock,new,2.7 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/066314.jpg,OEM,No Color,0.3,<p>Επιτραπέζιο ρολόι-ξυπνητήρι με μοντέρνο σχεδιασμό.</p><p>Λειτουργεί με 2 μπαταρίες ΑΑ (δεν συμπεριλαμβάνονται).</p>,ΡΟΛΟΓΙΑ>Ξυπνητήρια>Αναλογικά ξυπνητήρια
38091,Επιτραπέζιο ρολόι - Ξυπνητήρι - AS204 - ,Επιτραπέζιο ρολόι - Ξυπνητήρι - AS204 - 802041,in stock,new,4.5 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/1106_802041-1.jpg,OEM,No Color,0.2,"<p>Επιτραπέζιο ρολόι-ξυπνητήρι με μοντέρνο σχεδιασμό.</p><p>Λειτουργεί με 2 μπαταρίες ΑΑ (δεν συμπεριλαμβάνονται).</p><p>Διαθέσιμα χρώματα: <strong>καφέ, μπλε, πράσινο</strong> - Σημειώστε το χρώμα προτίμησής σας στις σημειώσεις παραγγελίας - Αποστολή κατόπιν διαθεσιμότητας.</p>",ΡΟΛΟΓΙΑ>Ξυπνητήρια>Αναλογικά ξυπνητήρια
