id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
36084,Σετ παθητικής γυμναστικής - Monlove - 5 In,Σετ παθητικής γυμναστικής - Monlove - 5 In 1 - Smart Fitness - 800225,in stock,new,18 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/800225.jpeg,OEM,No Color,1.0,"<p>Γυμναστείτε ξεκούραστα και αποτελεσματικά στο σπίτι σας! Στοχεύστε στα σημεία που εσείς επιθυμείτε, ενδυναμώστε τους μύες σας, αυξήστε την καύση θερμίδων και χάστε γρήγορα πόντους!</p><p>Πέντε ειδικά σχεδιασμένοι ιμάντες για να εφαρμόζουν τέλεια σε κοιλιακούς, αυχένα, χέρια, πόδια και γλουτούς.</p><p><strong>Χαρακτηριστικά</strong>:</p><ul><li>6 modes</li><li>Αντίστροφη μέτρηση 12 m</li><li>Μέγιστη διάρκεια χρήσης είναι 1-2 φορές την ημέρα από 12m.</li><li>Περιλαμβάνονται 5 τεμάχια</li></ul>",ΥΓΕΙΑ - ΟΜΟΡΦΙΑ  Fitness>Είδη γυμναστικής
36085,Σετ παθητικής γυμναστικής - EMS - 3 In 1 -,Σετ παθητικής γυμναστικής - EMS - 3 In 1 - Smart Fitness - 800119,in stock,new,10.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/800119.jpg,OEM,No Color,1.0,"<p>Γυμναστείτε ξεκούραστα και αποτελεσματικά στο σπίτι σας! Στοχεύστε στα σημεία που εσείς επιθυμείτε, ενδυναμώστε τους μύες σας, αυξήστε την καύση θερμίδων και χάστε γρήγορα πόντους!<br />Ειδικός σχεδιασμός για να εφαρμόζει τέλεια σε κοιλιά, μπράτσα και πόδια.</p><p><strong>Χαρακτηριστικά</strong>:</p><ul><li>6 modes</li><li>10 επίπεδα έντασης</li><li>Αντίστροφη μέτρηση 10m</li><li>Μέγιστη διάρκεια χρήσης: 2-3 φορές την ημέρα από 10 λεπτά.</li></ul>",ΥΓΕΙΑ - ΟΜΟΡΦΙΑ  Fitness>Είδη γυμναστικής
36616,Συσκευή εκγύμνασης γλουτών - EMS Hips Tra,Συσκευή εκγύμνασης γλουτών - EMS Hips Trainer - 132106,in stock,new,5.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/1305_413008.jpg,OEM,No Color,1.0,"<div class=""irc_mimg irc_hic""><p>Επαναφέρετε τη νεανική όψη και τη σφριγηλότητα στους γλουτούς σας με λίγα λεπτά παθητικής γυμναστικής την ημέρα οικονομικά και ξεκούραστα από την άνεση του σπιτιού σας. Στοχευμένη εξάσκηση με εναλασσόμενα προγράμματα μυοδιέγερσης για σύσφιξη και κάψιμου λίπους.</p></div><div>Το σύστημα εκγύμνασης EMS Hips Trainer για την απαιτητική περιοχή των γλουτών, προσφέρει απώλεια πόντων, σύσφιξη και τόνωση, χάρη στην ηλεκτρομυϊκή διέγερση που έκαναν δημοφιλή την σειρά προϊόντων EMS.</div><div>Στοχευμένη προπόνηση με γρήγορα αποτελέσματα!</div><div> </div><div><strong>Τρόπος χρήσης:</strong></div><ul><li>Τοποθετήστε τα gel pads στα σημεία των γλουτών</li><li>Ενεργοποιήστε την συσκευή</li><li>Επιλέξτε ένα από τα 6 Modes που θέλετε και την ένταση</li><li>Το πρόγραμμα θα διαρκέσει για 10m</li><li>Μέγιστη διάρκεια χρήσης είναι 2-3 φορές την ημέρα από 10m</li><li>Λειτουργεί με 2 μπαταρίες ΑΑΑ (δεν περιλαμβάνονται)</li></ul>",ΥΓΕΙΑ - ΟΜΟΡΦΙΑ  Fitness>Είδη γυμναστικής
57487,Βαράκι γυμναστικής αντιολισθητικό ,Βαράκι γυμναστικής αντιολισθητικό - 10kg,in stock,new,27 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/1ddada90689493cd0857119833613c05.jpg,OEM,No Color,10.0,"Βαράκι εκγύμνασης - Vinyl dumbbell 10KG. Ιδανικός αλτήρας για τη βελτίωση των επιπέδων φυσικής κατάστασης, την ενδυνάμωση, και τη βελτίωση της αντοχής. Είναι επικαλυμμένο με βινύλιο, για αντιολισθητικό, σταθερό κράτημα, προστασία του δαπέδου από ζημιές και προστασία από τη φθορά του αλτήρα. Διαθέτει εργονομικές λαβές και εξάγωνο σχήμα για τη μη ολίσθηση του. Κατάλληλο για επαγγελματική ή οικιακή χρήση. Βάρος: 10kg.",ΥΓΕΙΑ - ΟΜΟΡΦΙΑ  Fitness>Είδη γυμναστικής
57490,Βαράκι γυμναστικής αντιολισθητικό ,Βαράκι γυμναστικής αντιολισθητικό - 8kg,in stock,new,23.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/8kg.png,OEM,No Color,8.0,"Βαράκι εκγύμνασης - Vinyl dumbbell 8KG. Ιδανικός αλτήρας για τη βελτίωση των επιπέδων φυσικής κατάστασης, την ενδυνάμωση, και τη βελτίωση της αντοχής. Είναι επικαλυμμένο με βινύλιο, για αντιολισθητικό, σταθερό κράτημα, προστασία του δαπέδου από ζημιές και προστασία από τη φθορά του αλτήρα. Διαθέτει εργονομικές λαβές και εξάγωνο σχήμα για τη μη ολίσθηση του. Κατάλληλο για επαγγελματική ή οικιακή χρήση. Βάρος: 8kg.",ΥΓΕΙΑ - ΟΜΟΡΦΙΑ  Fitness>Είδη γυμναστικής
57493,Βαράκι γυμναστικής αντιολισθητικό ,Βαράκι γυμναστικής αντιολισθητικό - 7kg,in stock,new,21.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/7kg.png,OEM,No Color,7.0,"Βαράκι εκγύμνασης - Vinyl dumbbell 7KG. Ιδανικός αλτήρας για τη βελτίωση των επιπέδων φυσικής κατάστασης, την ενδυνάμωση, και τη βελτίωση της αντοχής. Είναι επικαλυμμένο με βινύλιο, για αντιολισθητικό, σταθερό κράτημα, προστασία του δαπέδου από ζημιές και προστασία από τη φθορά του αλτήρα. Διαθέτει εργονομικές λαβές και εξάγωνο σχήμα για τη μη ολίσθηση του. Κατάλληλο για επαγγελματική ή οικιακή χρήση. Βάρος: 7kg.",ΥΓΕΙΑ - ΟΜΟΡΦΙΑ  Fitness>Είδη γυμναστικής
57496,Βαράκι γυμναστικής αντιολισθητικό ,Βαράκι γυμναστικής αντιολισθητικό - 6kg - 331794,in stock,new,21.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/331794.png,OEM,No Color,6.0,"Βαράκι εκγύμνασης - Vinyl dumbbell 6KG. Ιδανικός αλτήρας για τη βελτίωση των επιπέδων φυσικής κατάστασης, την ενδυνάμωση, και τη βελτίωση της αντοχής. Είναι επικαλυμμένο με βινύλιο, για αντιολισθητικό, σταθερό κράτημα, προστασία του δαπέδου από ζημιές και προστασία από τη φθορά του αλτήρα. Διαθέτει εργονομικές λαβές και εξάγωνο σχήμα για τη μη ολίσθηση του. Κατάλληλο για επαγγελματική ή οικιακή χρήση. Βάρος: 6kg.",ΥΓΕΙΑ - ΟΜΟΡΦΙΑ  Fitness>Είδη γυμναστικής
57511,Βαράκι γυμναστικής αντιολισθητικό ,Βαράκι γυμναστικής αντιολισθητικό - 1kg - 331749,in stock,new,3.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/331749.png,OEM,No Color,1.0,"Βαράκι εκγύμνασης - Vinyl dumbbell 1KG. Ιδανικός αλτήρας για τη βελτίωση των επιπέδων φυσικής κατάστασης, την ενδυνάμωση, και τη βελτίωση της αντοχής. Είναι επικαλυμμένο με βινύλιο, για αντιολισθητικό, σταθερό κράτημα, προστασία του δαπέδου από ζημιές και προστασία από τη φθορά του αλτήρα. Διαθέτει εργονομικές λαβές και εξάγωνο σχήμα για τη μη ολίσθηση του. Κατάλληλο για επαγγελματική ή οικιακή χρήση. Βάρος: 1kg.",ΥΓΕΙΑ - ΟΜΟΡΦΙΑ  Fitness>Είδη γυμναστικής
57517,Πολυλειτουργικό λάστιχο εκγύμναση�,Πολυλειτουργικό λάστιχο εκγύμνασης - 331282,in stock,new,4.5 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/331282.png,OEM,No Color,2.0,"Πολυλειτουργικό λάστιχο αντίστασης για την εκγύμναση όλου του σώματος καθώς προσφέρει τη δυνατότητα πολλαπλών ασκήσεων, μεγάλων και μικρών εκτάσεων, για εκγύμναση όλων των μυϊκών ομάδων και ειδικότερα του κορμού και των χεριών.
Οι ειδικές λαβές παρέχουν ασφάλεια, σταθερότητα και καλύτερο «κράτημα» κατά τη διάρκεια εκτέλεσης των ασκήσεων - δεν γλιστρούν στα χέρια.
Καταλαμβάνει ελάχιστο όγκο, και μπορεί να μεταφερθεί εύκολα, για να το έχετε πάντα μαζί σας.",ΥΓΕΙΑ - ΟΜΟΡΦΙΑ  Fitness>Είδη γυμναστικής
57520,Ελατήριο εκγύμνασης στήθους/πλάτης,Ελατήριο εκγύμνασης στήθους/πλάτης - Chest Expander Multifunction - 331244,in stock,new,7.2 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/331244.png,OEM,No Color,2.0,"Ελατήριο εκγύμνασης στήθους/πλάτης - Chest expander, με 5 αφαιρούμενα ελατήρια για την ρύθμιση της αντίστασης που επιθυμείτε. Με εργονομικές λαβές, προσφέρει δυνατότητα πολλαπλών ασκήσεων και ενδυναμώνει αποτελεσμάτικα στήθος, πλάτη και χέρια.",ΥΓΕΙΑ - ΟΜΟΡΦΙΑ  Fitness>Είδη γυμναστικής
