id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
35345,Πρίζα Ethernet με 2 εισόδους – TL-3615,Πρίζα Ethernet με 2 εισόδους – TL-3615,in stock,new,8.1 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/doubleethernetsocket.jpg,OEM,No Color,0.3,Πρίζα ethernet με 2 εισόδους – TL-3615,ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Είδη φωτισμού  αναλώσιμα>Πρίζες  διακόπτες
35553,Πρίζα 3X - EU Plug - Power Cube - LD001,Πρίζα 3X - EU Plug - Power Cube - LD001,in stock,new,4.5 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/675039.jpg,OEM,No Color,0.3,<p>Πολύπριζο κύβος με 4 θέσεις πρίζας. <br />Οι θύρες είναι τύπου EU Plug.</p>,ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Είδη φωτισμού  αναλώσιμα>Πρίζες  διακόπτες
35554,Πρίζα τηλεφώνου - Διπλή - 674964,Πρίζα τηλεφώνου - Διπλή - 674964,in stock,new,4.5 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2809_674964.jpg,OEM,No Color,0.3,<p>Εύκολη εγκατάσταση - Υψηλής ποιότητας πλαστικό υλικό.</p>,ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Είδη φωτισμού  αναλώσιμα>Πρίζες  διακόπτες
36307,Πρίζα Ethernet - Μονή - White - 068165,Πρίζα Ethernet - Μονή - White - 068165,in stock,new,8.1 EUR,,,OEM,No Color,0.1,Πρίζα Ethernet τοίχου - Μονή - White - Εύκολη τοποθέτηση,ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Είδη φωτισμού  αναλώσιμα>Πρίζες  διακόπτες
37313,Εντοιχιζόμενος ρυθμιστής στροφών α,Εντοιχιζόμενος ρυθμιστής στροφών αέρα - 400VA - 220V - Silver - 071949,in stock,new,9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/071949.png,OEM,No Color,0.1,"<p>Εντοιχιζόμενος ρυθμιστής στροφών αέρα - 400VA - 220V, το πακέτο διαθέτει όλα τα απαιτούμενα μέρη για εύκολη και ασφαλή εγκατάσταση.</p><p>Χρώμα: Ασημί</p>",ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Είδη φωτισμού  αναλώσιμα>Πρίζες  διακόπτες
37314,Εντοιχιζόμενος ρυθμιστής στροφών α,Εντοιχιζόμενος ρυθμιστής στροφών αέρα - 400VA - 220V - Champagne - 071932,in stock,new,9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/071932.png,OEM,No Color,0.1,"<p>Εντοιχιζόμενος ρυθμιστής στροφών αέρα - 400VA - 220V, το πακέτο διαθέτει όλα τα απαιτούμενα μέρη για εύκολη και ασφαλή εγκατάσταση.</p><p>Χρώμα: Μπεζ Champagne</p>",ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Είδη φωτισμού  αναλώσιμα>Πρίζες  διακόπτες
37315,Εντοιχιζόμενος ρυθμιστής στροφών α,Εντοιχιζόμενος ρυθμιστής στροφών αέρα - 400VA - 220V - White - 071929,in stock,new,9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/071929.png,OEM,No Color,0.1,"<p>Εντοιχιζόμενος ρυθμιστής στροφών αέρα - 400VA - 220V, το πακέτο διαθέτει όλα τα απαιτούμενα μέρη για εύκολη και ασφαλή εγκατάσταση.<br />Χρώμα: White</p>",ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Είδη φωτισμού  αναλώσιμα>Πρίζες  διακόπτες
37316,Εντοιχιζόμενος ρυθμιστής στροφών α,Εντοιχιζόμενος ρυθμιστής στροφών αέρα - 400VA - 220V - Pearl - 071918,in stock,new,9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/071929.png,OEM,No Color,0.1,"<p>Εντοιχιζόμενος ρυθμιστής στροφών αέρα - 400VA - 220V, το πακέτο διαθέτει όλα τα απαιτούμενα μέρη για εύκολη και ασφαλή εγκατάσταση.<br /> Χρώμα: Pearl white</p>",ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Είδη φωτισμού  αναλώσιμα>Πρίζες  διακόπτες
37552,Πρίζα τηλεφώνου - 3617 - 068158,Πρίζα τηλεφώνου - 3617 - 068158,in stock,new,3.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/068158-1.jpg,OEM,No Color,0.2,"<p>Πρίζα τηλεφώνου, μονή.<br />Διαστάσεις: 8.5 x 8.5 x 0.7cm<br />Χρώμα: Λευκό</p>",ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Είδη φωτισμού  αναλώσιμα>Πρίζες  διακόπτες
37989,Πρίζα κεραίας τηλεόρασης - RC3629 - 674998,Πρίζα κεραίας τηλεόρασης - RC3629 - 674998,in stock,new,4.5 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/674998.jpg,OEM,No Color,0.2,"<p>Πρίζα κεραίας τηλεόρασης τοίχου, χωνευτή - RC3629.</p>",ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Είδη φωτισμού  αναλώσιμα>Πρίζες  διακόπτες
