id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
36503,Ταινία LED – LED Strip - IP55 - 5m - Warm white - 789028,Ταινία LED – LED Strip - IP55 - 5m - Warm white - 789028,in stock,new,9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/εικόνα_Viber_2021-03-21_16-18-16.jpg,OEM,No Color,0.2,<p>Ταινία LED σε θερμό λευκό χρώμα.</p><ul><li>Ισχύς: 7.2W</li><li>Τάση: 12V</li><li>Μήκος: 5μ</li><li>Το τροφοδοτικό δεν περιλαμβάνεται</li></ul>,ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Είδη φωτισμού  αναλώσιμα>Ταινίες LED
36504,Ταινία LED – LED Strip - IP65 - 5m - Warm white - 891205,Ταινία LED – LED Strip - IP65 - 5m - Warm white - 891205,in stock,new,12.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/εικόνα_Viber_2021-03-21_16-19-04.jpg,OEM,No Color,0.2,<p>Ταινία LED σε θερμό λευκό χρώμα.</p><ul><li>Ισχύς: 14.4W</li><li>Τάση: 12V</li><li>Μήκος: 5μ</li><li>Το τροφοδοτικό δεν περιλαμβάνεται</li></ul>,ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Είδη φωτισμού  αναλώσιμα>Ταινίες LED
36505,Ταινία LED – LED Strip - IP65 - 5m - Pink - 891207,Ταινία LED – LED Strip - IP65 - 5m - Pink - 891207,in stock,new,12.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/891207.jpg,OEM,No Color,0.2,<p>Ταινία LED σε μπλε χρώμα.</p><ul><li>Ισχύς: 14.4W</li><li>Τάση: 12V</li><li>Μήκος: 5μ</li><li>Το τροφοδοτικό δεν περιλαμβάνεται</li></ul>,ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Είδη φωτισμού  αναλώσιμα>Ταινίες LED
36506,Ταινία LED – LED Strip - IP65 - 5m - Warm white - 891209,Ταινία LED – LED Strip - IP65 - 5m - Warm white - 891209,in stock,new,9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/εικόνα_Viber_2021-03-21_16-35-36.jpg,OEM,No Color,0.2,<p>Ταινία LED σε θερμό λευκό χρώμα.</p><ul><li>Ισχύς: 7.2W</li><li>Τάση: 12V</li><li>Μήκος: 5μ</li><li>Το τροφοδοτικό δεν περιλαμβάνεται</li></ul>,ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Είδη φωτισμού  αναλώσιμα>Ταινίες LED
36508,Ταινία LED – LED Strip - IP20 - 5m - Warm white - 789026,Ταινία LED – LED Strip - IP20 - 5m - Warm white - 789026,in stock,new,9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/εικόνα_Viber_2021-03-21_16-29-50.jpg,OEM,No Color,0.2,<p>Ταινία LED σε θερμό λευκό χρώμα.</p><ul><li>Ισχύς: 7.2W</li><li>Τάση: 12V</li><li>Μήκος: 5μ</li><li>Το τροφοδοτικό δεν περιλαμβάνεται</li></ul>,ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Είδη φωτισμού  αναλώσιμα>Ταινίες LED
37646,Ταινία LED – LED Strip - IP65 - 5m - Blue - 789011,Ταινία LED – LED Strip - IP65 - 5m - Blue - 789011,in stock,new,12.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/εικόνα_Viber_2021-03-21_16-22-15.jpg,OEM,No Color,0.2,<p>Ταινία LED σε μπλε χρώμα.</p><ul><li>Ισχύς: 14.4W</li><li>Τάση: 12V</li><li>Μήκος: 5μ</li><li>Το τροφοδοτικό δεν περιλαμβάνεται</li></ul>,ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Είδη φωτισμού  αναλώσιμα>Ταινίες LED
104946,Ταινία LED – LED Strip - 220V - 5050 - 60D - RGB - 432036,Ταινία LED – LED Strip - 220V - 5050 - 60D - RGB - 432036,in stock,new,1.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/4757048dcee4301e039f9ab795210a7c.jpg,OEM,No Color,1.0,Ταινία LED 220V - RGB. *Η τιμή αφορά στο 1 μέτρο. Η ταινία μπορεί να κοπεί ανά 1 μέτρο.,ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Είδη φωτισμού  αναλώσιμα>Ταινίες LED
104949,Ταινία LED – LED Strip - 220V - 2835 - 276D - Warm White ,Ταινία LED – LED Strip - 220V - 2835 - 276D - Warm White - 432005,in stock,new,1.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/33ed415c10a975609a851f0069da6c0c.jpg,OEM,No Color,1.0,Ταινία LED 220V - Warm White. *Η τιμή αφορά στο 1 μέτρο. Η ταινία μπορεί να κοπεί ανά 1 μέτρο.,ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Είδη φωτισμού  αναλώσιμα>Ταινίες LED
104952,Ταινία LED – LED Strip - 220V - 2835 - 276D - White - 431,Ταινία LED – LED Strip - 220V - 2835 - 276D - White - 431992,in stock,new,1.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/b2bb765a01b12eff7ffe6daaf03ed493.jpg,OEM,No Color,1.0,Ταινία LED 220V - White . *Η τιμή αφορά στο 1 μέτρο. Η ταινία μπορεί να κοπεί ανά 1 μέτρο.,ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Είδη φωτισμού  αναλώσιμα>Ταινίες LED
104955,Ταινία LED – LED Strip - 220V - 2835 - 180D - White - 431,Ταινία LED – LED Strip - 220V - 2835 - 180D - White - 431961,in stock,new,1.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/7f413902aa353ce08b6120d5a7909a6b.jpg,OEM,No Color,1.0,Ταινία LED 220V - White. *Η τιμή αφορά στο 1 μέτρο. Η ταινία μπορεί να κοπεί ανά 1 μέτρο.,ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Είδη φωτισμού  αναλώσιμα>Ταινίες LED
104958,Ταινία LED – LED Strip - 220V - 2835 - 120D - White - 431,Ταινία LED – LED Strip - 220V - 2835 - 120D - White - 431947,in stock,new,1.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/cb152bbf4ec620b8f28b28aeb115f79a.jpg,OEM,No Color,1.0,Ταινία LED 220V - White. *Η τιμή αφορά στο 1 μέτρο. Η ταινία μπορεί να κοπεί ανά 1 μέτρο.,ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Είδη φωτισμού  αναλώσιμα>Ταινίες LED
104961,Ταινία LED – LED Strip - 220V - 2835 - 120D - Cool White ,Ταινία LED – LED Strip - 220V - 2835 - 120D - Cool White - 431930,in stock,new,1.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/89ab63f6fc43a854cf11635cfbe4fccc.jpg,OEM,No Color,1.0,Ταινία LED 220V - Cool White. *Η τιμή αφορά στο 1 μέτρο. Η ταινία μπορεί να κοπεί ανά 1 μέτρο.,ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Είδη φωτισμού  αναλώσιμα>Ταινίες LED
104964,Ταινία LED – LED Strip - 220V - 2835 - 120D - White - 431,Ταινία LED – LED Strip - 220V - 2835 - 120D - White - 431923,in stock,new,1.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/416b52769e2ec63bcf42be1f88a07474.jpg,OEM,No Color,1.0,Ταινία LED 220V - White. *Η τιμή αφορά στο 1 μέτρο. Η ταινία μπορεί να κοπεί ανά 1 μέτρο.,ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Είδη φωτισμού  αναλώσιμα>Ταινίες LED
104967,Ταινία LED – LED Strip - 220V-2835-120D - Cool White - 43,Ταινία LED – LED Strip - 220V-2835-120D - Cool White - 431916,in stock,new,1.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/804761ce651321e6d1c4b1ca39ae7d06.jpg,OEM,No Color,1.0,Ταινία LED 220V - Cool White. *Η τιμή αφορά στο 1 μέτρο. Η ταινία μπορεί να κοπεί ανά 1 μέτρο.,ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Είδη φωτισμού  αναλώσιμα>Ταινίες LED
104970,Ταινία LED – LED Strip - 220V-2835-120D - Warm White - 43,Ταινία LED – LED Strip - 220V-2835-120D - Warm White - 431909,in stock,new,1.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/f7cd275727440c1c5e08ea64e773b961.jpg,OEM,No Color,1.0,Ταινία LED 220V - Warm White. *Η τιμή αφορά στο 1 μέτρο. Η ταινία μπορεί να κοπεί ανά 1 μέτρο.,ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Είδη φωτισμού  αναλώσιμα>Ταινίες LED
104973,Ταινία LED – LED Strip - 220V-2835-120D - Cool White - 43,Ταινία LED – LED Strip - 220V-2835-120D - Cool White - 431893,in stock,new,1.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/1cd73a5cb01b9668e33eea3e3092d7a7.jpg,OEM,No Color,1.0,Ταινία LED 220V - Cool White. *Η τιμή αφορά στο 1 μέτρο. Η ταινία μπορεί να κοπεί ανά 1 μέτρο.,ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Είδη φωτισμού  αναλώσιμα>Ταινίες LED
