id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
36070,Μικρός επιτραπέζιος λαμπτήρας - X-7588,Μικρός επιτραπέζιος λαμπτήρας - X-7588 - USB,in stock,new,2.52 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/15844105680934195.jpg,OEM,No Color,0.2,<p>Σύνδεση μέσω USB</p>,ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Είδη φωτισμού  αναλώσιμα>Φωτιστικά γραφείου  πορτατίφ
38381,Λάμπα LED - USB - 3302 - 800221,Λάμπα LED - USB - 3302 - 800221,in stock,new,1.44 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/800221.jpg,OEM,No Color,0.2,"<p>Mini Λάμπα LED με ενσωματωμένο USB.<br />Τροφοδοτείται μέσω του USB, όταν τοποθετηθεί σε αντάπτορα ή σε θύρα Η/Υ κτλ.<br />Χρώμα φωτισμού: Ψυχρό λευκό<br />Ισχύς: 1W<br />Διαστάσεις: 24 x 7.5cm</p>",ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Είδη φωτισμού  αναλώσιμα>Φωτιστικά γραφείου  πορτατίφ
39615,Επιτραπέζιο διακοσμητικό φωτιστικ�,Επιτραπέζιο διακοσμητικό φωτιστικό LED - Y03 - 291844,in stock,new,14.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/291844.jpg,OEM,No Color,2.0,<p>Επιτραπέζιο διακοσμητικό φωτιστικό σε χρυσό χρώμα. Διαθέτει ενσωματωμένα LED φωτιστικά στοιχεία.</p>,ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Είδη φωτισμού  αναλώσιμα>Φωτιστικά γραφείου  πορτατίφ
39616,Επιτραπέζιο διακοσμητικό φωτιστικ�,Επιτραπέζιο διακοσμητικό φωτιστικό LED - Y07 - 291851,in stock,new,12.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/291851.png,OEM,No Color,1.5,<p>Επιτραπέζιο διακοσμητικό φωτιστικό σε ασημί χρώμα. Διαθέτει ενσωματωμένα LED φωτιστικά στοιχεία.</p>,ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Είδη φωτισμού  αναλώσιμα>Φωτιστικά γραφείου  πορτατίφ
39617,Φωτιστικό γραφείου - Mini Desk Lamp - 4 LED - XY,Φωτιστικό γραφείου - Mini Desk Lamp - 4 LED - XY-0416 - 112203,in stock,new,1.08 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/112203.png,OEM,No Color,0.8,"<p>Λαμπερό, σταθερό και ξεκούραστο φως κατάλληλο για διάβασμα στο γραφείο, στο σπίτι, στο κρεβάτι, στο εργαστήριο. Εύκολο στη μεταφορά - Χρήσιμο σαν φακός μεγάλης φωτεινότητας στο αυτοκίνητο, το σκάφος, το camping κλπ.Ιδανικό για μαθητές, σπουδαστές, εργαζόμενους γραφείου, ταξιδιώτες, ηλικιωμένους κ.α.</p><p>Λειτουργία με 3 μπαταρίες ΑΑΑ (δεν περιλαμβάνονται)</p>",ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Είδη φωτισμού  αναλώσιμα>Φωτιστικά γραφείου  πορτατίφ
56306,Επιτραπέζιο φωτιστικό γραφείου LED - ,Επιτραπέζιο φωτιστικό γραφείου LED - 999 - 113545,in stock,new,11.7 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/113545-PhotoRoom-PhotoRoom.png,OEM,No Color,3.0,<p>Επιτραπέζιο φωτιστικό γραφείου με πλατιά λάμπα LED και μοντέρνο εργονομικό σχεδιασμό με ρυθμιζόμενη κλίση. <br />Διαθέτει 3 επίπεδα φωτισμού. <br />Ισχύς: 5W. <br />Μέγιστο ύψος: 41cm. <br />Διαστάσεις λάμπας: 30x8cm. <br />Διαστάσεις βάσης: 20x15cm.<br />Η λάμπα περιλαμβάνεται.</p>,ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Είδη φωτισμού  αναλώσιμα>Φωτιστικά γραφείου  πορτατίφ
56312,Επιτραπέζιο φωτιστικό γραφείου LED - ,Επιτραπέζιο φωτιστικό γραφείου LED - 999-4 - 113521,in stock,new,9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/113521.png,OEM,No Color,3.0,<p>Επιτραπέζιο φωτιστικό γραφείου με πλατιά λάμπα LED και μοντέρνο εργονομικό σχεδιασμό με ρυθμιζόμενη κλίση. <br />Διαθέτει 3 επίπεδα φωτισμού.<br />Ισχύς: 5W. <br />Μέγιστο ύψος: 43cm. <br />Διαστάσεις λάμπας: 29x8cm. <br />Διαστάσεις βάσης: 21x14cm.<br />Η λάμπα περιλαμβάνεται.<br /><br /></p>,ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Είδη φωτισμού  αναλώσιμα>Φωτιστικά γραφείου  πορτατίφ
56315,Επιτραπέζιο φωτιστικό γραφείου - 602 ,Επιτραπέζιο φωτιστικό γραφείου - 602 - 113507,in stock,new,8.1 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/113507-PhotoRoom-PhotoRoom.png,OEM,No Color,3.0,"Επιτραπέζιο φωτιστικό γραφείου για λάμπα E27, κλασσικού σχεδιασμού, με σπιράλ λαιμό και ρυθμιζόμενη κλίση. Μέγιστο ύψος: 40cm. Διάμετρος καπέλου: 12cm.",ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Είδη φωτισμού  αναλώσιμα>Φωτιστικά γραφείου  πορτατίφ
56318,Επιτραπέζιο φωτιστικό γραφείου - 1820,Επιτραπέζιο φωτιστικό γραφείου - 1820 - 113491,in stock,new,8.1 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/113491-PhotoRoom-PhotoRoom.png,OEM,No Color,3.0,"Επιτραπέζιο φωτιστικό γραφείου για λάμπα E27, κλασσικού σχεδιασμού, με σπιράλ λαιμό και ρυθμιζόμενη κλίση. Μέγιστο ύψος: 40cm. Διάμετρος καπέλου: 12cm.",ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Είδη φωτισμού  αναλώσιμα>Φωτιστικά γραφείου  πορτατίφ
56321,Επιτραπέζιο φωτιστικό γραφείου - 2002,Επιτραπέζιο φωτιστικό γραφείου - 2002 - 113477,in stock,new,7.2 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/113477-PhotoRoom-PhotoRoom.png,OEM,No Color,3.0,"Επιτραπέζιο φωτιστικό γραφείου για λάμπα E27, κλασσικού σχεδιασμού, με σπιράλ λαιμό και ρυθμιζόμενη κλίση. Μέγιστο ύψος: 40cm. Διάμετρος καπέλου: 12cm.",ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Είδη φωτισμού  αναλώσιμα>Φωτιστικά γραφείου  πορτατίφ
56324,Επιτραπέζιο φωτιστικό γραφείου - 2001,Επιτραπέζιο φωτιστικό γραφείου - 2001 - 113460,in stock,new,7.2 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/113460-PhotoRoom-PhotoRoom.png,OEM,No Color,3.0,"Επιτραπέζιο φωτιστικό γραφείου για λάμπα E27, κλασσικού σχεδιασμού, με σπιράλ λαιμό και ρυθμιζόμενη κλίση. Διαθέτει βάση με πρακτικές θήκες αποθήκευσης αξεσουάρ. Μέγιστο ύψος: 40cm. Διάμετρος καπέλου: 12cm.",ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Είδη φωτισμού  αναλώσιμα>Φωτιστικά γραφείου  πορτατίφ
56327,Επιτραπέζιο φωτιστικό - Πορτατίφ - W0,Επιτραπέζιο φωτιστικό - Πορτατίφ - W008 - 113453,in stock,new,7.2 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/113453-PhotoRoom-PhotoRoom.png,OEM,No Color,3.0,Επιτραπέζιο φωτιστικό-Πορτατίφ με minimal μοντέρνο σχεδιασμό που μπορεί να ταιριάξει σε κάθε χώρο. Ντουί λάμπας Ε27.,ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Είδη φωτισμού  αναλώσιμα>Φωτιστικά γραφείου  πορτατίφ
56330,Επιτραπέζιο φωτιστικό - Πορτατίφ - W0,Επιτραπέζιο φωτιστικό - Πορτατίφ - W012 - 113446,in stock,new,7.2 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/113439-PhotoRoom-PhotoRoom.png,OEM,No Color,3.0,Επιτραπέζιο φωτιστικό-Πορτατίφ με minimal μοντέρνο σχεδιασμό που μπορεί να ταιριάξει σε κάθε χώρο. Ντουί λάμπας Ε27.,ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Είδη φωτισμού  αναλώσιμα>Φωτιστικά γραφείου  πορτατίφ
56333,Επιτραπέζιο φωτιστικό - Πορτατίφ - 19,Επιτραπέζιο φωτιστικό - Πορτατίφ - 1908 - 113439,in stock,new,8.1 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/113439-PhotoRoom-PhotoRoom.png,OEM,No Color,3.0,Επιτραπέζιο φωτιστικό-Πορτατίφ με minimal μοντέρνο σχεδιασμό που μπορεί να ταιριάξει σε κάθε χώρο. Ντουί λάμπας Ε27.,ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Είδη φωτισμού  αναλώσιμα>Φωτιστικά γραφείου  πορτατίφ
