id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
36827,Ηλιακός προβολέας LED με πάνελ - 50W - 188,Ηλιακός προβολέας LED με πάνελ - 50W - 188992,in stock,new,72 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/0308_188992.jpg,OEM,No Color,12.0,"<p>Hλιακός Προβολέας 50W LED Με Αισθητήρα Φωτός</p><p>Εκμεταλευτείτε την ηλιακή ενέργεια με τον ηλιακό προβολέα 50W LED και φωτίστε τον χώρο σας εύκολα και οικονομικά.<br />Διαθέτει ενσωματωμένο αισθητήρα φωτός και ενεργοποιείται αυτόματα μόνο όταν σκοτεινιάσει.</p><p>Ιδανική λύση για φωτισμό σε εξοχικά, κήπους, εισόδους, γκαράζ, δένδρα, υπαίθριους χώρους, πάρκινγκ, σκηνές, τροχόσπιτα, σκάφη, αποθήκες κλπ. Ο φωτοβολταϊκός συλλέκτης φορτίζει τις επαναφορτιζόμενες μπαταρίες που συμπεριλαμβάνονται μέσα στον συλλέκτη, παρέχοντας έτσι δωρεάν φωτισμό κατά την διάρκεια της νύχτας.<br />Μπορείτε επίσης να φορτίσετε τον προβολέα σε εξωτερικό χώρο στη συνέχεια να τον χρησιμοποιήσετε σε εσωτερικό χώρο.<br />Η εγκατάσταση του είναι ιδιαίτερα απλή, το ενεργοποιείτε βάζοντας τον διακόπτη στην θέση ON και τοποθετείτε τον συλλέκτη σε μια ηλιόλουστη περιοχή.</p><p>**Ο Φωτοβολταϊκός συλλέκτης πρέπει να τοποθετηθεί σε σημείο που δέχεται όσο το δυνατόν περισσότερη ηλιακή ακτινοβολία. Σκιές από δέντρα ή άλλα αντικείμενα επηρεάζουν την φόρτιση των μπαταριών από τον ηλιακό συλλέκτη.</p><p>Το πακέτο περιλαμβάνει:<br />Το ηλιακό Πάνελ<br />Τον προβολέα<br />Καλώδιο 3 μέτρων για σύνδεση ηλιακού πάνελ με τον προβολέα<br />Ασύρματο κοντρόλ On/Off</p><p>Τεχνικά χαρακτηριστικά:</p><ul><li>Ισχύς:50W</li><li>Χρώμα ψυχρό λευκό (5800-6500K)</li><li>Φωτεινότητα: 5000LM</li><li>Γωνία φωτισμού: 120°</li><li>Βαθμός στεγανότητας (αδιάβροχος): IP65</li><li>Διαστάσεις προβολέα: 23.5 x 28.5 cm</li><li>Διαστάσεις πάνελ: 50 x 34 cm</li><li>Ενεργειακή κλάση: A+</li><li>Διάρκεια ζωής λάμπας: 50,000hrs</li><li>Πιστοποίηση CE & Rohs</li></ul>",ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Συστήματα ηλιακού φωτισμού>Ηλιακοί προβολείς
36848,Ηλιακός προβολέας LED COB & Dummy Camera – T28 ,Ηλιακός προβολέας LED COB & Dummy Camera – T28 – 20W – 235949,in stock,new,12.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/235949-1.jpg,OEM,No Color,1.1,"<div class=""woocommerce-product-details__short-description""><p>Επιτοίχιος ηλιακός προβολέας LED COB με αισθητήρα κίνησης και σχεδιασμό κάμερας ασφαλείας.</p><p>Ισχύς: 20W</p><p>Μπαταρίας: Li-ion battery, 3.7V 2600mAh</p><p>Θερμοκρασία φωτισμού: white(6500k)</p><p>Αυτόματη απενεργοποίηση σε 15-20 δευτερόλεπτα</p><p>Εμβέλεια κίνησης: 120 μοίρες, 4 m</p><p>3 επίπεδα φωτισμού</p><p>Διαστάσεις: 21.5*12.9*10 CM</p></div>",ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Συστήματα ηλιακού φωτισμού>Ηλιακοί προβολείς
36849,Ηλιακός προβολέας LED & Dummy Camera – T28 – ,Ηλιακός προβολέας LED & Dummy Camera – T28 – 20W – 230209,in stock,new,12.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2710_235949-1.jpg,OEM,No Color,1.1,"<p>Επιτοίχιος ηλιακός προβολέας LED με αισθητήρα κίνησης και σχεδιασμό κάμερας ασφαλείας.</p><p>Ισχύς: 20W</p><p>Μπαταρίας: Li-ion battery, 3.7V 2600mAh</p><p>Θερμοκρασία φωτισμού: white(6500k)</p><p>Αυτόματη απενεργοποίηση σε 15-20 δευτερόλεπτα</p><p>Εμβέλεια κίνησης: 120 μοίρες, 4 m</p><p>3 επίπεδα φωτισμού</p><p>Διαστάσεις: 21.5*12.9*10 CM</p>",ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Συστήματα ηλιακού φωτισμού>Ηλιακοί προβολείς
37217,Ηλιακός προβολέας LED με αισθητήρα κ�,Ηλιακός προβολέας LED με αισθητήρα κίνησης - 868 LED - 286811,in stock,new,16.2 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/286811_1009.jpg,OEM,No Color,1.0,"<p>Ηλιακός προβολέας LED με πάνελ φόρτισης, αισθητήρα κίνησης και ισχυρό φωτισμό. Τοποθετείται χωρίς καλώδια και είναι ιδανικό για οικονομικό φωτισμό σε εξωτερικούς χώρους.</p><p>Διαθέτει αισθητήρα κίνησης που ενεργοποιεί αυτόματα το φως μόλις εντοπιστεί κίνηση σε έως και 5 μέτρα απόσταση.</p><p>Ο προβολέας έχει μεγάλη διάμετρο 21cm και φωτίζει αποτελεσματικά σε εύρος 120 μοιρών.</p><p>Με 3 βασικές λειτουργίες:</p><ul><li>-Λειτουργία ασθενούς φωτισμού τη νύχτα και αυτόματη ενεργοποίηση ισχυρού φωτισμού όταν ανιχνεύεται κίνηση.</li><li>-Λειτουργία απενεργοποιημένου φωτισμού τη νύχτα και ενεργοποίηση ισχυρού φωτισμού όταν εντοπίζεται κίνηση</li><li>-Λειτουργία ασθενούς φωτισμού που παραμένει μόνιμα ανοιχτός.</li></ul><p>Κατασκευασμένος από υψηλής ποιότητας πλαστικό ABS, με μεγάλη ανθεκτικότητα στην υγρασία, τη βροχή και τις καιρικές συνθήκες – Αδιαβροχοποήση IP65.</p><p>Τεχνικά χαρακτηριστικά:</p><p>Υλικό: Polycrystalline Silico+ABS<br />Ηλιακό πάνελ: 3.7V, 3W<br />Μπαταρία: Built-in 2 x 3.7V 1500mAh 18650 Lithium Battery<br />Εύρος εντοπισμού αισθητήρα: έως 5m<br />Γωνία φωτισμού: 120°<br />Lumen: 300-400 Lumens<br />Waterproof Grade: IPX65<br />Διαστάσεις: 30 * 21 * 4.5cm<br />Βάρος: 353g</p><p>**Συστήνεται η τοποθέτηση του προβολέα σε ηλιόλουστο μέρος και σε ύψος έως 2.5 μέτρα απ το έδαφος. Η τοποθέτησή του σε σκιερό μέρος θα επηρεάσει σημαντικά τη λειτουργία και την απόδοση του.</p>",ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Συστήματα ηλιακού φωτισμού>Ηλιακοί προβολείς
37218,Ηλιακός προβολέας LED με αισθητήρα κ�,Ηλιακός προβολέας LED με αισθητήρα κίνησης - 868 COB- 286804,in stock,new,16.2 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/286804_1009.jpg,OEM,No Color,1.0,"<div id=""tabs-description"" class=""tab-pane show active"" role=""tabpanel""><p>Ηλιακός προβολέας LED COB με πάνελ φόρτισης, αισθητήρα κίνησης και ισχυρό φωτισμό. Τοποθετείται χωρίς καλώδια και είναι ιδανικό για οικονομικό φωτισμό σε εξωτερικούς χώρους.</p><p>Διαθέτει αισθητήρα κίνησης που ενεργοποιεί αυτόματα το φως μόλις εντοπιστεί κίνηση σε έως και 5 μέτρα απόσταση.</p><p>Ο προβολέας έχει μεγάλη διάμετρο 22cm και φωτίζει αποτελεσματικά σε εύρος 180 μοιρών.</p><p>Με 3 βασικές λειτουργίες:</p><ul><li>-Λειτουργία ασθενούς φωτισμού τη νύχτα και αυτόματη ενεργοποίηση ισχυρού φωτισμού όταν ανιχνεύεται κίνηση.</li><li>-Λειτουργία απενεργοποιημένου φωτισμού τη νύχτα και ενεργοποίηση ισχυρού φωτισμού όταν εντοπίζεται κίνηση</li><li>-Λειτουργία ασθενούς φωτισμού που παραμένει μόνιμα ανοιχτός.</li></ul><p>Κατασκευασμένος από υψηλής ποιότητας πλαστικό ABS, με μεγάλη ανθεκτικότητα στην υγρασία, τη βροχή και τις καιρικές συνθήκες - Αδιαβροχοποήση IP65.</p><p>Τεχνικά χαρακτηριστικά:</p><p>Υλικό: Polycrystalline Silico+ABS <br />Ηλιακό πάνελ: 3.7V, 3W <br />Μπαταρία: Built-in 2 x 3.7V 1500mAh 18650 Lithium Battery <br />Εύρος εντοπισμού αισθητήρα: έως 5m <br />Γωνία φωτισμού: 120°<br />Lumen: 300-400 Lumens<br />Waterproof Grade: IPX65 <br />Διαστάσεις: 30 * 21 * 4.5cm <br />Βάρος: 353g</p><p>**Συστήνεται η τοποθέτηση του προβολέα σε ηλιόλουστο μέρος και σε ύψος έως 2.5 μέτρα απ το έδαφος. Η τοποθέτησή του σε σκιερό μέρος θα επηρεάσει σημαντικά τη λειτουργία και την απόδοση του.</p></div>",ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Συστήματα ηλιακού φωτισμού>Ηλιακοί προβολείς
37776,Ηλιακός προβολέας LED με αισθητήρα κ�,Ηλιακός προβολέας LED με αισθητήρα κίνησης - 8025B - 181304,in stock,new,14.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/181304.jpeg,OEM,No Color,1.0,"<p>Ηλιακός προβολέας LED με αισθητήρα κίνησης και φωτισμό υψηλής ισχύος. Χαρακτηριστικά:  Ενεργοποιείται αυτόματα όταν εντοπίσει κίνηση και απενεργοποιείται μετά από 30sec. Ηλιακό πάνελ: 1,8W, 5V Μπαταρία Li-ion: 2400mah Αδιάβροχοποίηση IP65 Θερμοκρασία χρώματος: 6500K 3 λειτουργίες Τηλεχειριστήριο Χρόνος φόρτισης: 6 ώρες σε πλήρη ηλιοφάνεια Αυτονομία: έως 8 ώρες τη νύχτα Απόσταση ανίχνευσης αισθητήρα: 3 μέτρα Εύρος φωτισμού: 120° Αδιαβροχοποίηση: IP65 Εύκολη εγκατάσταση Βάρος: 460γρ</p>",ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Συστήματα ηλιακού φωτισμού>Ηλιακοί προβολείς
38274,Ηλιακός προβολέας LED με αισθητήρα κ�,Ηλιακός προβολέας LED με αισθητήρα κίνησης - 2168B - COB - 257385,in stock,new,14.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/257385.jpg,OEM,No Color,0.9,"<p>Ηλιακός προβολέας LED COB με πάνελ φόρτισης, αισθητήρα κίνησης και ισχυρό φωτισμό. Τοποθετείται χωρίς καλώδια και είναι ιδανικό για οικονομικό φωτισμό σε εξωτερικούς χώρους.</p><p>Διαθέτει αισθητήρα κίνησης που ενεργοποιεί αυτόματα το φως μόλις εντοπιστεί κίνηση σε έως και 5 μέτρα απόσταση.</p><p>Χαρακτηριστικά:</p><ul><li>Διαστάσεις προβολέα: 18 x 12 x 4.5cm</li><li>Διαστάσεις πάνελ: 16.5 x 9.5 cm</li><li>Tάση λειτουργίας: 5V</li><li class=""pdp-mod-product-badge-title"" data-spm-anchor-id=""a2o4k.pdp_revamp.0.i0.79f120fb1FA0qK"">Waterproof IP65</li><li data-spm-anchor-id=""a2o4k.pdp_revamp.0.i0.79f120fb1FA0qK""><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b ChMk0b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""en"" data-phrase-index=""4"" data-number-of-phrases=""9"">Ηλιακό πάνελ πολυπυριτίου, 5,5V 1,8W</span> </span></li><li data-spm-anchor-id=""a2o4k.pdp_revamp.0.i0.79f120fb1FA0qK""><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b ChMk0b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""en"" data-phrase-index=""6"" data-number-of-phrases=""9"">Μπαταρία λιθίου 3,7V 2400mAh, επαναφορτιζόμενη</span> </span></li><li data-spm-anchor-id=""a2o4k.pdp_revamp.0.i0.79f120fb1FA0qK""><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b ChMk0b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""en"" data-phrase-index=""8"" data-number-of-phrases=""9"">Φόρτιση 6-8 ώρες σε ηλιοφάνεια</span></span></li><li data-spm-anchor-id=""a2o4k.pdp_revamp.0.i0.79f120fb1FA0qK""><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b ChMk0b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""en"" data-phrase-index=""8"" data-number-of-phrases=""9"">Χρόνος λειτουργίας: έως 8 ώρες<br /></span></span></li><li data-spm-anchor-id=""a2o4k.pdp_revamp.0.i0.79f120fb1FA0qK"">Περιλαμβάνεται τηλεχειριστήριο</li></ul>",ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Συστήματα ηλιακού φωτισμού>Ηλιακοί προβολείς
38275,Ηλιακός προβολέας LED με αισθητήρα κ�,Ηλιακός προβολέας LED με αισθητήρα κίνησης - W786-2 - 257330,in stock,new,27 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/257330.jpg,OEM,No Color,2.1,"<p>Ηλιακός προβολέας LED τριών τμημάτων με προσαρμόσιμη θέση, με αισθητήρα κίνησης και ευρεία γωνία φωτισμού. Αδιάβροχος και ανθεκτικός στις καιρικές συνθήκες. Αποτελεί ιδανική λύση για απόλυτα οικονομικό φωτισμό εξωτερικών χώρων.</p><p>Χαρακτηριστικά:</p><ul><li>Χρόνος λειτουργίας: έως 9 ώρες</li><li>Χρόνος φόρτισης: 4-6 ώρες σε ηλιοφάνεια</li><li>Εμβέλεια αισθητήρα κίνησης: έως 6m</li><li>Αυτόματη απενεργοποίηση μετά από 1 λεπτό</li><li>Εύρος φωτισμού: 60m²</li><li>Ip65 Waterproof</li><li>Τηλεχειριστήριο</li><li>Περιλαμβάνονται όλα τα εξαρτήματα εγκατάστασης</li></ul>",ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Συστήματα ηλιακού φωτισμού>Ηλιακοί προβολείς
38282,Ηλιακός προβολέας LED με αισθητήρα κ�,Ηλιακός προβολέας LED με αισθητήρα κίνησης - W789A-4 - 257354,in stock,new,23.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/257354.jpg,OEM,No Color,1.1,"<p>Μεγάλος ηλιακός προβολέας LED με αισθητήρα κίνησης. Φωτίστε οικονομικά οποιονδήποτε εξωτερικό χώρο, με εξολοκλήρου ηλιακή φόρτιση και πανεύκολη τοποθέτηση ασύρματα, χωρίς καλώδια.</p><p>Χαρακτηριστικά:</p><ul><li>Θερμοκρασία φωτισμού: 6500K cool white</li><li>Εύρος φωτισμού: 160 μοίρες</li><li>Εμβέλεια αισθητήρα κίνησης: 6 μέτρα</li><li>Απόσταση φωτισμού: έως 120 μέτρα</li><li>Χρόνος φόρτισης: 8 ώρες σε ηλιοφάνεια</li><li>Χρόνος λειτουργίας: έως 8 ώρες με πλήρη φόρτιση</li><li>Ηλιακό πάνελ 25W Polycrystalline</li><li>Αδιαβροχοποίηση: IP65</li><li>Περιλαμβάνεται τηλεχειριστήριο</li><li>Διαστάσεις προβολέα: 25*11cm</li></ul>",ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Συστήματα ηλιακού φωτισμού>Ηλιακοί προβολείς
38283,Ηλιακός προβολέας LED με αισθητήρα κ�,Ηλιακός προβολέας LED με αισθητήρα κίνησης - VR2202 - 559816,in stock,new,16.2 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/559816.jpg,OEM,No Color,1.0,"<p>Ηλιακός προβολέας LED COB με πάνελ φόρτισης, αισθητήρα κίνησης και ισχυρό φωτισμό. Τοποθετείται χωρίς καλώδια και είναι ιδανικό για οικονομικό φωτισμό σε εξωτερικούς χώρους.</p><p>Διαθέτει αισθητήρα κίνησης που ενεργοποιεί αυτόματα το φως μόλις εντοπιστεί κίνηση σε έως και 5 μέτρα απόσταση.</p><p>Χαρακτηριστικά:</p><ul><li>Διαστάσεις προβολέα: 12 x 24cm</li><li>Tάση λειτουργίας: 5V</li><li class=""pdp-mod-product-badge-title"" data-spm-anchor-id=""a2o4k.pdp_revamp.0.i0.79f120fb1FA0qK"">Waterproof IP65</li><li data-spm-anchor-id=""a2o4k.pdp_revamp.0.i0.79f120fb1FA0qK""><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b ChMk0b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""en"" data-phrase-index=""4"" data-number-of-phrases=""9"">Ηλιακό πάνελ πολυπυριτίου, 5,5V 1,8W</span> </span></li><li data-spm-anchor-id=""a2o4k.pdp_revamp.0.i0.79f120fb1FA0qK""><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b ChMk0b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""en"" data-phrase-index=""6"" data-number-of-phrases=""9"">Μπαταρία λιθίου 3,7V 2400mAh, επαναφορτιζόμενη</span> </span></li><li data-spm-anchor-id=""a2o4k.pdp_revamp.0.i0.79f120fb1FA0qK""><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b ChMk0b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""en"" data-phrase-index=""8"" data-number-of-phrases=""9"">Φόρτιση 6-8 ώρες σε ηλιοφάνεια</span></span></li><li data-spm-anchor-id=""a2o4k.pdp_revamp.0.i0.79f120fb1FA0qK""><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b ChMk0b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""en"" data-phrase-index=""8"" data-number-of-phrases=""9"">Χρόνος λειτουργίας: έως 8 ώρες<br /></span></span></li><li data-spm-anchor-id=""a2o4k.pdp_revamp.0.i0.79f120fb1FA0qK"">Περιλαμβάνεται τηλεχειριστήριο</li></ul>",ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Συστήματα ηλιακού φωτισμού>Ηλιακοί προβολείς
