id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
39192,Επαναφορτιζόμενος φακός LED έκτακτη�,Επαναφορτιζόμενος φακός LED έκτακτης ανάγκης – 8683 - 386832,in stock,new,4.5 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/386832.jpg,OEM,No Color,0.5,"<p>Επαναφορτιζόμενος προβολέας LED έκτακτης ανάγκης, με πρακτικό σχεδιασμό, ιδανικός για χρήση στο camping και σε υπαίθριες δραστηριότητες. Mε κεντρικό φακό COB και 42 LEd's</p><p>Χαρακτηριστικά:</p><ul><li>Αυτονομία μπαταρίας έως 8 ώρες</li><li>3 επίπεδα φωτισμού</li><li>Ενσωματωμένη επαναφορτιζόμενη μπαταρία</li><li>Πλήρης φόρτιση: 12 ώρες (περιλαμβάνεται καλώδιο φόρτισης)</li><li>Διαστάσεις: 26 x 7.5cm</li><li>Λαβή/γάντζος μεταφοράς και κρεμάσματος και βάση στήριξης</li></ul><p> </p>",ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Φακοί>Φακοί έκτακτης ανάγκης
39193,Επαναφορτιζόμενος φακός LED έκτακτη�,Επαναφορτιζόμενος φακός LED έκτακτης ανάγκης – 6866T-1 - 179043,in stock,new,12.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/179043.jpg,OEM,No Color,0.5,"<div class=""vc_tta-panel-body""><p>Επαναφορτιζόμενο φως LED έκτακτης ανάγκης με ηλιακό πάνελ στο πίσω μέρος.</p><p>Χαρακτηριστικά:</p><ul><li>5 επιλογές φωτισμού</li><li>Αριθμός LED: 48</li><li>Φορτίζει μέσω USB ή με το ηλιακό πάνελ που διαθέτει</li><li>Θύρες: USB 2.0 & Micro USB</li><li>Με θερμό και ψυχρό φωτισμό</li><li>Χωρητικότητα μπαταρίας: 3600mAh</li><li>Διάρκεια φόρτισης: 8-12 ώρες</li><li>Διάρκεια λειτουργίας: έως 16 ώρες, ανάλογα με την ένταση φωτισμού</li><li>Πτυσσόμενη χειρολαβή μεταφοράς</li><li>Διαστάσεις: 41 x 9.5 x 7cm</li></ul><p>Περιλαμβάνει:</p><ul><li>Καλώδιο φόρτισης USB</li><li>Βάση στήριξης</li></ul></div>",ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Φακοί>Φακοί έκτακτης ανάγκης
39436,Επαναφορτιζόμενος φακός LED έκτακτη�,Επαναφορτιζόμενος φακός LED έκτακτης ανάγκης – WD-870T – 289072,in stock,new,14.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/289072.png,OEM,No Color,3.5,"<p>Φακός χειρός LED κατάλληλος για χρήση σε δραστηριότητες όπως κατασκήνωση, πεζοπορία, ποδηλασία, κυνήγι, ψάρεμα ή κατά διάρκεια εργασιών.</p><p>Μπαταρία: 3000 mAh επαναφορτιζόμενη, με έως και 15 ώρες αυτονομία στη χαμηλή λειτουργία και έως 3 ώρες στη δυνατή λειτουργία.<br />Ρυθμιζόμενη ένταση φωτισμού με ροδέλα.<br />Πλήρης φόρτιση: 17 ώρες<br />Λαβή μεταφοράς και βάση στήριξης<br />Διαστάσεις: 29 x 10 x 7cm</p>",ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Φακοί>Φακοί έκτακτης ανάγκης
39695,Επαναφορτιζόμενος φακός LED έκτακτη�,Επαναφορτιζόμενος φακός LED έκτακτης ανάγκης – LJ-8860 - 388607,in stock,new,9.9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/388607.png,OEM,No Color,2.5,"<p>Επαναφορτιζόμενο φως έκτακτης ανάγκης LED</p><p>Μπαταρία: 3000 mAh επαναφορτιζόμενη, με έως και 15 ώρες αυτονομία στη χαμηλή λειτουργία και έως 3 ώρες στη δυνατή λειτουργία.<br />3 επίπεδα φωτισμού<br />Πλήρης φόρτιση: 18 ώρες<br />Λαβή μεταφοράς και βάση στήριξης</p>",ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Φακοί>Φακοί έκτακτης ανάγκης
39696,Επαναφορτιζόμενος φακός LED έκτακτη�,Επαναφορτιζόμενος φακός LED έκτακτης ανάγκης – LJ-5906 - 425018,in stock,new,9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/1305_425018-1.jpg,OEM,No Color,2.5,"<p>Επαναφορτιζόμενο φως έκτακτης ανάγκης LED</p><p>Μπαταρία: 3000 mAh επαναφορτιζόμενη, με έως και 15 ώρες αυτονομία στη χαμηλή λειτουργία και έως 3 ώρες στη δυνατή λειτουργία.<br />3 επίπεδα φωτισμού<br />Πλήρης φόρτιση: 18 ώρες<br />Λαβή μεταφοράς και βάση στήριξης</p>",ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Φακοί>Φακοί έκτακτης ανάγκης
96753,Επαναφορτιζόμενος φακός LED έκτακτη�,Επαναφορτιζόμενος φακός LED έκτακτης ανάγκης με ηλιακό πάνελ - 8815B - 200637,in stock,new,9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/200637.jpg,OEM,No Color,1.0,,ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Φακοί>Φακοί έκτακτης ανάγκης
96754,Επαναφορτιζόμενος φακός LED έκτακτη�,Επαναφορτιζόμενος φακός LED έκτακτης ανάγκης με ηλιακό πάνελ - 6855Τ - 200620,in stock,new,12.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/200620.jpg,OEM,No Color,1.0,,ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Φακοί>Φακοί έκτακτης ανάγκης
96755,Επαναφορτιζόμενος φακός LED έκτακτη�,Επαναφορτιζόμενος φακός LED έκτακτης ανάγκης - 25990 - 200606,in stock,new,18 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/200606.jpg,OEM,No Color,1.0,,ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Φακοί>Φακοί έκτακτης ανάγκης
96756,Επαναφορτιζόμενος φακός LED έκτακτη�,Επαναφορτιζόμενος φακός LED έκτακτης ανάγκης - 5920 - 200590,in stock,new,9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/200583.jpg,OEM,No Color,1.0,,ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Φακοί>Φακοί έκτακτης ανάγκης
96757,Επαναφορτιζόμενος φακός LED έκτακτη�,Επαναφορτιζόμενος φακός LED έκτακτης ανάγκης - 5930-2 - 200583,in stock,new,8.1 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/200583.jpg,OEM,No Color,1.0,,ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Φακοί>Φακοί έκτακτης ανάγκης
96758,Επαναφορτιζόμενος φακός LED έκτακτη�,Επαναφορτιζόμενος φακός LED έκτακτης ανάγκης - 8860 - 200576,in stock,new,10.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/200576.jpg,OEM,No Color,1.0,,ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Φακοί>Φακοί έκτακτης ανάγκης
96759,Επαναφορτιζόμενος φακός LED έκτακτη�,Επαναφορτιζόμενος φακός LED έκτακτης ανάγκης - 8830-1 - 200569,in stock,new,8.1 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/200569.jpg,OEM,No Color,1.0,,ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Φακοί>Φακοί έκτακτης ανάγκης
96760,Επαναφορτιζόμενος φακός LED έκτακτη�,Επαναφορτιζόμενος φακός LED έκτακτης ανάγκης με ηλιακό πάνελ - 8682T - 200552,in stock,new,4.5 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/200552.jpg,OEM,No Color,1.0,,ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Φακοί>Φακοί έκτακτης ανάγκης
96761,Επαναφορτιζόμενος φακός LED έκτακτη�,Επαναφορτιζόμενος φακός LED έκτακτης ανάγκης με ηλιακό πάνελ - 939Τ-2 - 200545,in stock,new,5.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/200538.jpg,OEM,No Color,1.0,,ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Φακοί>Φακοί έκτακτης ανάγκης
96762,Επαναφορτιζόμενος φακός LED έκτακτη�,Επαναφορτιζόμενος φακός LED έκτακτης ανάγκης με ηλιακό πάνελ - 7673B - 200538,in stock,new,9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/200538.jpg,OEM,No Color,1.0,,ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Φακοί>Φακοί έκτακτης ανάγκης
96763,Επαναφορτιζόμενος φακός LED έκτακτη�,Επαναφορτιζόμενος φακός LED έκτακτης ανάγκης με ηλιακό πάνελ - 7671B - 200521,in stock,new,4.5 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/200521.jpg,OEM,No Color,1.0,,ΦΩΤΙΣΜΟΣ  ΕΝΕΡΓΕΙΑ>Φακοί>Φακοί έκτακτης ανάγκης
